pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"BA1 0AA","BA1  0AA","BA1 0AA","202011","","E99999999","E99999999","E06000022","E05012471","E43000018","1","375350","0164482","1","E18000010","E40000006","E92000001","E12000009","6","E14001080","E15000009","E24000035","E30000165","E16000028","E06000022","00HANP","E00072575","00HANP","E65000001","E01014371","E02002991","5","2A2","E00072575","E01014371","E02002991","E33045470","E38000231","E63012364","C1","2B2",51.378846,-2.355560,"E37000037","","E23000036",16329,"E56000033","E54000040","E00072575","E01014371","E02002991","UN1"
"BA1 0AB","BA1  0AB","BA1 0AB","200505","201106","E99999999","E99999999","E06000022","E05012471","E43000018","1","375350","0164483","1","E18000010","E40000006","E92000001","E12000009","6","E14001080","E15000009","E24000035","E30000165","E16000028","E06000022","00HANP","E00072575","00HANP","E65000001","E01014371","E02002991","5","2A2","E00072575","E01014371","E02002991","E33045470","E38000231","E63012364","C1","2B2",51.378855,-2.355560,"E37000037","","E23000036",16329,"E56000033","E54000040","E00072575","E01014371","E02002991","UN1"
"BA1 0AD","BA1  0AD","BA1 0AD","202011","","E99999999","E99999999","E06000022","E05012471","E43000018","1","375350","0164482","1","E18000010","E40000006","E92000001","E12000009","6","E14001080","E15000009","E24000035","E30000165","E16000028","E06000022","00HANP","E00072575","00HANP","E65000001","E01014371","E02002991","5","2A2","E00072575","E01014371","E02002991","E33045470","E38000231","E63012364","C1","2B2",51.378846,-2.355560,"E37000037","","E23000036",16329,"E56000033","E54000040","E00072575","E01014371","E02002991","UN1"
"BA1 0AE","BA1  0AE","BA1 0AE","202011","202106","E99999999","E99999999","E06000022","E05012471","E43000018","1","375350","0164482","1","E18000010","E40000006","E92000001","E12000009","6","E14001080","E15000009","E24000035","E30000165","E16000028","E06000022","00HANP","E00072575","00HANP","E65000001","E01014371","E02002991","5","2A2","E00072575","E01014371","E02002991","E33045470","E38000231","E63012364","C1","2B2",51.378846,-2.355560,"E37000037","","E23000036",16329,"E56000033","E54000040","E00072575","E01014371","E02002991","UN1"
"BA1 0AF","BA1  0AF","BA1 0AF","202012","202104","E99999999","E99999999","E06000022","E05012471","E43000018","1","375350","0164482","1","E18000010","E40000006","E92000001","E12000009","6","E14001080","E15000009","E24000035","E30000165","E16000028","E06000022","00HANP","E00072575","00HANP","E65000001","E01014371","E02002991","5","2A2","E00072575","E01014371","E02002991","E33045470","E38000231","E63012364","C1","2B2",51.378846,-2.355560,"E37000037","","E23000036",16329,"E56000033","E54000040","E00072575","E01014371","E02002991","UN1"
"BA1 0AG","BA1  0AG","BA1 0AG","200506","201407","E99999999","E99999999","E06000022","E05012471","E43000018","1","375350","0164483","1","E18000010","E40000006","E92000001","E12000009","6","E14001080","E15000009","E24000035","E30000165","E16000028","E06000022","00HANP","E00072575","00HANP","E65000001","E01014371","E02002991","5","2A2","E00072575","E01014371","E02002991","E33045470","E38000231","E63012364","C1","2B2",51.378855,-2.355560,"E37000037","","E23000036",16329,"E56000033","E54000040","E00072575","E01014371","E02002991","UN1"
"BA1 0AH","BA1  0AH","BA1 0AH","202012","","E99999999","E99999999","E06000022","E05012471","E43000018","1","375350","0164482","1","E18000010","E40000006","E92000001","E12000009","6","E14001080","E15000009","E24000035","E30000165","E16000028","E06000022","00HANP","E00072575","00HANP","E65000001","E01014371","E02002991","5","2A2","E00072575","E01014371","E02002991","E33045470","E38000231","E63012364","C1","2B2",51.378846,-2.355560,"E37000037","","E23000036",16329,"E56000033","E54000040","E00072575","E01014371","E02002991","UN1"
"BA1 0AJ","BA1  0AJ","BA1 0AJ","202102","202202","E99999999","E99999999","E06000022","E05012471","E43000018","1","375350","0164482","1","E18000010","E40000006","E92000001","E12000009","6","E14001080","E15000009","E24000035","E30000165","E16000028","E06000022","00HANP","E00072575","00HANP","E65000001","E01014371","E02002991","5","2A2","E00072575","E01014371","E02002991","E33045470","E38000231","E63012364","C1","2B2",51.378846,-2.355560,"E37000037","","E23000036",16329,"E56000033","E54000040","E00072575","E01014371","E02002991","UN1"
"BA1 0AL","BA1  0AL","BA1 0AL","202102","202108","E99999999","E99999999","E06000022","E05012471","E43000018","1","375350","0164482","1","E18000010","E40000006","E92000001","E12000009","6","E14001080","E15000009","E24000035","E30000165","E16000028","E06000022","00HANP","E00072575","00HANP","E65000001","E01014371","E02002991","5","2A2","E00072575","E01014371","E02002991","E33045470","E38000231","E63012364","C1","2B2",51.378846,-2.355560,"E37000037","","E23000036",16329,"E56000033","E54000040","E00072575","E01014371","E02002991","UN1"
"BA1 0AN","BA1  0AN","BA1 0AN","202102","","E99999999","E99999999","E06000022","E05012471","E43000018","1","375350","0164482","1","E18000010","E40000006","E92000001","E12000009","6","E14001080","E15000009","E24000035","E30000165","E16000028","E06000022","00HANP","E00072575","00HANP","E65000001","E01014371","E02002991","5","2A2","E00072575","E01014371","E02002991","E33045470","E38000231","E63012364","C1","2B2",51.378846,-2.355560,"E37000037","","E23000036",16329,"E56000033","E54000040","E00072575","E01014371","E02002991","UN1"
"BA1 0AP","BA1  0AP","BA1 0AP","202102","202105","E99999999","E99999999","E06000022","E05012471","E43000018","1","375350","0164482","1","E18000010","E40000006","E92000001","E12000009","6","E14001080","E15000009","E24000035","E30000165","E16000028","E06000022","00HANP","E00072575","00HANP","E65000001","E01014371","E02002991","5","2A2","E00072575","E01014371","E02002991","E33045470","E38000231","E63012364","C1","2B2",51.378846,-2.355560,"E37000037","","E23000036",16329,"E56000033","E54000040","E00072575","E01014371","E02002991","UN1"
"BA1 0AQ","BA1  0AQ","BA1 0AQ","200709","202209","E99999999","E99999999","E06000022","E05012471","E43000018","1","375350","0164482","1","E18000010","E40000006","E92000001","E12000009","6","E14001080","E15000009","E24000035","E30000165","E16000028","E06000022","00HANP","E00072575","00HANP","E65000001","E01014371","E02002991","5","2A2","E00072575","E01014371","E02002991","E33045470","E38000231","E63012364","C1","2B2",51.378846,-2.355560,"E37000037","","E23000036",16329,"E56000033","E54000040","E00072575","E01014371","E02002991","UN1"
