pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"BH1 1AA","BH1  1AA","BH1 1AA","199109","","E99999999","E99999999","E06000058","E05012661","E43000298","1","409722","0092041","1","E18000010","E40000006","E92000001","E12000009","6","E14001115","E15000009","E24000034","E30000175","E16000143","E06000058","00HNMZ","E00077297","00HNMZ","E65000001","E01015288","E02003192","5","2B1","E00077297","E01015288","E02003192","E33045897","E38000045","E63013847","C1","3C1",50.727898,-1.863614,"E37000009","","E23000039",3256,"E56000016","E54000041","E00077297","E01015288","E02003192","UN1"
"BH1 1AE","BH1  1AE","BH1 1AE","200106","200403","E99999999","E99999999","E06000058","E05012661","E43000298","1","409725","0092040","1","E18000010","E40000006","E92000001","E12000009","6","E14001115","E15000009","E24000034","E30000175","E16000143","E06000058","00HNMZ","E00077297","00HNMZ","E65000001","E01015288","E02003192","5","2B1","E00077297","E01015288","E02003192","E33045897","E38000045","E63013847","C1","3C1",50.727889,-1.863572,"E37000009","","E23000039",3256,"E56000016","E54000041","E00077297","E01015288","E02003192","UN1"
"BH1 1AF","BH1  1AF","BH1 1AF","200801","","E99999999","E99999999","E06000058","E05012653","E43000298","0","409181","0091523","1","E18000010","E40000006","E92000001","E12000009","6","E14001116","E15000009","E24000034","E30000175","E16000143","E06000058","00HNMY","E00077252","00HNMY","E65000001","E01015287","E02003188","5","2A1","E00077252","E01015287","E02003188","E33048140","E38000045","E63013847","C1","2C1",50.723248,-1.871292,"E37000009","","E23000039",11120,"E56000016","E54000041","E00077252","E01034272","E02003188","UN1"
"BH1 1AG","BH1  1AG","BH1 1AG","199412","199612","E99999999","E99999999","E06000058","E05012661","E43000298","1","409800","0092000","8","E18000010","E40000006","E92000001","E12000009","6","E14001115","E15000009","E24000034","E30000175","E16000143","E06000058","00HNMZ","E00077297","00HNMZ","E65000001","E01015288","E02003192","5","2B1","E00077297","E01015288","E02003192","E33045897","E38000045","E63013847","C1","3C1",50.727528,-1.862510,"E37000009","","E23000039",3256,"E56000016","E54000041","E00077297","E01015288","E02003192","UN1"
"BH1 1AH","BH1  1AH","BH1 1AH","200803","","E99999999","E99999999","E06000058","E05012653","E43000298","0","409265","0091464","1","E18000010","E40000006","E92000001","E12000009","6","E14001116","E15000009","E24000034","E30000175","E16000143","E06000058","00HNMY","E00077254","00HNMY","E65000001","E01015285","E02003192","5","2A1","E00172754","E01015285","E02003192","E33048174","E38000045","E63013847","C1","2B2",50.722716,-1.870104,"E37000009","","E23000039",12504,"E56000016","E54000041","E00172754","E01034277","E02003192","UN1"
"BH1 1AJ","BH1  1AJ","BH1 1AJ","200809","","E99999999","E99999999","E06000058","E05012653","E43000298","0","409162","0092265","1","E18000010","E40000006","E92000001","E12000009","6","E14001116","E15000009","E24000034","E30000175","E16000143","E06000058","00HNMY","E00077246","00HNMY","E65000001","E01015287","E02003188","5","2A1","E00077246","E01015287","E02003188","E33048147","E38000045","E63013847","C1","2C2",50.729921,-1.871543,"E37000009","","E23000039",11120,"E56000016","E54000041","E00077246","E01034271","E02003188","UN1"
"BH1 1AL","BH1  1AL","BH1 1AL","201007","","E99999999","E99999999","E06000058","E05012653","E43000298","0","409284","0091366","1","E18000010","E40000006","E92000001","E12000009","6","E14001116","E15000009","E24000034","E30000175","E16000143","E06000058","00HNMY","E00077254","00HNMY","E65000001","E01015285","E02003192","5","2A1","E00172754","E01015285","E02003192","E33048174","E38000045","E63013847","C1","2B2",50.721835,-1.869837,"E37000009","","E23000039",12504,"E56000016","E54000041","E00172754","E01034277","E02003192","UN1"
"BH1 1AN","BH1  1AN","BH1 1AN","201008","","E99999999","E99999999","E06000058","E05012653","E43000298","0","409437","0091439","1","E18000010","E40000006","E92000001","E12000009","6","E14001116","E15000009","E24000034","E30000175","E16000143","E06000058","00HNMY","E00077254","00HNMY","E65000001","E01015285","E02003192","5","2A1","E00172754","E01015285","E02003192","E33048174","E38000045","E63013847","C1","2B2",50.722489,-1.867668,"E37000009","","E23000039",12504,"E56000016","E54000041","E00172754","E01034277","E02003192","UN1"
"BH1 1AQ","BH1  1AQ","BH1 1AQ","201202","","E99999999","E99999999","E06000058","E05012653","E43000298","0","409442","0091597","1","E18000010","E40000006","E92000001","E12000009","6","E14001116","E15000009","E24000034","E30000175","E16000143","E06000058","00HNMY","E00077254","00HNMY","E65000001","E01015285","E02003192","5","2A1","E00172752","E01015285","E02003192","E33047054","E38000045","E63013847","C1","2A1",50.723910,-1.867593,"E37000009","","E23000039",12504,"E56000016","E54000041","E00172752","E01034277","E02003192","UN1"
"BH1 1AR","BH1  1AR","BH1 1AR","201501","","E99999999","E99999999","E06000058","E05012653","E43000298","0","409079","0091486","1","E18000010","E40000006","E92000001","E12000009","6","E14001116","E15000009","E24000034","E30000175","E16000143","E06000058","00HNMY","E00077252","00HNMY","E65000001","E01015287","E02003188","5","2A1","E00077252","E01015287","E02003188","E33048140","E38000045","E63013847","C1","2C1",50.722917,-1.872738,"E37000009","","E23000039",11120,"E56000016","E54000041","E00077252","E01034272","E02003188","UN1"
