pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"BL0 0AA","BL0  0AA","BL0 0AA","198001","","E99999999","E99999999","E08000002","E05014163","E43000156","0","379448","0416851","1","E18000002","E40000014","E92000001","E12000002","8","E14001144","E15000002","E24000024","E30000239","E16000043","E08000002","00BMGE","E00025401","00BMFL","E65000001","E01005014","E02001019","5","6C2","E00025401","E01005014","E02001019","E33002339","E38000024","E63008134","A1","7A2",53.647771,-2.312380,"E37000015","","E23000005",19788,"E56000032","E54000057","E00025401","E01005014","E02001019","UN1"
"BL0 0AB","BL0  0AB","BL0 0AB","198001","","E99999999","E99999999","E08000002","E05014163","E43000156","0","379442","0416877","1","E18000002","E40000014","E92000001","E12000002","8","E14001144","E15000002","E24000024","E30000239","E16000043","E08000002","00BMGE","E00025393","00BMFL","E65000001","E01005014","E02001019","5","6C2","E00025393","E01005014","E02001019","E33004807","E38000024","E63008134","A1","5A3",53.648005,-2.312472,"E37000015","","E23000005",19788,"E56000032","E54000057","E00025393","E01005014","E02001019","UN1"
"BL0 0AD","BL0  0AD","BL0 0AD","201007","","E99999999","E99999999","E08000002","E05014163","E43000156","0","379389","0417007","1","E18000002","E40000014","E92000001","E12000002","8","E14001144","E15000002","E24000024","E30000239","E16000043","E08000002","00BMGE","E00025393","00BMFL","E65000001","E01005014","E02001019","5","6C2","E00025393","E01005014","E02001019","E33004807","E38000024","E63008134","A1","5A3",53.649171,-2.313283,"E37000015","","E23000005",19788,"E56000032","E54000057","E00025393","E01005014","E02001019","UN1"
"BL0 0AE","BL0  0AE","BL0 0AE","199002","202205","E99999999","E99999999","E08000002","E05014163","E43000156","1","379408","0417127","1","E18000002","E40000014","E92000001","E12000002","8","E14001144","E15000002","E24000024","E30000239","E16000043","E08000002","00BMGE","E00025393","00BMFL","E65000001","E01005014","E02001019","5","6C2","E00025393","E01005014","E02001019","E33004807","E38000024","E63008134","A1","5A3",53.650250,-2.313003,"E37000015","","E23000005",19788,"E56000032","E54000057","E00025393","E01005014","E02001019","UN1"
"BL0 0AF","BL0  0AF","BL0 0AF","201907","","E10000017","E58000816","E07000125","E05015820","E43000099","0","379415","0418123","1","E18000002","E40000014","E92000001","E12000002","8","E14001450","E15000002","E24000022","E30000170","E16000089","E07000125","30UMFQ","E00128699","30UMFQ","E65000001","E01025357","E02005285","8","6B3","E00128699","E01025357","E02005285","E33008650","E38000050","E63008107","D1","5A1",53.659203,-2.312964,"E37000019","","E23000003",15474,"E56000018","E54000048","E00128699","E01025357","E02005285","UN1"
"BL0 0AG","BL0  0AG","BL0 0AG","198001","","E99999999","E99999999","E08000002","E05014163","E43000156","0","379627","0416803","1","E18000002","E40000014","E92000001","E12000002","8","E14001144","E15000002","E24000024","E30000239","E16000043","E08000002","00BMGE","E00025384","00BMFL","E65000001","E01005017","E02001019","5","6A1","E00025384","E01005017","E02001019","E33004805","E38000024","E63008134","A1","6B2",53.647347,-2.309669,"E37000015","","E23000005",24144,"E56000032","E54000057","E00025384","E01005017","E02001019","UN1"
"BL0 0AH","BL0  0AH","BL0 0AH","198001","","E99999999","E99999999","E08000002","E05014163","E43000156","0","379409","0417016","1","E18000002","E40000014","E92000001","E12000002","8","E14001144","E15000002","E24000024","E30000239","E16000043","E08000002","00BMGE","E00025393","00BMFL","E65000001","E01005014","E02001019","5","6C2","E00025393","E01005014","E02001019","E33004807","E38000024","E63008134","A1","5A3",53.649253,-2.312981,"E37000015","","E23000005",19788,"E56000032","E54000057","E00025393","E01005014","E02001019","UN1"
"BL0 0AJ","BL0  0AJ","BL0 0AJ","199512","","E99999999","E99999999","E08000002","E05014163","E43000156","0","380016","0416818","1","E18000002","E40000014","E92000001","E12000002","8","E14001144","E15000002","E24000024","E30000239","E16000043","E08000002","00BMGE","E00025390","00BMFL","E65000001","E01005015","E02001019","5","6A1","E00025390","E01005015","E02001019","E33004808","E38000024","E63008134","A1","8B1",53.647497,-2.303785,"E37000015","","E23000005",8727,"E56000032","E54000057","E00025390","E01005015","E02001019","UN1"
"BL0 0AL","BL0  0AL","BL0 0AL","198001","","E99999999","E99999999","E08000002","E05014163","E43000156","0","379601","0416837","1","E18000002","E40000014","E92000001","E12000002","8","E14001144","E15000002","E24000024","E30000239","E16000043","E08000002","00BMGE","E00025401","00BMFL","E65000001","E01005014","E02001019","5","6C2","E00025401","E01005014","E02001019","E33002339","E38000024","E63008134","A1","7A2",53.647652,-2.310064,"E37000015","","E23000005",19788,"E56000032","E54000057","E00025401","E01005014","E02001019","UN1"
"BL0 0AN","BL0  0AN","BL0 0AN","198001","","E99999999","E99999999","E08000002","E05014163","E43000156","0","379731","0416504","1","E18000002","E40000014","E92000001","E12000002","8","E14001144","E15000002","E24000024","E30000239","E16000043","E08000002","00BMGE","E00025402","00BMFL","E65000001","E01005017","E02001019","5","3C1","E00025402","E01005017","E02001019","E33004805","E38000024","E63008134","A1","6B2",53.644664,-2.308076,"E37000015","","E23000005",24144,"E56000032","E54000057","E00025402","E01005017","E02001019","UN1"
"BL0 0AP","BL0  0AP","BL0 0AP","198001","","E99999999","E99999999","E08000002","E05014163","E43000156","0","379651","0416748","1","E18000002","E40000014","E92000001","E12000002","8","E14001144","E15000002","E24000024","E30000239","E16000043","E08000002","00BMGE","E00025384","00BMFL","E65000001","E01005017","E02001019","5","6A1","E00025384","E01005017","E02001019","E33004805","E38000024","E63008134","A1","6B2",53.646854,-2.309302,"E37000015","","E23000005",24144,"E56000032","E54000057","E00025384","E01005017","E02001019","UN1"
"BL0 0AQ","BL0  0AQ","BL0 0AQ","198001","","E99999999","E99999999","E08000002","E05014163","E43000156","0","379643","0416775","1","E18000002","E40000014","E92000001","E12000002","8","E14001144","E15000002","E24000024","E30000239","E16000043","E08000002","00BMGE","E00025384","00BMFL","E65000001","E01005017","E02001019","5","6A1","E00025384","E01005017","E02001019","E33004805","E38000024","E63008134","A1","6B2",53.647096,-2.309425,"E37000015","","E23000005",24144,"E56000032","E54000057","E00025384","E01005017","E02001019","UN1"
"BL0 0AR","BL0  0AR","BL0 0AR","198001","","E99999999","E99999999","E08000002","E05014163","E43000156","0","379642","0416704","1","E18000002","E40000014","E92000001","E12000002","8","E14001144","E15000002","E24000024","E30000239","E16000043","E08000002","00BMGE","E00025384","00BMFL","E65000001","E01005017","E02001019","5","6A1","E00025384","E01005017","E02001019","E33004805","E38000024","E63008134","A1","6B2",53.646458,-2.309435,"E37000015","","E23000005",24144,"E56000032","E54000057","E00025384","E01005017","E02001019","UN1"
"BL0 0AS","BL0  0AS","BL0 0AS","198001","","E99999999","E99999999","E08000002","E05014163","E43000156","0","379665","0416514","1","E18000002","E40000014","E92000001","E12000002","8","E14001144","E15000002","E24000024","E30000239","E16000043","E08000002","00BMGE","E00025402","00BMFL","E65000001","E01005017","E02001019","5","3C1","E00025402","E01005017","E02001019","E33004805","E38000024","E63008134","A1","6B2",53.644751,-2.309075,"E37000015","","E23000005",24144,"E56000032","E54000057","E00025402","E01005017","E02001019","UN1"
"BL0 0AT","BL0  0AT","BL0 0AT","198001","","E99999999","E99999999","E08000002","E05014163","E43000156","0","379711","0416721","1","E18000002","E40000014","E92000001","E12000002","8","E14001144","E15000002","E24000024","E30000239","E16000043","E08000002","00BMGE","E00025384","00BMFL","E65000001","E01005017","E02001019","5","6A1","E00025384","E01005017","E02001019","E33004805","E38000024","E63008134","A1","6B2",53.646613,-2.308393,"E37000015","","E23000005",24144,"E56000032","E54000057","E00025384","E01005017","E02001019","UN1"
"BL0 0AU","BL0  0AU","BL0 0AU","198001","","E99999999","E99999999","E08000002","E05014163","E43000156","0","379749","0416799","1","E18000002","E40000014","E92000001","E12000002","8","E14001144","E15000002","E24000024","E30000239","E16000043","E08000002","00BMGE","E00025395","00BMFL","E65000001","E01005015","E02001019","5","6A1","E00025395","E01005015","E02001019","E33004808","E38000024","E63008134","A1","5A1",53.647316,-2.307823,"E37000015","","E23000005",8727,"E56000032","E54000057","E00025395","E01005015","E02001019","UN1"
"BL0 0AW","BL0  0AW","BL0 0AW","198001","","E99999999","E99999999","E08000002","E05014163","E43000156","0","379764","0416505","1","E18000002","E40000014","E92000001","E12000002","8","E14001144","E15000002","E24000024","E30000239","E16000043","E08000002","00BMGE","E00025402","00BMFL","E65000001","E01005017","E02001019","5","3C1","E00025402","E01005017","E02001019","E33004805","E38000024","E63008134","A1","6B2",53.644674,-2.307577,"E37000015","","E23000005",24144,"E56000032","E54000057","E00025402","E01005017","E02001019","UN1"
"BL0 0AX","BL0  0AX","BL0 0AX","198001","","E99999999","E99999999","E08000002","E05014163","E43000156","0","379954","0416813","1","E18000002","E40000014","E92000001","E12000002","8","E14001144","E15000002","E24000024","E30000239","E16000043","E08000002","00BMGE","E00025395","00BMFL","E65000001","E01005015","E02001019","5","6A1","E00025395","E01005015","E02001019","E33004808","E38000024","E63008134","A1","5A1",53.647450,-2.304723,"E37000015","","E23000005",8727,"E56000032","E54000057","E00025395","E01005015","E02001019","UN1"
"BL0 0AY","BL0  0AY","BL0 0AY","198001","","E99999999","E99999999","E08000002","E05014163","E43000156","0","379918","0416835","1","E18000002","E40000014","E92000001","E12000002","8","E14001144","E15000002","E24000024","E30000239","E16000043","E08000002","00BMGE","E00025395","00BMFL","E65000001","E01005015","E02001019","5","6A1","E00025395","E01005015","E02001019","E33004808","E38000024","E63008134","A1","5A1",53.647646,-2.305269,"E37000015","","E23000005",8727,"E56000032","E54000057","E00025395","E01005015","E02001019","UN1"
"BL0 0AZ","BL0  0AZ","BL0 0AZ","198001","","E99999999","E99999999","E08000002","E05014163","E43000156","0","379730","0416831","1","E18000002","E40000014","E92000001","E12000002","8","E14001144","E15000002","E24000024","E30000239","E16000043","E08000002","00BMGE","E00025395","00BMFL","E65000001","E01005015","E02001019","5","6A1","E00025395","E01005015","E02001019","E33004808","E38000024","E63008134","A1","5A1",53.647603,-2.308112,"E37000015","","E23000005",8727,"E56000032","E54000057","E00025395","E01005015","E02001019","UN1"
"BL0 0BA","BL0  0BA","BL0 0BA","198001","","E99999999","E99999999","E08000002","E05014163","E43000156","0","379630","0416952","1","E18000002","E40000014","E92000001","E12000002","8","E14001144","E15000002","E24000024","E30000239","E16000043","E08000002","00BMGE","E00025395","00BMFL","E65000001","E01005015","E02001019","5","6A1","E00025395","E01005015","E02001019","E33004808","E38000024","E63008134","A1","5A1",53.648686,-2.309633,"E37000015","","E23000005",8727,"E56000032","E54000057","E00025395","E01005015","E02001019","UN1"
"BL0 0BB","BL0  0BB","BL0 0BB","198001","","E99999999","E99999999","E08000002","E05014163","E43000156","0","379569","0417179","1","E18000002","E40000014","E92000001","E12000002","8","E14001144","E15000002","E24000024","E30000239","E16000043","E08000002","00BMGE","E00025387","00BMFL","E65000001","E01005015","E02001019","5","5B1","E00025387","E01005015","E02001019","E33004808","E38000024","E63008134","A1","7C3",53.650724,-2.310571,"E37000015","","E23000005",8727,"E56000032","E54000057","E00025387","E01005015","E02001019","UN1"
"BL0 0BD","BL0  0BD","BL0 0BD","198001","","E99999999","E99999999","E08000002","E05014163","E43000156","0","379705","0417102","1","E18000002","E40000014","E92000001","E12000002","8","E14001144","E15000002","E24000024","E30000239","E16000043","E08000002","00BMGE","E00025391","00BMFL","E65000001","E01005015","E02001019","5","1A3","E00025391","E01005015","E02001019","E33004808","E38000024","E63008134","A1","8D1",53.650037,-2.308508,"E37000015","","E23000005",8727,"E56000032","E54000057","E00025391","E01005015","E02001019","UN1"
"BL0 0BE","BL0  0BE","BL0 0BE","198001","","E99999999","E99999999","E08000002","E05014163","E43000156","0","379790","0417112","1","E18000002","E40000014","E92000001","E12000002","8","E14001144","E15000002","E24000024","E30000239","E16000043","E08000002","00BMGE","E00025390","00BMFL","E65000001","E01005015","E02001019","5","6A1","E00025390","E01005015","E02001019","E33004808","E38000024","E63008134","A1","8B1",53.650131,-2.307223,"E37000015","","E23000005",8727,"E56000032","E54000057","E00025390","E01005015","E02001019","UN1"
"BL0 0BF","BL0  0BF","BL0 0BF","202006","","E10000017","E58000816","E07000125","E05015820","E43000099","0","379873","0419458","1","E18000002","E40000014","E92000001","E12000002","8","E14001450","E15000002","E24000022","E30000170","E16000089","E07000125","30UMFQ","E00128700","30UMFQ","E65000001","E01025358","E02005285","6","6A1","E00128700","E01025358","E02005285","E33008647","E38000050","E63008096","C1","6B2",53.671219,-2.306121,"E37000019","","E23000003",24584,"E56000018","E54000048","E00128700","E01025358","E02005285","UN1"
