pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"BN1 1AA","BN1  1AA","BN1 1AA","199002","","E99999999","E99999999","E06000043","E05015415","E43000034","0","531040","0104624","1","E18000008","E40000005","E92000001","E12000008","5","E14001130","E15000008","E24000030","E30000179","E16000063","E06000043","00MLNT","E00085668","00MLNT","E65000001","E01016969","E02003517","5","2B2","E00085668","E01016969","E02003517","E33037402","E38000021","E63013666","C1","2A3",50.826328,-0.140791,"E37000044","","E23000033",4311,"E56000012","E54000064","E00085668","E01016969","E02003517","UN1"
"BN1 1AB","BN1  1AB","BN1 1AB","198001","","E99999999","E99999999","E06000043","E05015411","E43000034","0","530981","0104247","1","E18000008","E40000005","E92000001","E12000008","5","E14001130","E15000008","E24000030","E30000179","E16000063","E06000043","00MLNR","E00085586","00MLNR","E65000001","E01016952","E02003517","5","2A1","E00085586","E01016952","E02003517","E33037387","E38000021","E63013666","C1","2B2",50.822952,-0.141762,"E37000044","","E23000033",8856,"E56000012","E54000064","E00085586","E01016952","E02003517","UN1"
"BN1 1AD","BN1  1AD","BN1 1AD","198307","","E99999999","E99999999","E06000043","E05015411","E43000034","0","530970","0104094","1","E18000008","E40000005","E92000001","E12000008","5","E14001130","E15000008","E24000030","E30000179","E16000063","E06000043","00MLNR","E00085566","00MLNR","E65000001","E01016952","E02003517","5","2B2","E00085566","E01016952","E02003517","E33037372","E38000021","E63013666","C1","2A3",50.821580,-0.141973,"E37000044","","E23000033",8856,"E56000012","E54000064","E00184774","E01016952","E02003517","UN1"
"BN1 1AE","BN1  1AE","BN1 1AE","198001","","E99999999","E99999999","E06000043","E05015411","E43000034","0","530988","0104072","1","E18000008","E40000005","E92000001","E12000008","5","E14001130","E15000008","E24000030","E30000179","E16000063","E06000043","00MLNR","E00085586","00MLNR","E65000001","E01016952","E02003517","5","2A1","E00085586","E01016952","E02003517","E33037388","E38000021","E63013666","C1","2B2",50.821378,-0.141726,"E37000044","","E23000033",8856,"E56000012","E54000064","E00085586","E01016952","E02003517","UN1"
"BN1 1AF","BN1  1AF","BN1 1AF","198001","","E99999999","E99999999","E06000043","E05015411","E43000034","0","530996","0104202","1","E18000008","E40000005","E92000001","E12000008","5","E14001130","E15000008","E24000030","E30000179","E16000063","E06000043","00MLNR","E00085586","00MLNR","E65000001","E01016952","E02003517","5","2A1","E00085586","E01016952","E02003517","E33037387","E38000021","E63013666","C1","2B2",50.822545,-0.141566,"E37000044","","E23000033",8856,"E56000012","E54000064","E00085586","E01016952","E02003517","UN1"
"BN1 1AG","BN1  1AG","BN1 1AG","198001","","E99999999","E99999999","E06000043","E05015411","E43000034","0","530905","0104241","1","E18000008","E40000005","E92000001","E12000008","5","E14001130","E15000008","E24000030","E30000179","E16000063","E06000043","00MLNR","E00085586","00MLNR","E65000001","E01016952","E02003517","5","2A1","E00085586","E01016952","E02003517","E33037395","E38000021","E63013666","C1","2B2",50.822916,-0.142843,"E37000044","","E23000033",8856,"E56000012","E54000064","E00085586","E01016952","E02003517","UN1"
"BN1 1AH","BN1  1AH","BN1 1AH","198001","","E99999999","E99999999","E06000043","E05015411","E43000034","0","530904","0104221","1","E18000008","E40000005","E92000001","E12000008","5","E14001130","E15000008","E24000030","E30000179","E16000063","E06000043","00MLNR","E00085566","00MLNR","E65000001","E01016952","E02003517","5","2B2","E00085566","E01016952","E02003517","E33037372","E38000021","E63013666","C1","2A3",50.822736,-0.142864,"E37000044","","E23000033",8856,"E56000012","E54000064","E00184805","E01016952","E02003517","UN1"
"BN1 1AJ","BN1  1AJ","BN1 1AJ","198001","","E99999999","E99999999","E06000043","E05015411","E43000034","0","530931","0104078","1","E18000008","E40000005","E92000001","E12000008","5","E14001130","E15000008","E24000030","E30000179","E16000063","E06000043","00MLNR","E00085566","00MLNR","E65000001","E01016952","E02003517","5","2B2","E00085566","E01016952","E02003517","E33037372","E38000021","E63013666","C1","2A3",50.821445,-0.142532,"E37000044","","E23000033",8856,"E56000012","E54000064","E00184774","E01016952","E02003517","UN1"
"BN1 1AL","BN1  1AL","BN1 1AL","199101","","E99999999","E99999999","E06000043","E05015411","E43000034","0","530902","0104075","1","E18000008","E40000005","E92000001","E12000008","5","E14001130","E15000008","E24000030","E30000179","E16000063","E06000043","00MLNR","E00085566","00MLNR","E65000001","E01016952","E02003517","5","2B2","E00085566","E01016952","E02003517","E33037371","E38000021","E63013666","C1","2A3",50.821424,-0.142945,"E37000044","","E23000033",8856,"E56000012","E54000064","E00184774","E01016952","E02003517","UN1"
"BN1 1AN","BN1  1AN","BN1 1AN","198001","","E99999999","E99999999","E06000043","E05015411","E43000034","0","530863","0104147","1","E18000008","E40000005","E92000001","E12000008","5","E14001130","E15000008","E24000030","E30000179","E16000063","E06000043","00MLNR","E00085566","00MLNR","E65000001","E01016952","E02003517","5","2B2","E00085566","E01016952","E02003517","E33037374","E38000021","E63013666","C1","2A3",50.822080,-0.143472,"E37000044","","E23000033",8856,"E56000012","E54000064","E00184774","E01016952","E02003517","UN1"
