pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"BR1 1AA","BR1  1AA","BR1 1AA","201605","","E99999999","E99999999","E09000006","E05013991","E43000196","0","540291","0168873","1","E18000007","E40000003","E92000001","E12000007","5","E14001137","E15000007","E24000016","E30000234","E16000004","E09000006","00AFGG","E00003264","00AFGG","E65000001","E01000675","E02000144","5","2B2","E00003264","E01000675","E02000144","E33032832","E38000244","E63012282","A1","4C3",51.401545,0.015440,"E37000051","","E23000001",24305,"E56000010","E54000030","E00182600","E01034386","E02000144","UN1"
"BR1 1AB","BR1  1AB","BR1 1AB","201203","","E99999999","E99999999","E09000006","E05013991","E43000196","0","540262","0169405","1","E18000007","E40000003","E92000001","E12000007","5","E14001137","E15000007","E24000016","E30000234","E16000004","E09000006","00AFGG","E00003255","00AFGG","E65000001","E01000676","E02000134","5","7A3","E00003255","E01000676","E02000134","E33029192","E38000244","E63012282","A1","2D1",51.406333,0.015234,"E37000051","","E23000001",13716,"E56000010","E54000030","E00003255","E01000676","E02000134","UN1"
"BR1 1AD","BR1  1AD","BR1 1AD","201409","201709","E99999999","E99999999","E09000006","E05013991","E43000196","1","540386","0168710","1","E18000007","E40000003","E92000001","E12000007","5","E14001137","E15000007","E24000016","E30000234","E16000004","E09000006","00AFGG","E00003264","00AFGG","E65000001","E01000675","E02000144","5","2B2","E00003264","E01000675","E02000144","E33029199","E38000244","E63012282","A1","4C3",51.400057,0.016741,"E37000051","","E23000001",24305,"E56000010","E54000030","E00182639","E01034386","E02000144","UN1"
"BR1 1AE","BR1  1AE","BR1 1AE","200808","","E99999999","E99999999","E09000006","E05013991","E43000196","0","540197","0169204","1","E18000007","E40000003","E92000001","E12000007","5","E14001137","E15000007","E24000016","E30000234","E16000004","E09000006","00AFGG","E00003266","00AFGG","E65000001","E01000677","E02000144","5","2B2","E00003266","E01000677","E02000144","E33029200","E38000244","E63012282","A1","2D1",51.404543,0.014221,"E37000051","","E23000001",20694,"E56000010","E54000030","E00003266","E01000677","E02000144","UN1"
"BR1 1AF","BR1  1AF","BR1 1AF","201505","","E99999999","E99999999","E09000006","E05013991","E43000196","0","540259","0168855","1","E18000007","E40000003","E92000001","E12000007","5","E14001137","E15000007","E24000016","E30000234","E16000004","E09000006","00AFGG","E00003264","00AFGG","E65000001","E01000675","E02000144","5","2B2","E00003264","E01000675","E02000144","E33032832","E38000244","E63012282","A1","4C3",51.401391,0.014973,"E37000051","","E23000001",24305,"E56000010","E54000030","E00182600","E01034386","E02000144","UN1"
"BR1 1AG","BR1  1AG","BR1 1AG","201509","","E99999999","E99999999","E09000006","E05013991","E43000196","0","540259","0168855","1","E18000007","E40000003","E92000001","E12000007","5","E14001137","E15000007","E24000016","E30000234","E16000004","E09000006","00AFGG","E00003264","00AFGG","E65000001","E01000675","E02000144","5","2B2","E00003264","E01000675","E02000144","E33032832","E38000244","E63012282","A1","4C3",51.401391,0.014973,"E37000051","","E23000001",24305,"E56000010","E54000030","E00182600","E01034386","E02000144","UN1"
"BR1 1AH","BR1  1AH","BR1 1AH","201702","","E99999999","E99999999","E09000006","E05013991","E43000196","0","540430","0168754","1","E18000007","E40000003","E92000001","E12000007","5","E14001137","E15000007","E24000016","E30000234","E16000004","E09000006","00AFGG","E00003264","00AFGG","E65000001","E01000675","E02000144","5","2B2","E00003264","E01000675","E02000144","E33029196","E38000244","E63012282","A1","4C3",51.400441,0.017390,"E37000051","","E23000001",24305,"E56000010","E54000030","E00182554","E01034386","E02000144","UN1"
"BR1 1AJ","BR1  1AJ","BR1 1AJ","201604","","E99999999","E99999999","E09000006","E05013991","E43000196","0","540532","0168762","1","E18000007","E40000003","E92000001","E12000007","5","E14001137","E15000007","E24000016","E30000234","E16000004","E09000006","00AFGG","E00003264","00AFGG","E65000001","E01000675","E02000144","5","2B2","E00003264","E01000675","E02000144","E33029196","E38000244","E63012282","A1","4C3",51.400488,0.018859,"E37000051","","E23000001",24305,"E56000010","E54000030","E00182554","E01034386","E02000144","UN1"
"BR1 1AL","BR1  1AL","BR1 1AL","201904","","E99999999","E99999999","E09000006","E05013991","E43000196","0","540115","0169425","1","E18000007","E40000003","E92000001","E12000007","5","E14001137","E15000007","E24000016","E30000234","E16000004","E09000006","00AFGG","E00003255","00AFGG","E65000001","E01000676","E02000134","5","7A3","E00003255","E01000676","E02000134","E33029191","E38000244","E63012282","A1","2D1",51.406549,0.013130,"E37000051","","E23000001",13716,"E56000010","E54000030","E00003255","E01000676","E02000134","UN1"
"BR1 1AN","BR1  1AN","BR1 1AN","202208","","E99999999","E99999999","E09000006","E05013991","E43000196","0","540425","0169442","1","E18000007","E40000003","E92000001","E12000007","5","E14001137","E15000007","E24000016","E30000234","E16000004","E09000006","00AFGG","E00003254","00AFGG","E65000001","E01000675","E02000144","5","2B2","E00003254","E01000675","E02000144","E33029185","E38000244","E63012282","A1","2D1",51.406625,0.017591,"E37000051","","E23000001",24305,"E56000010","E54000030","E00003254","E01034385","E02000144","UN1"
