pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"CB1 0AA","CB1  0AA","CB1 0AA","202406","202409","E10000003","E58000086","E07000008","E05013054","E43000042","1","546182","0257043","1","E18000006","E40000013","E92000001","E12000006","4","E14001149","E15000006","E24000002","E30000186","E16000124","E07000008","12UBFU","E00090641","12UBFU","E65000001","E01017966","E02003728","5","7A2","E00167068","E01017966","E02003728","E33025843","E38000260","E63010556","C1","2B2",52.192267,0.137207,"E37000059","","E23000023",24282,"E56000035","E54000056","E00167068","E01035518","E02003728","UN1"
"CB1 0AB","CB1  0AB","CB1 0AB","202406","202504","E10000003","E58000086","E07000008","E05013054","E43000042","1","546182","0257043","1","E18000006","E40000013","E92000001","E12000006","4","E14001149","E15000006","E24000002","E30000186","E16000124","E07000008","12UBFU","E00090641","12UBFU","E65000001","E01017966","E02003728","5","7A2","E00167068","E01017966","E02003728","E33025843","E38000260","E63010556","C1","2B2",52.192267,0.137207,"E37000059","","E23000023",24282,"E56000035","E54000056","E00167068","E01035518","E02003728","UN1"
"CB1 0AD","CB1  0AD","CB1 0AD","202012","202102","E10000003","E58000086","E07000008","E05013054","E43000042","1","546182","0257043","1","E18000006","E40000013","E92000001","E12000006","4","E14001149","E15000006","E24000002","E30000186","E16000124","E07000008","12UBFU","E00090641","12UBFU","E65000001","E01017966","E02003728","5","7A2","E00167068","E01017966","E02003728","E33025843","E38000260","E63010556","C1","2B2",52.192267,0.137207,"E37000059","","E23000023",24282,"E56000035","E54000056","E00167068","E01035518","E02003728","UN1"
"CB1 0AE","CB1  0AE","CB1 0AE","202406","202410","E10000003","E58000086","E07000008","E05013054","E43000042","1","546182","0257043","1","E18000006","E40000013","E92000001","E12000006","4","E14001149","E15000006","E24000002","E30000186","E16000124","E07000008","12UBFU","E00090641","12UBFU","E65000001","E01017966","E02003728","5","7A2","E00167068","E01017966","E02003728","E33025843","E38000260","E63010556","C1","2B2",52.192267,0.137207,"E37000059","","E23000023",24282,"E56000035","E54000056","E00167068","E01035518","E02003728","UN1"
"CB1 0AF","CB1  0AF","CB1 0AF","202406","202407","E10000003","E58000086","E07000008","E05013054","E43000042","1","546182","0257043","1","E18000006","E40000013","E92000001","E12000006","4","E14001149","E15000006","E24000002","E30000186","E16000124","E07000008","12UBFU","E00090641","12UBFU","E65000001","E01017966","E02003728","5","7A2","E00167068","E01017966","E02003728","E33025843","E38000260","E63010556","C1","2B2",52.192267,0.137207,"E37000059","","E23000023",24282,"E56000035","E54000056","E00167068","E01035518","E02003728","UN1"
"CB1 0AG","CB1  0AG","CB1 0AG","202406","","E10000003","E58000086","E07000008","E05013054","E43000042","1","546182","0257043","1","E18000006","E40000013","E92000001","E12000006","4","E14001149","E15000006","E24000002","E30000186","E16000124","E07000008","12UBFU","E00090641","12UBFU","E65000001","E01017966","E02003728","5","7A2","E00167068","E01017966","E02003728","E33025843","E38000260","E63010556","C1","2B2",52.192267,0.137207,"E37000059","","E23000023",24282,"E56000035","E54000056","E00167068","E01035518","E02003728","UN1"
"CB1 0AH","CB1  0AH","CB1 0AH","200506","","E10000003","E58000086","E07000008","E05013054","E43000042","1","546182","0257043","1","E18000006","E40000013","E92000001","E12000006","4","E14001149","E15000006","E24000002","E30000186","E16000124","E07000008","12UBFU","E00090641","12UBFU","E65000001","E01017966","E02003728","5","7A2","E00167068","E01017966","E02003728","E33025843","E38000260","E63010556","C1","2B2",52.192267,0.137207,"E37000059","","E23000023",24282,"E56000035","E54000056","E00167068","E01035518","E02003728","UN1"
"CB1 0AJ","CB1  0AJ","CB1 0AJ","202407","202409","E10000003","E58000086","E07000008","E05013054","E43000042","1","546182","0257043","1","E18000006","E40000013","E92000001","E12000006","4","E14001149","E15000006","E24000002","E30000186","E16000124","E07000008","12UBFU","E00090641","12UBFU","E65000001","E01017966","E02003728","5","7A2","E00167068","E01017966","E02003728","E33025843","E38000260","E63010556","C1","2B2",52.192267,0.137207,"E37000059","","E23000023",24282,"E56000035","E54000056","E00167068","E01035518","E02003728","UN1"
"CB1 0AL","CB1  0AL","CB1 0AL","202303","202307","E10000003","E58000086","E07000008","E05013054","E43000042","1","546182","0257043","1","E18000006","E40000013","E92000001","E12000006","4","E14001149","E15000006","E24000002","E30000186","E16000124","E07000008","12UBFU","E00090641","12UBFU","E65000001","E01017966","E02003728","5","7A2","E00167068","E01017966","E02003728","E33025843","E38000260","E63010556","C1","2B2",52.192267,0.137207,"E37000059","","E23000023",24282,"E56000035","E54000056","E00167068","E01035518","E02003728","UN1"
"CB1 0AN","CB1  0AN","CB1 0AN","200507","","E10000003","E58000086","E07000008","E05013054","E43000042","1","546182","0257043","1","E18000006","E40000013","E92000001","E12000006","4","E14001149","E15000006","E24000002","E30000186","E16000124","E07000008","12UBFU","E00090641","12UBFU","E65000001","E01017966","E02003728","5","7A2","E00167068","E01017966","E02003728","E33025843","E38000260","E63010556","C1","2B2",52.192267,0.137207,"E37000059","","E23000023",24282,"E56000035","E54000056","E00167068","E01035518","E02003728","UN1"
