pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"CH1 1AA","CH1  1AA","CH1 1AA","199002","202006","E99999999","E99999999","E06000050","E05012211","E43000272","1","340750","0366286","1","E18000002","E40000014","E92000001","E12000002","8","E14001163","E15000002","E24000025","K01000011","E16000094","E06000050","13UBGL","E00092438","13UBGL","E65000001","E01018326","E02003803","5","2B1","E00092438","E01018326","E02003803","E33003439","E38000233","K08000011","C1","2C1",53.190362,-2.888221,"E37000003","","E23000006",11045,"E56000005","E54000008","E00092438","E01035376","E02003803","UN1"
"CH1 1AB","CH1  1AB","CH1 1AB","200906","","E99999999","E99999999","E06000050","E05012211","E43000272","0","341060","0366330","1","E18000002","E40000014","E92000001","E12000002","8","E14001163","E15000002","E24000025","K01000011","E16000094","E06000050","13UBGL","E00092436","13UBGL","E65000001","E01018326","E02003803","5","2B2","E00092436","E01018326","E02003803","E33003435","E38000233","K08000011","C1","2C1",53.190791,-2.883590,"E37000003","","E23000006",11045,"E56000005","E54000008","E00188850","E01035378","E02003803","UN1"
"CH1 1AD","CH1  1AD","CH1 1AD","201309","202307","E99999999","E99999999","E06000050","E05012211","E43000272","1","340412","0366062","1","E18000002","E40000014","E92000001","E12000002","8","E14001163","E15000002","E24000025","K01000011","E16000094","E06000050","13UBGL","E00092430","13UBGL","E65000001","E01018326","E02003803","5","2B2","E00092430","E01018326","E02003803","E33003430","E38000233","K08000011","C1","2C1",53.188310,-2.893237,"E37000003","","E23000006",11045,"E56000005","E54000008","E00092430","E01035378","E02003803","UN1"
"CH1 1AE","CH1  1AE","CH1 1AE","198803","200411","E99999999","E99999999","E06000050","E05012211","E43000272","1","341010","0367104","1","E18000002","E40000014","E92000001","E12000002","8","E14001163","E15000002","E24000025","K01000011","E16000094","E06000050","13UBGL","E00092433","13UBGL","E65000001","E01018327","E02003802","5","6C1","E00092433","E01018327","E02003802","E33003432","E38000233","K08000011","C1","2A3",53.197743,-2.884482,"E37000003","","E23000006",7928,"E56000005","E54000008","E00188811","E01035373","E02003802","UN1"
"CH1 1AF","CH1  1AF","CH1 1AF","201609","","E99999999","E99999999","E06000050","E05012211","E43000272","0","340718","0366063","1","E18000002","E40000014","E92000001","E12000002","8","E14001163","E15000002","E24000025","K01000011","E16000094","E06000050","13UBGL","E00092441","13UBGL","E65000001","E01018326","E02003803","5","2B2","E00092441","E01018326","E02003803","E33003455","E38000233","K08000011","C1","5A3",53.188354,-2.888658,"E37000003","","E23000006",11045,"E56000005","E54000008","E00092441","E01035378","E02003803","UN1"
"CH1 1AG","CH1  1AG","CH1 1AG","201711","","E99999999","E99999999","E06000050","E05012211","E43000272","0","340821","0365995","1","E18000002","E40000014","E92000001","E12000002","8","E14001163","E15000002","E24000025","K01000011","E16000094","E06000050","13UBGL","E00092441","13UBGL","E65000001","E01018326","E02003803","5","2B2","E00092441","E01018326","E02003803","E33003457","E38000233","K08000011","C1","5A3",53.187754,-2.887105,"E37000003","","E23000006",11045,"E56000005","E54000008","E00092441","E01035378","E02003803","UN1"
"CH1 1AH","CH1  1AH","CH1 1AH","198803","201812","E99999999","E99999999","E06000050","E05012211","E43000272","1","341000","0367109","1","E18000002","E40000014","E92000001","E12000002","8","E14001163","E15000002","E24000025","K01000011","E16000094","E06000050","13UBGL","E00092433","13UBGL","E65000001","E01018327","E02003802","5","6C1","E00092433","E01018327","E02003802","E33003432","E38000233","K08000011","C1","2A3",53.197786,-2.884632,"E37000003","","E23000006",7928,"E56000005","E54000008","E00188811","E01035373","E02003802","UN1"
"CH1 1AJ","CH1  1AJ","CH1 1AJ","198803","199012","E99999999","E99999999","E06000050","E05012211","E43000272","1","340600","0366300","8","E18000002","E40000014","E92000001","E12000002","8","E14001163","E15000002","E24000025","K01000011","E16000094","E06000050","13UBGL","E00092438","13UBGL","E65000001","E01018326","E02003803","5","2B1","E00092438","E01018326","E02003803","E33003446","E38000233","K08000011","C1","2C1",53.190471,-2.890468,"E37000003","","E23000006",11045,"E56000005","E54000008","E00092438","E01035376","E02003803","UN1"
"CH1 1AL","CH1  1AL","CH1 1AL","198803","199012","E99999999","E99999999","E06000050","E05012211","E43000272","1","340600","0366300","8","E18000002","E40000014","E92000001","E12000002","8","E14001163","E15000002","E24000025","K01000011","E16000094","E06000050","13UBGL","E00092438","13UBGL","E65000001","E01018326","E02003803","5","2B1","E00092438","E01018326","E02003803","E33003446","E38000233","K08000011","C1","2C1",53.190471,-2.890468,"E37000003","","E23000006",11045,"E56000005","E54000008","E00092438","E01035376","E02003803","UN1"
"CH1 1AN","CH1  1AN","CH1 1AN","199002","199512","E99999999","E99999999","E06000050","E05012211","E43000272","1","340600","0366300","8","E18000002","E40000014","E92000001","E12000002","8","E14001163","E15000002","E24000025","K01000011","E16000094","E06000050","13UBGL","E00092438","13UBGL","E65000001","E01018326","E02003803","5","2B1","E00092438","E01018326","E02003803","E33003446","E38000233","K08000011","C1","2C1",53.190471,-2.890468,"E37000003","","E23000006",11045,"E56000005","E54000008","E00092438","E01035376","E02003803","UN1"
"CH1 1AP","CH1  1AP","CH1 1AP","199301","199405","E99999999","E99999999","E06000050","E05012211","E43000272","1","340700","0366300","8","E18000002","E40000014","E92000001","E12000002","8","E14001163","E15000002","E24000025","K01000011","E16000094","E06000050","13UBGL","E00092438","13UBGL","E65000001","E01018326","E02003803","5","2B1","E00092438","E01018326","E02003803","E33003447","E38000233","K08000011","C1","2C1",53.190482,-2.888972,"E37000003","","E23000006",11045,"E56000005","E54000008","E00092438","E01035376","E02003803","UN1"
"CH1 1AQ","CH1  1AQ","CH1 1AQ","198803","199012","E99999999","E99999999","E06000050","E05012211","E43000272","1","340600","0366300","8","E18000002","E40000014","E92000001","E12000002","8","E14001163","E15000002","E24000025","K01000011","E16000094","E06000050","13UBGL","E00092438","13UBGL","E65000001","E01018326","E02003803","5","2B1","E00092438","E01018326","E02003803","E33003446","E38000233","K08000011","C1","2C1",53.190471,-2.890468,"E37000003","","E23000006",11045,"E56000005","E54000008","E00092438","E01035376","E02003803","UN1"
"CH1 1AR","CH1  1AR","CH1 1AR","198803","201211","E99999999","E99999999","E06000050","E05012211","E43000272","1","341010","0367104","1","E18000002","E40000014","E92000001","E12000002","8","E14001163","E15000002","E24000025","K01000011","E16000094","E06000050","13UBGL","E00092433","13UBGL","E65000001","E01018327","E02003802","5","6C1","E00092433","E01018327","E02003802","E33003432","E38000233","K08000011","C1","2A3",53.197743,-2.884482,"E37000003","","E23000006",7928,"E56000005","E54000008","E00188811","E01035373","E02003802","UN1"
