pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"CO1 1AA","CO1  1AA","CO1 1AA","201606","","E10000012","E58000402","E07000071","E05010828","E43000228","0","599710","0225348","1","E18000006","E40000013","E92000001","E12000006","5","E14001176","E15000006","E24000006","E30000193","E16000129","E07000071","22UGGG","E00109958","22UGGG","E65000001","E01021649","E02004512","5","5A1","E00109958","E01021649","E02004512","E33023954","E38000117","E63011220","C1","7A1",51.890906,0.900864,"E37000056","","E23000028",7622,"E56000035","E54000023","E00109958","E01035157","E02004512","UN1"
"CO1 1AE","CO1  1AE","CO1 1AE","200106","200207","E10000012","E58000448","E07000071","E05010828","E43000228","1","600766","0225237","1","E18000006","E40000013","E92000001","E12000006","5","E14001176","E15000006","E24000006","E30000193","E16000129","E07000071","22UGGG","E00109957","22UGGG","E65000001","E01021648","E02004512","5","6D1","E00176382","E01021648","E02004512","E33025157","E38000117","E63011220","C1","5A3",51.889530,0.916124,"E37000056","","E23000028",11046,"E56000035","E54000023","E00176382","E01021648","E02004512","UN1"
"CO1 1AF","CO1  1AF","CO1 1AF","199201","199501","E10000012","E58000402","E07000071","E05010828","E43000228","1","599300","0225000","8","E18000006","E40000013","E92000001","E12000006","5","E14001176","E15000006","E24000006","E30000193","E16000129","E07000071","22UGGG","E00109966","22UGGG","E65000001","E01021649","E02004512","5","2B1","E00109966","E01021649","E02004512","E33023968","E38000117","E63011220","C1","2A3",51.887928,0.894713,"E37000056","","E23000028",7622,"E56000035","E54000023","E00188168","E01035158","E02004512","UN1"
"CO1 1AG","CO1  1AG","CO1 1AG","200206","","E10000012","E58000402","E07000071","E05010828","E43000228","0","599385","0226223","1","E18000006","E40000013","E92000001","E12000006","5","E14001176","E15000006","E24000006","E30000193","E16000129","E07000071","22UGGG","E00109970","22UGGG","E65000001","E01021650","E02004512","5","2B2","E00176426","E01021650","E02004512","E33026592","E38000117","E63011220","C1","2D1",51.898879,0.896653,"E37000056","","E23000028",22377,"E56000035","E54000023","E00176426","E01021650","E02004512","UN1"
"CO1 1AH","CO1  1AH","CO1 1AH","200206","","E10000012","E58000402","E07000071","E05010828","E43000228","0","599414","0226149","1","E18000006","E40000013","E92000001","E12000006","5","E14001176","E15000006","E24000006","E30000193","E16000129","E07000071","22UGGG","E00109970","22UGGG","E65000001","E01021650","E02004512","5","2B2","E00176426","E01021650","E02004512","E33026592","E38000117","E63011220","C1","2D1",51.898204,0.897031,"E37000056","","E23000028",22377,"E56000035","E54000023","E00176426","E01021650","E02004512","UN1"
"CO1 1AJ","CO1  1AJ","CO1 1AJ","200206","","E10000012","E58000402","E07000071","E05010828","E43000228","0","599360","0226179","1","E18000006","E40000013","E92000001","E12000006","5","E14001176","E15000006","E24000006","E30000193","E16000129","E07000071","22UGGG","E00109970","22UGGG","E65000001","E01021650","E02004512","5","2B2","E00176426","E01021650","E02004512","E33026592","E38000117","E63011220","C1","2D1",51.898493,0.896265,"E37000056","","E23000028",22377,"E56000035","E54000023","E00176426","E01021650","E02004512","UN1"
"CO1 1AL","CO1  1AL","CO1 1AL","200012","200107","E10000012","E58000402","E07000071","E05010828","E43000228","1","599428","0225000","5","E18000006","E40000013","E92000001","E12000006","5","E14001176","E15000006","E24000006","E30000193","E16000129","E07000071","22UGGG","E00109966","22UGGG","E65000001","E01021649","E02004512","5","2B1","E00109966","E01021649","E02004512","E33023966","E38000117","E63011220","C1","2A3",51.887882,0.896570,"E37000056","","E23000028",7622,"E56000035","E54000023","E00188121","E01035158","E02004512","UN1"
"CO1 1AN","CO1  1AN","CO1 1AN","200206","","E10000012","E58000402","E07000071","E05010828","E43000228","0","599442","0226166","1","E18000006","E40000013","E92000001","E12000006","5","E14001176","E15000006","E24000006","E30000193","E16000129","E07000071","22UGGG","E00109970","22UGGG","E65000001","E01021650","E02004512","5","2B2","E00176426","E01021650","E02004512","E33026592","E38000117","E63011220","C1","2D1",51.898347,0.897448,"E37000056","","E23000028",22377,"E56000035","E54000023","E00176426","E01021650","E02004512","UN1"
"CO1 1AP","CO1  1AP","CO1 1AP","200310","","E10000012","E58000402","E07000071","E05010828","E43000228","0","599544","0226224","1","E18000006","E40000013","E92000001","E12000006","5","E14001176","E15000006","E24000006","E30000193","E16000129","E07000071","22UGGG","E00109971","22UGGG","E65000001","E01021647","E02004512","5","6B3","E00176431","E01021647","E02004512","E33026592","E38000117","E63011220","C1","2D1",51.898831,0.898962,"E37000056","","E23000028",17505,"E56000035","E54000023","E00176431","E01021647","E02004512","UN1"
"CO1 1AQ","CO1  1AQ","CO1 1AQ","202007","","E10000012","E58000402","E07000071","E05010828","E43000228","0","599677","0225550","1","E18000006","E40000013","E92000001","E12000006","5","E14001176","E15000006","E24000006","E30000193","E16000129","E07000071","22UGGG","E00109954","22UGGG","E65000001","E01021649","E02004512","5","5B3","E00109954","E01021649","E02004512","E33026590","E38000117","E63011220","C1","7A2",51.892732,0.900502,"E37000056","","E23000028",7622,"E56000035","E54000023","E00109954","E01035157","E02004512","UN1"
"CO1 1AR","CO1  1AR","CO1 1AR","200112","201003","E10000012","E58000402","E07000071","E05010828","E43000228","1","599647","0225537","1","E18000006","E40000013","E92000001","E12000006","5","E14001176","E15000006","E24000006","E30000193","E16000129","E07000071","22UGGG","E00109954","22UGGG","E65000001","E01021649","E02004512","5","5B3","E00109954","E01021649","E02004512","E33026590","E38000117","E63011220","C1","7A2",51.892626,0.900059,"E37000056","","E23000028",7622,"E56000035","E54000023","E00109954","E01035157","E02004512","UN1"
"CO1 1AS","CO1  1AS","CO1 1AS","199512","200903","E10000012","E58000402","E07000071","E05010828","E43000228","1","599416","0225365","1","E18000006","E40000013","E92000001","E12000006","5","E14001176","E15000006","E24000006","E30000193","E16000129","E07000071","22UGGG","E00109956","22UGGG","E65000001","E01021649","E02004512","5","2B2","E00109956","E01021649","E02004512","E33023953","E38000117","E63011220","C1","2C1",51.891164,0.896607,"E37000056","","E23000028",7622,"E56000035","E54000023","E00109956","E01035157","E02004512","UN1"
"CO1 1AT","CO1  1AT","CO1 1AT","201408","","E10000012","E58000402","E07000071","E05010828","E43000228","0","599695","0226060","1","E18000006","E40000013","E92000001","E12000006","5","E14001176","E15000006","E24000006","E30000193","E16000129","E07000071","22UGGG","E00109971","22UGGG","E65000001","E01021647","E02004512","5","6B3","E00176454","E01021647","E02004512","E33026591","E38000117","E63011220","C1","5A2",51.897305,0.901058,"E37000056","","E23000028",17505,"E56000035","E54000023","E00176454","E01021647","E02004512","UN1"
"CO1 1AU","CO1  1AU","CO1 1AU","200806","","E10000012","E58000402","E07000071","E05010828","E43000228","0","599467","0226163","1","E18000006","E40000013","E92000001","E12000006","5","E14001176","E15000006","E24000006","E30000193","E16000129","E07000071","22UGGG","E00109971","22UGGG","E65000001","E01021647","E02004512","5","6B3","E00176425","E01021647","E02004512","E33026592","E38000117","E63011220","C1","2C1",51.898311,0.897809,"E37000056","","E23000028",17505,"E56000035","E54000023","E00176425","E01021647","E02004512","UN1"
"CO1 1AW","CO1  1AW","CO1 1AW","200805","","E10000012","E58000402","E07000071","E05010828","E43000228","0","599507","0226159","1","E18000006","E40000013","E92000001","E12000006","5","E14001176","E15000006","E24000006","E30000193","E16000129","E07000071","22UGGG","E00109971","22UGGG","E65000001","E01021647","E02004512","5","6B3","E00176425","E01021647","E02004512","E33026592","E38000117","E63011220","C1","2C1",51.898261,0.898387,"E37000056","","E23000028",17505,"E56000035","E54000023","E00176425","E01021647","E02004512","UN1"
"CO1 1AX","CO1  1AX","CO1 1AX","200012","200601","E10000012","E58000448","E07000071","E05010828","E43000228","1","600766","0225237","1","E18000006","E40000013","E92000001","E12000006","5","E14001176","E15000006","E24000006","E30000193","E16000129","E07000071","22UGGG","E00109957","22UGGG","E65000001","E01021648","E02004512","5","6D1","E00176382","E01021648","E02004512","E33025157","E38000117","E63011220","C1","5A3",51.889530,0.916124,"E37000056","","E23000028",11046,"E56000035","E54000023","E00176382","E01021648","E02004512","UN1"
"CO1 1AY","CO1  1AY","CO1 1AY","199812","199906","E10000012","E58000402","E07000071","E05010828","E43000228","1","599300","0225000","8","E18000006","E40000013","E92000001","E12000006","5","E14001176","E15000006","E24000006","E30000193","E16000129","E07000071","22UGGG","E00109966","22UGGG","E65000001","E01021649","E02004512","5","2B1","E00109966","E01021649","E02004512","E33023968","E38000117","E63011220","C1","2A3",51.887928,0.894713,"E37000056","","E23000028",7622,"E56000035","E54000023","E00188168","E01035158","E02004512","UN1"
"CO1 1AZ","CO1  1AZ","CO1 1AZ","202008","","E10000012","E58000402","E07000071","E05010828","E43000228","0","599789","0225135","1","E18000006","E40000013","E92000001","E12000006","5","E14001176","E15000006","E24000006","E30000193","E16000129","E07000071","22UGGG","E00109958","22UGGG","E65000001","E01021649","E02004512","5","5A1","E00109958","E01021649","E02004512","E33023955","E38000117","E63011220","C1","7A1",51.888965,0.901887,"E37000056","","E23000028",7622,"E56000035","E54000023","E00109958","E01035157","E02004512","UN1"
"CO1 1BA","CO1  1BA","CO1 1BA","198001","201512","E10000012","E58000402","E07000071","E05010828","E43000228","1","599516","0225331","1","E18000006","E40000013","E92000001","E12000006","5","E14001176","E15000006","E24000006","E30000193","E16000129","E07000071","22UGGG","E00109954","22UGGG","E65000001","E01021649","E02004512","5","5B3","E00109954","E01021649","E02004512","E33026590","E38000117","E63011220","C1","7A2",51.890823,0.898038,"E37000056","","E23000028",7622,"E56000035","E54000023","E00109954","E01035157","E02004512","UN1"
"CO1 1BB","CO1  1BB","CO1 1BB","199712","202406","E10000012","E58000402","E07000071","E05010828","E43000228","1","599386","0225212","1","E18000006","E40000013","E92000001","E12000006","5","E14001176","E15000006","E24000006","E30000193","E16000129","E07000071","22UGGG","E00109960","22UGGG","E65000001","E01021646","E02004512","5","5B2","E00176380","E01021646","E02004512","E33025155","E38000117","E63011220","C1","7D3",51.889801,0.896083,"E37000056","","E23000028",19464,"E56000035","E54000023","E00176380","E01021646","E02004512","UN1"
"CO1 1BD","CO1  1BD","CO1 1BD","199906","200708","E10000012","E58000448","E07000071","E05010828","E43000228","1","600766","0225237","1","E18000006","E40000013","E92000001","E12000006","5","E14001176","E15000006","E24000006","E30000193","E16000129","E07000071","22UGGG","E00109957","22UGGG","E65000001","E01021648","E02004512","5","6D1","E00176382","E01021648","E02004512","E33025157","E38000117","E63011220","C1","5A3",51.889530,0.916124,"E37000056","","E23000028",11046,"E56000035","E54000023","E00176382","E01021648","E02004512","UN1"
