pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"CR0 0AA","CR0  0AA","CR0 0AA","198001","","E99999999","E99999999","E09000008","E05011471","E43000198","0","539052","0162028","1","E18000007","E40000003","E92000001","E12000007","5","E14001186","E15000007","E24000016","E30000234","E16000049","E09000008","00AHGR","E00005373","00AHGR","E65000001","E01001079","E02000229","5","1B1","E00005373","E01001079","E02000229","E33033247","E38000245","E63012338","A1","8D2",51.340341,-0.005032,"E37000051","","E23000001",6279,"E56000021","E54000031","E00005373","E01001079","E02000229","UN1"
"CR0 0AB","CR0  0AB","CR0 0AB","198001","","E99999999","E99999999","E09000008","E05011471","E43000198","0","539266","0161728","1","E18000007","E40000003","E92000001","E12000007","5","E14001186","E15000007","E24000016","E30000234","E16000049","E09000008","00AHGR","E00005381","00AHGR","E65000001","E01001081","E02000229","5","1B1","E00005381","E01001081","E02000229","E33033248","E38000245","E63012338","A1","8D2",51.337592,-0.002079,"E37000051","","E23000001",6015,"E56000021","E54000031","E00005381","E01001081","E02000229","UN1"
"CR0 0AD","CR0  0AD","CR0 0AD","198001","","E99999999","E99999999","E09000008","E05011471","E43000198","0","539327","0161477","1","E18000007","E40000003","E92000001","E12000007","5","E14001186","E15000007","E24000016","E30000234","E16000049","E09000008","00AHGR","E00005384","00AHGR","E65000001","E01001079","E02000229","5","5B3","E00005384","E01001079","E02000229","E33033248","E38000245","E63012338","A1","7A3",51.335322,-0.001302,"E37000051","","E23000001",6279,"E56000021","E54000031","E00005384","E01001079","E02000229","UN1"
"CR0 0AE","CR0  0AE","CR0 0AE","198001","","E99999999","E99999999","E09000008","E05011471","E43000198","0","539086","0162071","1","E18000007","E40000003","E92000001","E12000007","5","E14001186","E15000007","E24000016","E30000234","E16000049","E09000008","00AHGR","E00005373","00AHGR","E65000001","E01001079","E02000229","5","1B1","E00005373","E01001079","E02000229","E33033247","E38000245","E63012338","A1","8D2",51.340719,-0.004528,"E37000051","","E23000001",6279,"E56000021","E54000031","E00005373","E01001079","E02000229","UN1"
"CR0 0AF","CR0  0AF","CR0 0AF","198001","","E99999999","E99999999","E09000008","E05011471","E43000198","0","539322","0161810","1","E18000007","E40000003","E92000001","E12000007","5","E14001186","E15000007","E24000016","E30000234","E16000049","E09000008","00AHGR","E00005384","00AHGR","E65000001","E01001079","E02000229","5","5B3","E00005384","E01001079","E02000229","E33033248","E38000245","E63012338","A1","7A3",51.338316,-0.001244,"E37000051","","E23000001",6279,"E56000021","E54000031","E00005384","E01001079","E02000229","UN1"
"CR0 0AG","CR0  0AG","CR0 0AG","198001","","E99999999","E99999999","E09000008","E05011471","E43000198","0","539379","0161620","1","E18000007","E40000003","E92000001","E12000007","5","E14001186","E15000007","E24000016","E30000234","E16000049","E09000008","00AHGR","E00005384","00AHGR","E65000001","E01001079","E02000229","5","5B3","E00005384","E01001079","E02000229","E33033248","E38000245","E63012338","A1","7A3",51.336594,-0.000500,"E37000051","","E23000001",6279,"E56000021","E54000031","E00005384","E01001079","E02000229","UN1"
"CR0 0AH","CR0  0AH","CR0 0AH","198001","","E99999999","E99999999","E09000008","E05011471","E43000198","0","539249","0161389","1","E18000007","E40000003","E92000001","E12000007","5","E14001186","E15000007","E24000016","E30000234","E16000049","E09000008","00AHGR","E00005381","00AHGR","E65000001","E01001081","E02000229","5","1B1","E00005381","E01001081","E02000229","E33033248","E38000245","E63012338","A1","8D2",51.334550,-0.002455,"E37000051","","E23000001",6015,"E56000021","E54000031","E00005381","E01001081","E02000229","UN1"
"CR0 0AJ","CR0  0AJ","CR0 0AJ","198001","","E99999999","E99999999","E09000008","E05011471","E43000198","0","539418","0161401","1","E18000007","E40000003","E92000001","E12000007","5","E14001186","E15000007","E24000016","E30000234","E16000049","E09000008","00AHGR","E00005384","00AHGR","E65000001","E01001079","E02000229","5","5B3","E00005384","E01001079","E02000229","E33033248","E38000245","E63012338","A1","7A3",51.334617,-0.000026,"E37000051","","E23000001",6279,"E56000021","E54000031","E00005384","E01001079","E02000229","UN1"
"CR0 0AL","CR0  0AL","CR0 0AL","198001","","E99999999","E99999999","E09000008","E05011471","E43000198","0","539064","0161326","1","E18000007","E40000003","E92000001","E12000007","5","E14001186","E15000007","E24000016","E30000234","E16000049","E09000008","00AHGR","E00005386","00AHGR","E65000001","E01001081","E02000229","5","7A2","E00005386","E01001081","E02000229","E33033248","E38000245","E63012338","A1","4A1",51.334029,-0.005134,"E37000051","","E23000001",6015,"E56000021","E54000031","E00005386","E01001081","E02000229","UN1"
"CR0 0AN","CR0  0AN","CR0 0AN","198001","","E99999999","E99999999","E09000008","E05011471","E43000198","0","538795","0161348","1","E18000007","E40000003","E92000001","E12000007","5","E14001186","E15000007","E24000016","E30000234","E16000049","E09000008","00AHGR","E00005388","00AHGR","E65000001","E01001081","E02000229","5","7B1","E00005388","E01001081","E02000229","E33033248","E38000245","E63012338","A1","4A3",51.334292,-0.008985,"E37000051","","E23000001",6015,"E56000021","E54000031","E00005388","E01001081","E02000229","UN1"
