pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"CV1 1AA","CV1  1AA","CV1 1AA","199002","201205","E99999999","E99999999","E08000026","E05001228","E43000246","1","433374","0279470","1","E18000005","E40000011","E92000001","E12000005","7","E14001182","E15000005","E24000043","E30000195","E16000070","E08000026","00CQGF","E00048789","00CQFL","E65000001","E01009642","E02001988","5","2A2","E00048789","E01009642","E02001988","E33018356","E38000251","E63010120","C1","2B2",52.412235,-1.510767,"E37000006","","E23000014",13010,"E56000007","E54000018","E00185090","E01034743","E02001988","UN1"
"CV1 1AB","CV1  1AB","CV1 1AB","198001","199612","E99999999","E99999999","E08000026","E05001228","E43000246","1","433200","0279200","8","E18000005","E40000011","E92000001","E12000005","7","E14001182","E15000005","E24000043","E30000195","E16000070","E08000026","00CQGF","E00048789","00CQFL","E65000001","E01009642","E02001988","5","2A2","E00048789","E01009642","E02001988","E33018351","E38000251","E63010120","C1","2B2",52.409818,-1.513352,"E37000006","","E23000014",13010,"E56000007","E54000018","E00185075","E01034743","E02001988","UN1"
"CV1 1AD","CV1  1AD","CV1 1AD","198001","200908","E99999999","E99999999","E08000026","E05001228","E43000246","1","433381","0278887","1","E18000005","E40000011","E92000001","E12000005","7","E14001182","E15000005","E24000043","E30000195","E16000070","E08000026","00CQGF","E00048795","00CQFL","E65000001","E01009642","E02001988","5","2A2","E00172193","E01009642","E02001988","E33019734","E38000251","E63010120","C1","2A1",52.406993,-1.510722,"E37000006","","E23000014",13010,"E56000007","E54000018","E00172193","E01034744","E02001988","UN1"
"CV1 1AE","CV1  1AE","CV1 1AE","199002","199501","E99999999","E99999999","E08000026","E05001228","E43000246","1","433300","0279400","8","E18000005","E40000011","E92000001","E12000005","7","E14001182","E15000005","E24000043","E30000195","E16000070","E08000026","00CQGF","E00048789","00CQFL","E65000001","E01009642","E02001988","5","2A2","E00048789","E01009642","E02001988","E33018352","E38000251","E63010120","C1","2B2",52.411610,-1.511862,"E37000006","","E23000014",13010,"E56000007","E54000018","E00185090","E01034743","E02001988","UN1"
"CV1 1AF","CV1  1AF","CV1 1AF","199301","200806","E99999999","E99999999","E08000026","E05001228","E43000246","1","433374","0279470","1","E18000005","E40000011","E92000001","E12000005","7","E14001182","E15000005","E24000043","E30000195","E16000070","E08000026","00CQGF","E00048789","00CQFL","E65000001","E01009642","E02001988","5","2A2","E00048789","E01009642","E02001988","E33018356","E38000251","E63010120","C1","2B2",52.412235,-1.510767,"E37000006","","E23000014",13010,"E56000007","E54000018","E00185090","E01034743","E02001988","UN1"
"CV1 1AH","CV1  1AH","CV1 1AH","201710","","E99999999","E99999999","E08000026","E05001228","E43000246","0","433469","0279255","1","E18000005","E40000011","E92000001","E12000005","7","E14001182","E15000005","E24000043","E30000195","E16000070","E08000026","00CQGF","E00048789","00CQFL","E65000001","E01009642","E02001988","5","2A2","E00048789","E01009642","E02001988","E33018355","E38000251","E63010120","C1","2B2",52.410296,-1.509392,"E37000006","","E23000014",13010,"E56000007","E54000018","E00185075","E01034743","E02001988","UN1"
"CV1 1AJ","CV1  1AJ","CV1 1AJ","201810","","E99999999","E99999999","E08000026","E05001228","E43000246","0","433370","0279440","1","E18000005","E40000011","E92000001","E12000005","7","E14001182","E15000005","E24000043","E30000195","E16000070","E08000026","00CQGF","E00048789","00CQFL","E65000001","E01009642","E02001988","5","2A2","E00048789","E01009642","E02001988","E33018356","E38000251","E63010120","C1","2B2",52.411966,-1.510829,"E37000006","","E23000014",13010,"E56000007","E54000018","E00185090","E01034743","E02001988","UN1"
"CV1 1AL","CV1  1AL","CV1 1AL","202011","","E99999999","E99999999","E08000026","E05001228","E43000246","0","433275","0279376","1","E18000005","E40000011","E92000001","E12000005","7","E14001182","E15000005","E24000043","E30000195","E16000070","E08000026","00CQGF","E00048789","00CQFL","E65000001","E01009642","E02001988","5","2A2","E00048789","E01009642","E02001988","E33018352","E38000251","E63010120","C1","2B2",52.411396,-1.512232,"E37000006","","E23000014",13010,"E56000007","E54000018","E00185090","E01034743","E02001988","UN1"
"CV1 1AN","CV1  1AN","CV1 1AN","202101","","E99999999","E99999999","E08000026","E05001228","E43000246","0","433275","0279376","1","E18000005","E40000011","E92000001","E12000005","7","E14001182","E15000005","E24000043","E30000195","E16000070","E08000026","00CQGF","E00048789","00CQFL","E65000001","E01009642","E02001988","5","2A2","E00048789","E01009642","E02001988","E33018352","E38000251","E63010120","C1","2B2",52.411396,-1.512232,"E37000006","","E23000014",13010,"E56000007","E54000018","E00185090","E01034743","E02001988","UN1"
"CV1 1AP","CV1  1AP","CV1 1AP","202011","","E99999999","E99999999","E08000026","E05001228","E43000246","0","433275","0279376","1","E18000005","E40000011","E92000001","E12000005","7","E14001182","E15000005","E24000043","E30000195","E16000070","E08000026","00CQGF","E00048789","00CQFL","E65000001","E01009642","E02001988","5","2A2","E00048789","E01009642","E02001988","E33018352","E38000251","E63010120","C1","2B2",52.411396,-1.512232,"E37000006","","E23000014",13010,"E56000007","E54000018","E00185090","E01034743","E02001988","UN1"
