pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"DD1 1AA","DD1  1AA","DD1 1AA","198001","202312","S99999999","S99999999","S12000042","S13002549","S99999999","1","340102","0730430","1","S08000030","S99999999","S92000003","S99999999","0","S14000075","S15000001","S09000005","S22000056","S03000039","S30000049","99ZZ00","S00008713","09C21","S99999999","S01001101","S02000201","1","2A1","S00098441","S01007705","S02001448","S34000133","S03000039","S99999999","1","2B2",56.462179,-2.973626,"S99999999","","S23000009",1414,"S99999999","S99999999","S00148458","S01015383","S02002850","1"
"DD1 1AB","DD1  1AB","DD1 1AB","198001","199512","S99999999","S99999999","S12000042","S13002549","S99999999","1","340080","0730420","8","S08000030","S99999999","S92000003","S99999999","0","S14000075","S15000001","S09000005","S22000056","S03000039","S30000049","99ZZ00","S00008713","09C21","S99999999","S01001101","S02000201","1","2A1","S00098441","S01007705","S02001448","S34000133","S03000039","S99999999","1","2B2",56.462086,-2.973980,"S99999999","","S23000009",1414,"S99999999","S99999999","S00148458","S01015383","S02002850","1"
"DD1 1AD","DD1  1AD","DD1 1AD","200906","","S99999999","S99999999","S12000042","S13002549","S99999999","0","339879","0730457","1","S08000030","S99999999","S92000003","S99999999","0","S14000075","S15000001","S09000005","S22000056","S03000039","S30000049","99ZZ00","S00008712","09C21","S99999999","S01001101","S02000201","1","2A1","S00098440","S01007705","S02001448","S34000130","S03000039","S99999999","1","2B2",56.462393,-2.977250,"S99999999","","S23000009",1414,"S99999999","S99999999","S00148480","S01015383","S02002850","1"
"DD1 1AE","DD1  1AE","DD1 1AE","201804","","S99999999","S99999999","S12000042","S13002549","S99999999","0","339847","0730495","5","S08000030","S99999999","S92000003","S99999999","0","S14000075","S15000001","S09000005","S22000056","S03000039","S30000049","99ZZ00","S00008712","09C21","S99999999","S01001101","S02000201","1","2A1","S00098440","S01007705","S02001448","S34000130","S03000039","S99999999","1","2B2",56.462730,-2.977778,"S99999999","","S23000009",1414,"S99999999","S99999999","S00148480","S01015383","S02002850","1"
"DD1 1AF","DD1  1AF","DD1 1AF","201812","","S99999999","S99999999","S12000042","S13002549","S99999999","1","339980","0730214","1","S08000030","S99999999","S92000003","S99999999","0","S14000075","S15000001","S09000005","S22000056","S03000039","S30000049","99ZZ00","S00009781","09C21","S99999999","S01001101","S02000201","1","2A1","S00099539","S01007705","S02001448","S34000146","S03000039","S99999999","1","2B1",56.460223,-2.975555,"S99999999","","S23000009",1414,"S99999999","S99999999","S00148500","S01015383","S02002850","1"
"DD1 1AG","DD1  1AG","DD1 1AG","202411","","S99999999","S99999999","S12000042","S13002549","S99999999","0","340120","0730441","1","S08000030","S99999999","S92000003","S99999999","0","S14000075","S15000001","S09000005","S22000056","S03000039","S30000049","99ZZ00","S00008713","09C21","S99999999","S01001101","S02000201","1","2A1","S00098441","S01007705","S02001448","S34000133","S03000039","S99999999","1","2B2",56.462280,-2.973336,"S99999999","","S23000009",1414,"S99999999","S99999999","S00148458","S01015383","S02002850","1"
"DD1 1AR","DD1  1AR","DD1 1AR","199606","201111","S99999999","S99999999","S12000042","S13002549","S99999999","1","340471","0730113","1","S08000030","S99999999","S92000003","S99999999","0","S14000075","S15000001","S09000005","S22000056","S03000039","S30000049","99ZZ00","S00008722","09C21","S99999999","S01001101","S02000201","1","2A1","S00098452","S01007706","S02001448","S34000136","S03000039","S99999999","1","2B1",56.459379,-2.967566,"S99999999","","S23000009",4424,"S99999999","S99999999","S00148554","S01015384","S02002850","1"
"DD1 1AY","DD1  1AY","DD1 1AY","199402","199502","S99999999","S99999999","S12000042","S13002549","S99999999","1","339930","0730140","8","S08000030","S99999999","S92000003","S99999999","0","S14000075","S15000001","S09000005","S22000056","S03000039","S30000049","99ZZ00","S00008712","09C21","S99999999","S01001101","S02000201","1","2A1","S00098440","S01007705","S02001448","S34000132","S03000039","S99999999","1","2B2",56.459552,-2.976350,"S99999999","","S23000009",1414,"S99999999","S99999999","S00148480","S01015383","S02002850","1"
"DD1 1BA","DD1  1BA","DD1 1BA","198001","202509","S99999999","S99999999","S12000042","S13002549","S99999999","1","339938","0730377","1","S08000030","S99999999","S92000003","S99999999","0","S14000075","S15000001","S09000005","S22000056","S03000039","S30000049","99ZZ00","S00008712","09C21","S99999999","S01001101","S02000201","1","2A1","S00098440","S01007705","S02001448","S34000130","S03000039","S99999999","1","2B2",56.461682,-2.976275,"S99999999","","S23000009",1414,"S99999999","S99999999","S00148480","S01015383","S02002850","1"
"DD1 1BB","DD1  1BB","DD1 1BB","198001","199512","S99999999","S99999999","S12000042","S13002549","S99999999","1","339930","0730370","8","S08000030","S99999999","S92000003","S99999999","0","S14000075","S15000001","S09000005","S22000056","S03000039","S30000049","99ZZ00","S00008712","09C21","S99999999","S01001101","S02000201","1","2A1","S00098440","S01007705","S02001448","S34000130","S03000039","S99999999","1","2B2",56.461618,-2.976403,"S99999999","","S23000009",1414,"S99999999","S99999999","S00148480","S01015383","S02002850","1"
"DD1 1BD","DD1  1BD","DD1 1BD","198001","199812","S99999999","S99999999","S12000042","S13002549","S99999999","1","340114","0730210","1","S08000030","S99999999","S92000003","S99999999","0","S14000075","S15000001","S09000005","S22000056","S03000039","S30000049","99ZZ00","S00009781","09C21","S99999999","S01001101","S02000201","1","2A1","S00099539","S01007705","S02001448","S34000146","S03000039","S99999999","1","2B1",56.460204,-2.973380,"S99999999","","S23000009",1414,"S99999999","S99999999","S00148500","S01015383","S02002850","1"
"DD1 1DA","DD1  1DA","DD1 1DA","198001","","S99999999","S99999999","S12000042","S13002549","S99999999","1","340281","0730475","1","S08000030","S99999999","S92000003","S99999999","0","S14000075","S15000001","S09000005","S22000056","S03000039","S30000049","99ZZ00","S00008713","09C21","S99999999","S01001101","S02000201","1","2A1","S00098441","S01007705","S02001448","S34000134","S03000039","S99999999","1","2B2",56.462606,-2.970732,"S99999999","","S23000009",1414,"S99999999","S99999999","S00148458","S01015383","S02002850","1"
"DD1 1DB","DD1  1DB","DD1 1DB","198001","","S99999999","S99999999","S12000042","S13002549","S99999999","1","340375","0730694","1","S08000030","S99999999","S92000003","S99999999","0","S14000075","S15000001","S09000005","S22000056","S03000039","S30000049","99ZZ00","S00008715","09C24","S99999999","S01001113","S02000203","1","5B4","S00098444","S01007711","S02001449","S34004429","S03000039","S99999999","1","2A3",56.464585,-2.969257,"S99999999","","S23000009",1165,"S99999999","S99999999","S00148421","S01015389","S02002851","1"
"DD1 1DD","DD1  1DD","DD1 1DD","198001","","S99999999","S99999999","S12000042","S13002549","S99999999","0","340222","0730421","1","S08000030","S99999999","S92000003","S99999999","0","S14000075","S15000001","S09000005","S22000056","S03000039","S30000049","99ZZ00","S00009781","09C21","S99999999","S01001101","S02000201","1","2A1","S00099539","S01007705","S02001448","S34000144","S03000039","S99999999","1","2B1",56.462114,-2.971677,"S99999999","","S23000009",1414,"S99999999","S99999999","S00148500","S01015383","S02002850","1"
"DD1 1DF","DD1  1DF","DD1 1DF","197308","199207","S99999999","S99999999","S12000042","S13002549","S99999999","1","340240","0730420","8","S08000030","S99999999","S92000003","S99999999","0","S14000075","S15000001","S09000005","S22000056","S03000039","S30000049","99ZZ00","S00009781","09C21","S99999999","S01001101","S02000201","1","2A1","S00099539","S01007705","S02001448","S34000144","S03000039","S99999999","1","2B1",56.462107,-2.971384,"S99999999","","S23000009",1414,"S99999999","S99999999","S00148500","S01015383","S02002850","1"
"DD1 1DG","DD1  1DG","DD1 1DG","198001","199606","S99999999","S99999999","S12000042","S13002549","S99999999","1","340250","0730470","8","S08000030","S99999999","S92000003","S99999999","0","S14000075","S15000001","S09000005","S22000056","S03000039","S30000049","99ZZ00","S00008713","09C21","S99999999","S01001101","S02000201","1","2A1","S00098441","S01007705","S02001448","S34000133","S03000039","S99999999","1","2B2",56.462557,-2.971234,"S99999999","","S23000009",1414,"S99999999","S99999999","S00148458","S01015383","S02002850","1"
"DD1 1DH","DD1  1DH","DD1 1DH","201208","","S99999999","S99999999","S12000042","S13002549","S99999999","0","340252","0730382","1","S08000030","S99999999","S92000003","S99999999","0","S14000075","S15000001","S09000005","S22000056","S03000039","S30000049","99ZZ00","S00009781","09C21","S99999999","S01001101","S02000201","1","2A1","S00099539","S01007705","S02001448","S34000144","S03000039","S99999999","1","2B1",56.461767,-2.971181,"S99999999","","S23000009",1414,"S99999999","S99999999","S00148500","S01015383","S02002850","1"
"DD1 1DJ","DD1  1DJ","DD1 1DJ","198001","","S99999999","S99999999","S12000042","S13002549","S99999999","0","340327","0730475","1","S08000030","S99999999","S92000003","S99999999","0","S14000075","S15000001","S09000005","S22000056","S03000039","S30000049","99ZZ00","S00008713","09C21","S99999999","S01001101","S02000201","1","2A1","S00098441","S01007705","S02001448","S34000134","S03000039","S99999999","1","2B2",56.462612,-2.969985,"S99999999","","S23000009",1414,"S99999999","S99999999","S00148458","S01015383","S02002850","1"
"DD1 1DP","DD1  1DP","DD1 1DP","199111","199812","S99999999","S99999999","S12000042","S13002547","S99999999","0","340167","0729838","1","S08000030","S99999999","S92000003","S99999999","0","S14000075","S15000001","S09000005","S22000056","S03000039","S30000049","99ZZ00","S00008711","09C21","S99999999","S01001101","S02000201","1","2A1","S00099569","S01007691","S02001446","S34000151","S03000039","S99999999","1","2B2",56.456870,-2.972435,"S99999999","","S23000009",3886,"S99999999","S99999999","S00148594","S01015369","S02002848","1"
"DD1 1DQ","DD1  1DQ","DD1 1DQ","199201","","S99999999","S99999999","S12000042","S13002549","S99999999","0","340308","0730376","1","S08000030","S99999999","S92000003","S99999999","0","S14000075","S15000001","S09000005","S22000056","S03000039","S30000049","99ZZ00","S00008722","09C21","S99999999","S01001101","S02000201","1","2A1","S00099438","S01007705","S02001448","S34004436","S03000039","S99999999","1","2B1",56.461720,-2.970271,"S99999999","","S23000009",1414,"S99999999","S99999999","S00148502","S01015383","S02002850","1"
"DD1 1DR","DD1  1DR","DD1 1DR","197308","199412","S99999999","S99999999","S12000042","S13002549","S99999999","1","340250","0730470","8","S08000030","S99999999","S92000003","S99999999","0","S14000075","S15000001","S09000005","S22000056","S03000039","S30000049","99ZZ00","S00008713","09C21","S99999999","S01001101","S02000201","1","2A1","S00098441","S01007705","S02001448","S34000133","S03000039","S99999999","1","2B2",56.462557,-2.971234,"S99999999","","S23000009",1414,"S99999999","S99999999","S00148458","S01015383","S02002850","1"
"DD1 1DT","DD1  1DT","DD1 1DT","198001","199512","S99999999","S99999999","S12000042","S13002549","S99999999","0","340330","0730510","8","S08000030","S99999999","S92000003","S99999999","0","S14000075","S15000001","S09000005","S22000056","S03000039","S30000049","99ZZ00","S00008713","09C21","S99999999","S01001101","S02000201","1","2A1","S00098441","S01007705","S02001448","S34000134","S03000039","S99999999","1","2B2",56.462927,-2.969945,"S99999999","","S23000009",1414,"S99999999","S99999999","S00148458","S01015383","S02002850","1"
