pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"DL1 1AA","DL1  1AA","DL1 1AA","199002","","E99999999","E99999999","E06000005","E05010425","E43000249","1","429177","0514182","1","E18000001","E40000012","E92000001","E12000001","1","E14001190","E15000001","E24000020","E30000199","E16000041","E06000005","00EHND","E00062058","00EHND","E65000001","E01012308","E02002566","5","2B1","E00062058","E01033484","E02002566","E33000422","E38000247","E63007428","C1","2C1",54.522106,-1.550760,"E37000034","","E23000008",1586,"E56000029","E54000050","E00062058","E01035187","E02007058","UN1"
"DL1 1AB","DL1  1AB","DL1 1AB","198203","202004","E99999999","E99999999","E06000005","E05010425","E43000249","1","429011","0514680","1","E18000001","E40000012","E92000001","E12000001","1","E14001190","E15000001","E24000020","E30000199","E16000041","E06000005","00EHND","E00062058","00EHND","E65000001","E01012308","E02002566","5","2B1","E00062058","E01033484","E02002566","E33000423","E38000247","E63007428","C1","2C1",54.526591,-1.553276,"E37000034","","E23000008",1586,"E56000029","E54000050","E00062058","E01035187","E02007058","UN1"
"DL1 1AD","DL1  1AD","DL1 1AD","198203","199012","E99999999","E99999999","E06000005","E05010425","E43000249","1","429100","0514300","8","E18000001","E40000012","E92000001","E12000001","1","E14001190","E15000001","E24000020","E30000199","E16000041","E06000005","00EHND","E00062058","00EHND","E65000001","E01012308","E02002566","5","2B1","E00062058","E01033484","E02002566","E33000421","E38000247","E63007428","C1","2C1",54.523171,-1.551938,"E37000034","","E23000008",1586,"E56000029","E54000050","E00062058","E01035187","E02007058","UN1"
"DL1 1AG","DL1  1AG","DL1 1AG","200403","","E99999999","E99999999","E06000005","E05010412","E43000249","0","430024","0514281","1","E18000001","E40000012","E92000001","E12000001","1","E14001190","E15000001","E24000020","E30000199","E16000041","E06000005","00EHNC","E00062047","00EHNC","E65000001","E01012304","E02002570","5","1B1","E00062047","E01012304","E02002570","E33001729","E38000247","E63007428","C1","4A2",54.522946,-1.537665,"E37000034","","E23000008",303,"E56000029","E54000050","E00062047","E01012304","E02002570","UN1"
"DL1 1AN","DL1  1AN","DL1 1AN","198710","202004","E99999999","E99999999","E06000005","E05010425","E43000249","1","429011","0514680","1","E18000001","E40000012","E92000001","E12000001","1","E14001190","E15000001","E24000020","E30000199","E16000041","E06000005","00EHND","E00062058","00EHND","E65000001","E01012308","E02002566","5","2B1","E00062058","E01033484","E02002566","E33000423","E38000247","E63007428","C1","2C1",54.526591,-1.553276,"E37000034","","E23000008",1586,"E56000029","E54000050","E00062058","E01035187","E02007058","UN1"
"DL1 1AQ","DL1  1AQ","DL1 1AQ","199712","200311","E99999999","E99999999","E06000005","E05010425","E43000249","1","429177","0514182","1","E18000001","E40000012","E92000001","E12000001","1","E14001190","E15000001","E24000020","E30000199","E16000041","E06000005","00EHND","E00062058","00EHND","E65000001","E01012308","E02002566","5","2B1","E00062058","E01033484","E02002566","E33000422","E38000247","E63007428","C1","2C1",54.522106,-1.550760,"E37000034","","E23000008",1586,"E56000029","E54000050","E00062058","E01035187","E02007058","UN1"
"DL1 1AR","DL1  1AR","DL1 1AR","200507","201605","E99999999","E99999999","E06000005","E05010428","E43000249","1","431566","0514881","1","E18000001","E40000012","E92000001","E12000001","1","E14001190","E15000001","E24000020","E30000199","E16000041","E06000005","00EHNT","E00062249","00EHNT","E65000001","E01012343","E02002567","5","1C2","E00062249","E01012343","E02002567","E33001709","E38000247","E63007428","C1","8A1",54.528245,-1.513779,"E37000034","","E23000008",16777,"E56000029","E54000050","E00188242","E01035183","E02002567","UN1"
"DL1 1AS","DL1  1AS","DL1 1AS","200804","","E99999999","E99999999","E06000005","E05010428","E43000249","1","431365","0514881","1","E18000001","E40000012","E92000001","E12000001","1","E14001190","E15000001","E24000020","E30000199","E16000041","E06000005","00EHNT","E00062249","00EHNT","E65000001","E01012343","E02002567","5","1C2","E00062249","E01012343","E02002567","E33001709","E38000247","E63007428","C1","8A1",54.528257,-1.516885,"E37000034","","E23000008",16777,"E56000029","E54000050","E00188242","E01035183","E02002567","UN1"
"DL1 1AT","DL1  1AT","DL1 1AT","201005","","E99999999","E99999999","E06000005","E05010428","E43000249","0","430741","0515108","1","E18000001","E40000012","E92000001","E12000001","1","E14001190","E15000001","E24000020","E30000199","E16000041","E06000005","00EHNT","E00062254","00EHNT","E65000001","E01012342","E02002567","5","4C1","E00062254","E01012342","E02002567","E33000446","E38000247","E63007428","C1","5A1",54.530335,-1.526502,"E37000034","","E23000008",5180,"E56000029","E54000050","E00188181","E01012342","E02002567","UN1"
"DL1 1AU","DL1  1AU","DL1 1AU","201503","","E99999999","E99999999","E06000005","E05010430","E43000249","0","430023","0514857","1","E18000001","E40000012","E92000001","E12000001","1","E14001190","E15000001","E24000020","E30000199","E16000041","E06000005","00EHNT","E00062259","00EHNT","E65000001","E01012342","E02002567","5","1B2","E00062259","E01012342","E02002567","E33001713","E38000247","E63007428","C1","8D2",54.528123,-1.537622,"E37000034","","E23000008",5180,"E56000029","E54000050","E00188284","E01012342","E02002567","UN1"
"DL1 1AW","DL1  1AW","DL1 1AW","201607","","E99999999","E99999999","E06000005","E05010430","E43000249","0","429957","0514727","1","E18000001","E40000012","E92000001","E12000001","1","E14001190","E15000001","E24000020","E30000199","E16000041","E06000005","00EHNT","E00062259","00EHNT","E65000001","E01012342","E02002567","5","1B2","E00062259","E01012342","E02002567","E33001713","E38000247","E63007428","C1","8D2",54.526958,-1.538655,"E37000034","","E23000008",5180,"E56000029","E54000050","E00188284","E01012342","E02002567","UN1"
"DL1 1AX","DL1  1AX","DL1 1AX","201508","","E99999999","E99999999","E06000005","E05010428","E43000249","1","431594","0514899","1","E18000001","E40000012","E92000001","E12000001","1","E14001190","E15000001","E24000020","E30000199","E16000041","E06000005","00EHNT","E00062249","00EHNT","E65000001","E01012343","E02002567","5","1C2","E00062249","E01012343","E02002567","E33001709","E38000247","E63007428","C1","8A1",54.528405,-1.513344,"E37000034","","E23000008",16777,"E56000029","E54000050","E00188242","E01035183","E02002567","UN1"
"DL1 1AY","DL1  1AY","DL1 1AY","202001","202004","E99999999","E99999999","E06000005","E05010428","E43000249","0","431594","0514899","5","E18000001","E40000012","E92000001","E12000001","1","E14001190","E15000001","E24000020","E30000199","E16000041","E06000005","00EHNT","E00062249","00EHNT","E65000001","E01012343","E02002567","5","1C2","E00062249","E01012343","E02002567","E33001709","E38000247","E63007428","C1","8A1",54.528405,-1.513344,"E37000034","","E23000008",16777,"E56000029","E54000050","E00188242","E01035183","E02002567","UN1"
"DL1 1AZ","DL1  1AZ","DL1 1AZ","202107","","E99999999","E99999999","E06000005","E05010430","E43000249","0","429892","0515239","1","E18000001","E40000012","E92000001","E12000001","1","E14001190","E15000001","E24000020","E30000199","E16000041","E06000005","00EHNT","E00062260","00EHNT","E65000001","E01012342","E02002567","5","1B2","E00062260","E01012342","E02002567","E33000447","E38000247","E63007428","C1","8D1",54.531563,-1.539607,"E37000034","","E23000008",5180,"E56000029","E54000050","E00062260","E01012342","E02002567","UN1"
"DL1 1BA","DL1  1BA","DL1 1BA","198001","","E99999999","E99999999","E06000005","E05010428","E43000249","0","430720","0514256","1","E18000001","E40000012","E92000001","E12000001","1","E14001190","E15000001","E24000020","E30000199","E16000041","E06000005","00EHNT","E00062253","00EHNT","E65000001","E01012343","E02002567","5","4C3","E00062253","E01012343","E02002567","E33001714","E38000247","E63007428","C1","6B3",54.522680,-1.526915,"E37000034","","E23000008",16777,"E56000029","E54000050","E00062253","E01035184","E02002567","UN1"
"DL1 1BB","DL1  1BB","DL1 1BB","198001","199501","E99999999","E99999999","E06000005","E05010416","E43000249","1","430700","0514200","8","E18000001","E40000012","E92000001","E12000001","1","E14001190","E15000001","E24000020","E30000199","E16000041","E06000005","00EHNH","E00062120","00EHNH","E65000001","E01012319","E02002571","5","4C1","E00062120","E01012319","E02002571","E33001730","E38000247","E63007428","C1","6B3",54.522178,-1.527230,"E37000034","","E23000008",10936,"E56000029","E54000050","E00062120","E01012319","E02002571","UN1"
"DL1 1BD","DL1  1BD","DL1 1BD","198001","","E99999999","E99999999","E06000005","E05010428","E43000249","0","430988","0514205","1","E18000001","E40000012","E92000001","E12000001","1","E14001190","E15000001","E24000020","E30000199","E16000041","E06000005","00EHNT","E00062257","00EHNT","E65000001","E01012343","E02002567","5","5B2","E00062257","E01012343","E02002567","E33001714","E38000247","E63007428","C1","7C3",54.522206,-1.522780,"E37000034","","E23000008",16777,"E56000029","E54000050","E00062257","E01035184","E02002567","UN1"
"DL1 1BE","DL1  1BE","DL1 1BE","198001","","E99999999","E99999999","E06000005","E05010428","E43000249","0","431209","0514163","1","E18000001","E40000012","E92000001","E12000001","1","E14001190","E15000001","E24000020","E30000199","E16000041","E06000005","00EHNT","E00062249","00EHNT","E65000001","E01012343","E02002567","5","1C2","E00062249","E01012343","E02002567","E33000445","E38000247","E63007428","C1","8A1",54.521815,-1.519371,"E37000034","","E23000008",16777,"E56000029","E54000050","E00188242","E01035183","E02002567","UN1"
"DL1 1BF","DL1  1BF","DL1 1BF","202304","","E99999999","E99999999","E06000005","E05010430","E43000249","0","429739","0514569","1","E18000001","E40000012","E92000001","E12000001","1","E14001190","E15000001","E24000020","E30000199","E16000041","E06000005","00EHNT","E00062251","00EHNT","E65000001","E01012342","E02002567","5","5A1","E00062251","E01012342","E02002567","E33001713","E38000247","E63007428","C1","7A2",54.525551,-1.542039,"E37000034","","E23000008",5180,"E56000029","E54000050","E00062251","E01012342","E02002567","UN1"
"DL1 1BG","DL1  1BG","DL1 1BG","198001","","E99999999","E99999999","E06000005","E05010428","E43000249","0","431203","0514184","1","E18000001","E40000012","E92000001","E12000001","1","E14001190","E15000001","E24000020","E30000199","E16000041","E06000005","00EHNT","E00062258","00EHNT","E65000001","E01012343","E02002567","5","1C2","E00062258","E01012343","E02002567","E33001714","E38000247","E63007428","C1","8A2",54.522004,-1.519461,"E37000034","","E23000008",16777,"E56000029","E54000050","E00062258","E01035184","E02002567","UN1"
"DL1 1BH","DL1  1BH","DL1 1BH","198001","","E99999999","E99999999","E06000005","E05010428","E43000249","0","431196","0514217","1","E18000001","E40000012","E92000001","E12000001","1","E14001190","E15000001","E24000020","E30000199","E16000041","E06000005","00EHNT","E00062258","00EHNT","E65000001","E01012343","E02002567","5","1C2","E00062258","E01012343","E02002567","E33001714","E38000247","E63007428","C1","8A2",54.522301,-1.519566,"E37000034","","E23000008",16777,"E56000029","E54000050","E00062258","E01035184","E02002567","UN1"
"DL1 1BJ","DL1  1BJ","DL1 1BJ","198001","","E99999999","E99999999","E06000005","E05010428","E43000249","0","431141","0514275","1","E18000001","E40000012","E92000001","E12000001","1","E14001190","E15000001","E24000020","E30000199","E16000041","E06000005","00EHNT","E00062258","00EHNT","E65000001","E01012343","E02002567","5","1C2","E00062258","E01012343","E02002567","E33001714","E38000247","E63007428","C1","8A2",54.522825,-1.520409,"E37000034","","E23000008",16777,"E56000029","E54000050","E00062258","E01035184","E02002567","UN1"
