pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"DN1 1AA","DN1  1AA","DN1 1AA","200209","202002","E99999999","E99999999","E08000017","E05010747","E43000171","1","457452","0403271","1","E18000003","E40000012","E92000001","E12000003","2","E14001198","E15000003","E24000046","E30000201","E16000078","E08000017","00CEGE","E00038726","00CEFW","E65000001","E01007645","E02001560","5","2B2","E00038726","E01007645","E02001560","E33009043","E38000044","E63008314","B1","4A2",53.522995,-1.134899,"E37000054","","E23000011",2346,"E56000025","E54000061","E00182740","E01034238","E02001560","UN1"
"DN1 1AB","DN1  1AB","DN1 1AB","198803","","E99999999","E99999999","E08000017","E05010747","E43000171","1","457425","0403250","1","E18000003","E40000012","E92000001","E12000003","2","E14001198","E15000003","E24000046","E30000201","E16000078","E08000017","00CEGE","E00038726","00CEFW","E65000001","E01007645","E02001560","5","2B2","E00038726","E01007645","E02001560","E33009050","E38000044","E63008314","B1","4A2",53.522809,-1.135310,"E37000054","","E23000011",2346,"E56000025","E54000061","E00182740","E01034238","E02001560","UN1"
"DN1 1AD","DN1  1AD","DN1 1AD","199002","","E99999999","E99999999","E08000017","E05010738","E43000171","1","458084","0402157","1","E18000003","E40000012","E92000001","E12000003","2","E14001198","E15000003","E24000046","E30000201","E16000078","E08000017","00CEGE","E00038176","00CEFH","E65000001","E01007530","E02001560","5","6C1","E00172394","E01007530","E02001560","E33010540","E38000044","E63008314","B1","4B2",53.512914,-1.125573,"E37000054","","E23000011",2325,"E56000025","E54000061","E00172394","E01007530","E02001560","UN1"
"DN1 1AE","DN1  1AE","DN1 1AE","199002","199112","E99999999","E99999999","E08000017","E05010747","E43000171","1","457400","0403200","8","E18000003","E40000012","E92000001","E12000003","2","E14001198","E15000003","E24000046","E30000201","E16000078","E08000017","00CEGE","E00038726","00CEFW","E65000001","E01007645","E02001560","5","2B2","E00038726","E01007645","E02001560","E33009048","E38000044","E63008314","B1","4A2",53.522363,-1.135696,"E37000054","","E23000011",2346,"E56000025","E54000061","E00182740","E01034238","E02001560","UN1"
"DN1 1AF","DN1  1AF","DN1 1AF","201105","","E99999999","E99999999","E08000017","E05010747","E43000171","0","457367","0403596","1","E18000003","E40000012","E92000001","E12000003","2","E14001198","E15000003","E24000046","E30000201","E16000078","E08000017","00CEGU","E00038754","00CEFX","E65000001","E01007655","E02001560","5","7A2","E00038754","E01007655","E02001560","E33009072","E38000044","E63008314","B1","3C1",53.525925,-1.136121,"E37000054","","E23000011",2019,"E56000025","E54000061","E00182726","E01007655","E02001560","UN1"
"DN1 1AH","DN1  1AH","DN1 1AH","199301","199606","E99999999","E99999999","E08000017","E05010747","E43000171","1","457400","0403200","8","E18000003","E40000012","E92000001","E12000003","2","E14001198","E15000003","E24000046","E30000201","E16000078","E08000017","00CEGE","E00038726","00CEFW","E65000001","E01007645","E02001560","5","2B2","E00038726","E01007645","E02001560","E33009048","E38000044","E63008314","B1","4A2",53.522363,-1.135696,"E37000054","","E23000011",2346,"E56000025","E54000061","E00182740","E01034238","E02001560","UN1"
"DN1 1AL","DN1  1AL","DN1 1AL","199412","199507","E99999999","E99999999","E08000017","E05010747","E43000171","1","457210","0403160","8","E18000003","E40000012","E92000001","E12000003","2","E14001198","E15000003","E24000046","E30000201","E16000078","E08000017","00CEGE","E00038161","00CEFH","E65000001","E01007529","E02001560","5","6C1","E00038161","E01007529","E02001560","E33009017","E38000044","E63008314","B1","4A2",53.522024,-1.138569,"E37000054","","E23000011",507,"E56000025","E54000061","E00038161","E01007529","E02001560","UN1"
"DN1 1AN","DN1  1AN","DN1 1AN","201409","","E99999999","E99999999","E08000017","E05010747","E43000171","0","457313","0403167","1","E18000003","E40000012","E92000001","E12000003","2","E14001198","E15000003","E24000046","E30000201","E16000078","E08000017","00CEGE","E00038726","00CEFW","E65000001","E01007645","E02001560","5","2B2","E00038726","E01007645","E02001560","E33009044","E38000044","E63008314","B1","4A2",53.522076,-1.137014,"E37000054","","E23000011",2346,"E56000025","E54000061","E00182740","E01034238","E02001560","UN1"
"DN1 1AP","DN1  1AP","DN1 1AP","199806","200208","E99999999","E99999999","E08000017","E05010747","E43000171","1","457238","0403121","1","E18000003","E40000012","E92000001","E12000003","2","E14001198","E15000003","E24000046","E30000201","E16000078","E08000017","00CEGE","E00038161","00CEFH","E65000001","E01007529","E02001560","5","6C1","E00038161","E01007529","E02001560","E33009017","E38000044","E63008314","B1","4A2",53.521670,-1.138153,"E37000054","","E23000011",507,"E56000025","E54000061","E00038161","E01007529","E02001560","UN1"
"DN1 1AQ","DN1  1AQ","DN1 1AQ","199512","202405","E99999999","E99999999","E08000017","E05010747","E43000171","0","457172","0403058","1","E18000003","E40000012","E92000001","E12000003","2","E14001198","E15000003","E24000046","E30000201","E16000078","E08000017","00CEGE","E00038161","00CEFH","E65000001","E01007529","E02001560","5","6C1","E00038161","E01007529","E02001560","E33009017","E38000044","E63008314","B1","4A2",53.521111,-1.139160,"E37000054","","E23000011",507,"E56000025","E54000061","E00038161","E01007529","E02001560","UN1"
