pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"DT1 1AA","DT1  1AA","DT1 1AA","199002","","E99999999","E99999999","E06000059","E05012698","E04003533","1","368730","0090722","1","E18000010","E40000006","E92000001","E12000009","6","E14001575","E15000009","E24000034","E30000046","E16000142","E06000059","19UHHH","E00104064","19UHHH","E65000001","E01020521","E02004277","5","6B1","E00104064","E01032643","E02004277","E33046462","E38000045","E63013878","C1","5A3",50.715270,-2.444280,"E37000009","","E23000039",23347,"E56000016","E54000041","E00104064","E01032643","E02007006","UF1"
"DT1 1AB","DT1  1AB","DT1 1AB","200409","","E99999999","E99999999","E06000059","E05012696","E04003533","0","369874","0090687","1","E18000010","E40000006","E92000001","E12000009","6","E14001575","E15000009","E24000034","E30000046","E16000142","E06000059","19UHHG","E00104048","19UHHG","E65000001","E01020518","E02004278","5","5B4","E00104048","E01020518","E02004278","E33049589","E38000045","E63013878","C1","7A3",50.715016,-2.428073,"E37000009","","E23000039",11314,"E56000016","E54000041","E00104048","E01020518","E02004278","UF1"
"DT1 1AD","DT1  1AD","DT1 1AD","199109","","E99999999","E99999999","E06000059","E05012696","E04003533","0","369247","0090312","1","E18000010","E40000006","E92000001","E12000009","6","E14001575","E15000009","E24000034","E30000046","E16000142","E06000059","19UHHH","E00104066","19UHHH","E65000001","E01020522","E02004277","5","2B1","E00104066","E01032645","E02004277","E33046463","E38000045","E63013878","C1","7D3",50.711611,-2.436922,"E37000009","","E23000039",10392,"E56000016","E54000041","E00183089","E01032645","E02007006","UF1"
"DT1 1AE","DT1  1AE","DT1 1AE","200206","","E99999999","E99999999","E06000059","E05012698","E04003533","0","369082","0090498","1","E18000010","E40000006","E92000001","E12000009","6","E14001575","E15000009","E24000034","E30000046","E16000142","E06000059","19UHHH","E00104059","19UHHH","E65000001","E01020522","E02004277","5","2B1","E00104059","E01032644","E02004277","E33046454","E38000045","E63013878","C1","7D1",50.713275,-2.439275,"E37000009","","E23000039",11222,"E56000016","E54000041","E00104059","E01032644","E02007006","UF1"
"DT1 1AF","DT1  1AF","DT1 1AF","200206","","E99999999","E99999999","E06000059","E05012698","E04003533","0","369092","0090464","1","E18000010","E40000006","E92000001","E12000009","6","E14001575","E15000009","E24000034","E30000046","E16000142","E06000059","19UHHH","E00104060","19UHHH","E65000001","E01020522","E02004277","5","5B2","E00104060","E01032644","E02004277","E33046459","E38000045","E63013878","C1","7D3",50.712970,-2.439130,"E37000009","","E23000039",11222,"E56000016","E54000041","E00104060","E01032644","E02007006","UF1"
"DT1 1AG","DT1  1AG","DT1 1AG","200508","","E99999999","E99999999","E06000059","E05012698","E04003533","0","369072","0090413","1","E18000010","E40000006","E92000001","E12000009","6","E14001575","E15000009","E24000034","E30000046","E16000142","E06000059","19UHHH","E00104060","19UHHH","E65000001","E01020522","E02004277","5","5B2","E00104060","E01032644","E02004277","E33046459","E38000045","E63013878","C1","7D3",50.712510,-2.439409,"E37000009","","E23000039",11222,"E56000016","E54000041","E00104060","E01032644","E02007006","UF1"
"DT1 1AH","DT1  1AH","DT1 1AH","200808","","E99999999","E99999999","E06000059","E05012698","E04003533","0","368589","0090782","1","E18000010","E40000006","E92000001","E12000009","6","E14001575","E15000009","E24000034","E30000046","E16000142","E06000059","19UHHH","E00104057","19UHHH","E65000001","E01020521","E02004277","5","6D2","E00104057","E01032643","E02004277","E33046449","E38000045","E63013878","C1","5B3",50.715802,-2.446282,"E37000009","","E23000039",23347,"E56000016","E54000041","E00104057","E01032643","E02007006","UF1"
"DT1 1AJ","DT1  1AJ","DT1 1AJ","202309","202312","E99999999","E99999999","E06000059","E05012698","E04003533","0","369340","0090592","5","E18000010","E40000006","E92000001","E12000009","6","E14001575","E15000009","E24000034","E30000046","E16000142","E06000059","19UHHH","E00104070","19UHHH","E65000001","E01020522","E02004277","5","5B3","E00104070","E01032644","E02004277","E33049586","E38000045","E63013878","C1","7A2",50.714134,-2.435629,"E37000009","","E23000039",11222,"E56000016","E54000041","E00104070","E01032644","E02007006","UF1"
"DT1 1AL","DT1  1AL","DT1 1AL","200610","","E99999999","E99999999","E06000059","E05012696","E04003533","0","370090","0090402","1","E18000010","E40000006","E92000001","E12000009","6","E14001575","E15000009","E24000034","E30000046","E16000142","E06000059","19UHHG","E00104050","19UHHG","E65000001","E01020518","E02004278","5","6B1","E00104050","E01020518","E02004278","E33049589","E38000045","E63013878","C1","5B3",50.712465,-2.424990,"E37000009","","E23000039",11314,"E56000016","E54000041","E00104050","E01020518","E02004278","UF1"
"DT1 1AN","DT1  1AN","DT1 1AN","198604","","E99999999","E99999999","E06000059","E05012696","E04003533","0","369955","0090295","1","E18000010","E40000006","E92000001","E12000009","6","E14001575","E15000009","E24000034","E30000046","E16000142","E06000059","19UHHG","E00104055","19UHHG","E65000001","E01020520","E02004278","5","3A2","E00104055","E01020520","E02004278","E33049591","E38000045","E63013878","C1","5B3",50.711495,-2.426894,"E37000009","","E23000039",24717,"E56000016","E54000041","E00104055","E01020520","E02004278","UF1"
