pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"DY1 1AA","DY1  1AA","DY1 1AA","199002","199912","E99999999","E99999999","E08000027","E05015922","E43000181","1","394095","0290448","1","E18000005","E40000011","E92000001","E12000005","7","E14001204","E15000005","E24000040","E30000202","E16000115","E08000027","00CRGW","E00050012","00CRFW","E65000001","E01009881","E02002010","5","7A2","E00050012","E01009881","E02002010","E33020678","E38000259","E63009984","A1","4A1",52.511903,-2.088433,"E37000001","","E23000014",1010,"E56000007","E54000062","E00181829","E01034308","E02002010","UN1"
"DY1 1AD","DY1  1AD","DY1 1AD","198704","199912","E99999999","E99999999","E08000027","E05015922","E43000181","1","394095","0290448","1","E18000005","E40000011","E92000001","E12000005","7","E14001204","E15000005","E24000040","E30000202","E16000115","E08000027","00CRGW","E00050012","00CRFW","E65000001","E01009881","E02002010","5","7A2","E00050012","E01009881","E02002010","E33020678","E38000259","E63009984","A1","4A1",52.511903,-2.088433,"E37000001","","E23000014",1010,"E56000007","E54000062","E00181829","E01034308","E02002010","UN1"
"DY1 1AE","DY1  1AE","DY1 1AE","198704","","E99999999","E99999999","E08000027","E05015922","E43000181","1","394049","0290414","1","E18000005","E40000011","E92000001","E12000005","7","E14001204","E15000005","E24000040","E30000202","E16000115","E08000027","00CRGW","E00049982","00CRFW","E65000001","E01009881","E02002010","5","7A1","E00049982","E01009881","E02002010","E33018433","E38000259","E63009984","A1","4B2",52.511597,-2.089110,"E37000001","","E23000014",1010,"E56000007","E54000062","E00049982","E01034308","E02002010","UN1"
"DY1 1AF","DY1  1AF","DY1 1AF","201301","","E99999999","E99999999","E08000027","E05015922","E43000181","0","394483","0290503","1","E18000005","E40000011","E92000001","E12000005","7","E14001204","E15000005","E24000040","E30000202","E16000115","E08000027","00CRGW","E00049383","00CRFE","E65000001","E01009757","E02002005","5","3C2","E00049383","E01009757","E02002005","E33018390","E38000259","E63009984","A1","5B2",52.512402,-2.082717,"E37000001","","E23000014",5077,"E56000007","E54000062","E00049383","E01009757","E02002005","UN1"
"DY1 1AG","DY1  1AG","DY1 1AG","201612","","E99999999","E99999999","E08000027","E05015907","E43000181","0","394228","0290512","1","E18000005","E40000011","E92000001","E12000005","7","E14001204","E15000005","E24000040","E30000202","E16000115","E08000027","00CRGF","E00049984","00CRFW","E65000001","E01009881","E02002010","5","7B1","E00171365","E01009881","E02002010","E33019702","E38000259","E63009984","A1","7D2",52.512480,-2.086475,"E37000001","","E23000014",1010,"E56000007","E54000062","E00181826","E01034309","E02002010","UN1"
"DY1 1AH","DY1  1AH","DY1 1AH","201703","","E99999999","E99999999","E08000027","E05015907","E43000181","0","394247","0290491","1","E18000005","E40000011","E92000001","E12000005","7","E14001204","E15000005","E24000040","E30000202","E16000115","E08000027","00CRGF","E00049984","00CRFW","E65000001","E01009881","E02002010","5","7B1","E00171365","E01009881","E02002010","E33019702","E38000259","E63009984","A1","7D2",52.512292,-2.086194,"E37000001","","E23000014",1010,"E56000007","E54000062","E00181826","E01034309","E02002010","UN1"
"DY1 1AJ","DY1  1AJ","DY1 1AJ","201912","","E99999999","E99999999","E08000027","E05015922","E43000181","0","394135","0290440","1","E18000005","E40000011","E92000001","E12000005","7","E14001204","E15000005","E24000040","E30000202","E16000115","E08000027","00CRGW","E00049984","00CRFW","E65000001","E01009881","E02002010","5","7B1","E00171365","E01009881","E02002010","E33019702","E38000259","E63009984","A1","7D2",52.511832,-2.087844,"E37000001","","E23000014",1010,"E56000007","E54000062","E00181827","E01034308","E02002010","UN1"
"DY1 1BB","DY1  1BB","DY1 1BB","199806","200602","E99999999","E99999999","E08000027","E05015922","E43000181","1","394044","0290420","1","E18000005","E40000011","E92000001","E12000005","7","E14001204","E15000005","E24000040","E30000202","E16000115","E08000027","00CRGW","E00049982","00CRFW","E65000001","E01009881","E02002010","5","7A1","E00049982","E01009881","E02002010","E33018433","E38000259","E63009984","A1","4B2",52.511651,-2.089184,"E37000001","","E23000014",1010,"E56000007","E54000062","E00049982","E01034308","E02002010","UN1"
"DY1 1BF","DY1  1BF","DY1 1BF","199806","199812","E99999999","E99999999","E08000027","E05015922","E43000181","1","394000","0290400","8","E18000005","E40000011","E92000001","E12000005","7","E14001204","E15000005","E24000040","E30000202","E16000115","E08000027","00CRGW","E00049982","00CRFW","E65000001","E01009881","E02002010","5","7A1","E00049982","E01009881","E02002010","E33018433","E38000259","E63009984","A1","4B2",52.511471,-2.089832,"E37000001","","E23000014",1010,"E56000007","E54000062","E00049982","E01034308","E02002010","UN1"
"DY1 1DA","DY1  1DA","DY1 1DA","198001","","E99999999","E99999999","E08000027","E05015922","E43000181","0","394370","0290233","1","E18000005","E40000011","E92000001","E12000005","7","E14001204","E15000005","E24000040","E30000202","E16000115","E08000027","00CRGW","E00049984","00CRFW","E65000001","E01009881","E02002010","5","7B1","E00171361","E01009881","E02002010","E33019697","E38000259","E63009984","A1","4A1",52.509973,-2.084378,"E37000001","","E23000014",1010,"E56000007","E54000062","E00171361","E01034309","E02002010","UN1"
