pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"EX1 1AA","EX1  1AA","EX1 1AA","199002","200510","E10000008","E58000299","E07000041","E05011020","E43000052","1","292269","0092680","1","E18000010","E40000006","E92000001","E12000009","6","E14001231","E15000009","E24000032","E30000206","E16000145","E07000041","18UCGG","E00101312","18UCGG","E65000001","E01020016","E02004156","5","2B2","E00171931","E01020016","E02004156","E33047003","E38000230","E63013856","C1","2A1",50.723713,-3.527619,"E37000016","","E23000035",5374,"E56000014","E54000037","E00180241","E01034630","E02004156","UN1"
"EX1 1AB","EX1  1AB","EX1 1AB","199912","200610","E10000008","E58000299","E07000041","E05011020","E43000052","1","292241","0092434","1","E18000010","E40000006","E92000001","E12000009","6","E14001231","E15000009","E24000032","E30000206","E16000145","E07000041","18UCGG","E00101312","18UCGG","E65000001","E01020016","E02004156","5","2B2","E00171932","E01020016","E02004156","E33047013","E38000230","E63013856","C1","2A3",50.721497,-3.527944,"E37000016","","E23000035",5374,"E56000014","E54000037","E00171932","E01034630","E02004156","UN1"
"EX1 1AD","EX1  1AD","EX1 1AD","198001","199112","E10000008","E58000299","E07000041","E05011020","E43000052","1","292200","0092600","8","E18000010","E40000006","E92000001","E12000009","6","E14001231","E15000009","E24000032","E30000206","E16000145","E07000041","18UCGG","E00101312","18UCGG","E65000001","E01020016","E02004156","5","2B2","E00171931","E01020016","E02004156","E33046997","E38000230","E63013856","C1","2A1",50.722981,-3.528573,"E37000016","","E23000035",5374,"E56000014","E54000037","E00180288","E01034630","E02004156","UN1"
"EX1 1AE","EX1  1AE","EX1 1AE","200808","","E10000008","E58000299","E07000041","E05011020","E43000052","0","291966","0092583","1","E18000010","E40000006","E92000001","E12000009","6","E14001231","E15000009","E24000032","E30000206","E16000145","E07000041","18UCGG","E00101312","18UCGG","E65000001","E01020016","E02004156","5","2B2","E00171931","E01020016","E02004156","E33047001","E38000230","E63013856","C1","2A1",50.722785,-3.531882,"E37000016","","E23000035",5374,"E56000014","E54000037","E00180288","E01034630","E02004156","UN1"
"EX1 1AF","EX1  1AF","EX1 1AF","201001","","E10000008","E58000299","E07000041","E05011020","E43000052","0","292235","0092324","1","E18000010","E40000006","E92000001","E12000009","6","E14001231","E15000009","E24000032","E30000206","E16000145","E07000041","18UCGG","E00101312","18UCGG","E65000001","E01020016","E02004156","5","2B2","E00171932","E01020016","E02004156","E33047015","E38000230","E63013856","C1","2A3",50.720507,-3.527996,"E37000016","","E23000035",5374,"E56000014","E54000037","E00171932","E01034630","E02004156","UN1"
"EX1 1AG","EX1  1AG","EX1 1AG","199002","199112","E10000008","E58000299","E07000041","E05011020","E43000052","1","292200","0092600","8","E18000010","E40000006","E92000001","E12000009","6","E14001231","E15000009","E24000032","E30000206","E16000145","E07000041","18UCGG","E00101312","18UCGG","E65000001","E01020016","E02004156","5","2B2","E00171931","E01020016","E02004156","E33046997","E38000230","E63013856","C1","2A1",50.722981,-3.528573,"E37000016","","E23000035",5374,"E56000014","E54000037","E00180288","E01034630","E02004156","UN1"
"EX1 1AH","EX1  1AH","EX1 1AH","199002","200503","E10000008","E58000299","E07000041","E05011020","E43000052","1","292269","0092680","1","E18000010","E40000006","E92000001","E12000009","6","E14001231","E15000009","E24000032","E30000206","E16000145","E07000041","18UCGG","E00101312","18UCGG","E65000001","E01020016","E02004156","5","2B2","E00171931","E01020016","E02004156","E33047003","E38000230","E63013856","C1","2A1",50.723713,-3.527619,"E37000016","","E23000035",5374,"E56000014","E54000037","E00180241","E01034630","E02004156","UN1"
"EX1 1AJ","EX1  1AJ","EX1 1AJ","201105","","E10000008","E58000299","E07000041","E05011020","E43000052","0","292170","0092612","1","E18000010","E40000006","E92000001","E12000009","6","E14001231","E15000009","E24000032","E30000206","E16000145","E07000041","18UCGG","E00101312","18UCGG","E65000001","E01020016","E02004156","5","2B2","E00171931","E01020016","E02004156","E33046999","E38000230","E63013856","C1","2A1",50.723084,-3.529001,"E37000016","","E23000035",5374,"E56000014","E54000037","E00180288","E01034630","E02004156","UN1"
"EX1 1AL","EX1  1AL","EX1 1AL","201305","","E10000008","E58000299","E07000041","E05011020","E43000052","0","291978","0092281","1","E18000010","E40000006","E92000001","E12000009","6","E14001231","E15000009","E24000032","E30000206","E16000145","E07000041","18UCGG","E00101317","18UCGG","E65000001","E01020016","E02004156","5","5A1","E00101317","E01020016","E02004156","E33048901","E38000230","E63013856","C1","7B3",50.720072,-3.531623,"E37000016","","E23000035",5374,"E56000014","E54000037","E00101317","E01034631","E02004156","UN1"
"EX1 1AN","EX1  1AN","EX1 1AN","201212","","E10000008","E58000299","E07000041","E05011020","E43000052","0","291989","0092311","1","E18000010","E40000006","E92000001","E12000009","6","E14001231","E15000009","E24000032","E30000206","E16000145","E07000041","18UCGG","E00101317","18UCGG","E65000001","E01020016","E02004156","5","5A1","E00101317","E01020016","E02004156","E33048901","E38000230","E63013856","C1","7B3",50.720344,-3.531476,"E37000016","","E23000035",5374,"E56000014","E54000037","E00101317","E01034631","E02004156","UN1"
