pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"FK1 1AA","FK1  1AA","FK1 1AA","198001","","S99999999","S99999999","S12000014","S13002942","S99999999","1","288795","0680221","1","S08000019","S99999999","S92000003","S99999999","0","S14000083","S15000001","S09000002","S22000061","S03000010","S30000009","99ZZ00","S00017325","15C07","S99999999","S01002462","S02000460","2","2B1","S00107732","S01009140","S02001713","S34000289","S03000010","S99999999","2","7C3",56.001991,-3.784770,"S99999999","","S23000009",1481,"S99999999","S99999999","S00152934","S01016239","S02003005","2"
"FK1 1AD","FK1  1AD","FK1 1AD","198608","199207","S99999999","S99999999","S12000014","S13002942","S99999999","1","288795","0680221","8","S08000019","S99999999","S92000003","S99999999","0","S14000083","S15000001","S09000002","S22000061","S03000010","S30000009","99ZZ00","S00017325","15C07","S99999999","S01002462","S02000460","2","2B1","S00107732","S01009140","S02001713","S34000289","S03000010","S99999999","2","7C3",56.001991,-3.784770,"S99999999","","S23000009",1481,"S99999999","S99999999","S00152934","S01016239","S02003005","2"
"FK1 1AE","FK1  1AE","FK1 1AE","201603","","S99999999","S99999999","S12000014","S13002942","S99999999","0","288959","0679844","1","S08000019","S99999999","S92000003","S99999999","0","S14000083","S15000001","S09000002","S22000061","S03000010","S30000009","99ZZ00","S00017327","15C04","S99999999","S01002442","S02000452","2","2A1","S00107734","S01009153","S02001715","S34000291","S03000010","S99999999","2","2C2",55.998644,-3.781986,"S99999999","","S23000009",2836,"S99999999","S99999999","S00153138","S01016251","S02003008","2"
"FK1 1AF","FK1  1AF","FK1 1AF","201808","","S99999999","S99999999","S12000014","S13002942","S99999999","0","288838","0679834","1","S08000019","S99999999","S92000003","S99999999","0","S14000083","S15000001","S09000002","S22000061","S03000010","S30000009","99ZZ00","S00017324","15C04","S99999999","S01002442","S02000452","2","2B1","S00107727","S01009151","S02001715","S34000286","S03000010","S99999999","2","5B3",55.998526,-3.783921,"S99999999","","S23000009",3919,"S99999999","S99999999","S00153121","S01016250","S02003008","2"
"FK1 1AG","FK1  1AG","FK1 1AG","201906","","S99999999","S99999999","S12000014","S13002942","S99999999","0","288987","0679763","1","S08000019","S99999999","S92000003","S99999999","0","S14000083","S15000001","S09000002","S22000061","S03000010","S30000009","99ZZ00","S00017340","15C04","S99999999","S01002437","S02000452","2","2B1","S00107737","S01009152","S02001715","S34001220","S03000010","S99999999","2","2C1",55.997923,-3.781503,"S99999999","","S23000009",1789,"S99999999","S99999999","S00153138","S01016251","S02003008","2"
"FK1 1AT","FK1  1AT","FK1 1AT","197511","199412","S99999999","S99999999","S12000014","S13002942","S99999999","1","288700","0680240","8","S08000019","S99999999","S92000003","S99999999","0","S14000083","S15000001","S09000002","S22000061","S03000010","S30000009","99ZZ00","S00017325","15C07","S99999999","S01002462","S02000460","2","2B1","S00107732","S01009140","S02001713","S34000289","S03000010","S99999999","2","7C3",56.002140,-3.786301,"S99999999","","S23000009",1481,"S99999999","S99999999","S00152934","S01016239","S02003005","2"
"FK1 1AZ","FK1  1AZ","FK1 1AZ","199012","","S99999999","S99999999","S12000014","S13002942","S99999999","0","288706","0679645","1","S08000019","S99999999","S92000003","S99999999","0","S14000083","S15000001","S09000002","S22000061","S03000010","S30000009","99ZZ00","S00017320","15C04","S99999999","S01002423","S02000452","2","4D2","S00107727","S01009151","S02001715","S34000286","S03000010","S99999999","2","5B3",55.996798,-3.785957,"S99999999","","S23000009",3919,"S99999999","S99999999","S00153121","S01016250","S02003008","2"
"FK1 1BA","FK1  1BA","FK1 1BA","198001","","S99999999","S99999999","S12000014","S13002942","S99999999","0","288809","0679745","1","S08000019","S99999999","S92000003","S99999999","0","S14000083","S15000001","S09000002","S22000061","S03000010","S30000009","99ZZ00","S00017324","15C04","S99999999","S01002442","S02000452","2","2B1","S00107727","S01009151","S02001715","S34000286","S03000010","S99999999","2","5B3",55.997720,-3.784348,"S99999999","","S23000009",3919,"S99999999","S99999999","S00153121","S01016250","S02003008","2"
"FK1 1BB","FK1  1BB","FK1 1BB","198001","","S99999999","S99999999","S12000014","S13002942","S99999999","0","288754","0679803","1","S08000019","S99999999","S92000003","S99999999","0","S14000083","S15000001","S09000002","S22000061","S03000010","S30000009","99ZZ00","S00017324","15C04","S99999999","S01002442","S02000452","2","2B1","S00107727","S01009151","S02001715","S34000286","S03000010","S99999999","2","5B3",55.998228,-3.785254,"S99999999","","S23000009",3919,"S99999999","S99999999","S00153121","S01016250","S02003008","2"
"FK1 1BD","FK1  1BD","FK1 1BD","197308","199512","S99999999","S99999999","S12000014","S13002942","S99999999","0","288790","0679810","8","S08000019","S99999999","S92000003","S99999999","0","S14000083","S15000001","S09000002","S22000061","S03000010","S30000009","99ZZ00","S00017324","15C04","S99999999","S01002442","S02000452","2","2B1","S00107727","S01009151","S02001715","S34000286","S03000010","S99999999","2","5B3",55.998299,-3.784680,"S99999999","","S23000009",3919,"S99999999","S99999999","S00153121","S01016250","S02003008","2"
