pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"FY0 1BR","FY0  1BR","FY0 1BR","200002","200009","E10000017","E58000825","E07000119","E05014542","E04005176","0","333634","0429165","8","E18000002","E40000014","E92000001","E12000002","8","E14001242","E15000002","E24000022","E30000171","E16000087","E07000119","30UFGH","E00126906","30UFGH","E65000001","E01025002","E02005207","5","6C2","E00126906","E01025002","E02005207","E33008254","E38000226","E63007950","C1","5B3",53.754617,-3.008008,"E37000019","","E23000003",17253,"E56000018","E54000048","E00126906","E01025002","E02005207","UN1"
"FY0 1YN","FY0  1YN","FY0 1YN","199002","199906","E10000017","E58000825","E07000119","E05014542","E04005176","1","333561","0429192","3","E18000002","E40000014","E92000001","E12000002","8","E14001242","E15000002","E24000022","E30000171","E16000087","E07000119","30UFGH","E00126906","30UFGH","E65000001","E01025002","E02005207","5","6C2","E00126906","E01025002","E02005207","E33008254","E38000226","E63007950","C1","5B3",53.754851,-3.009121,"E37000019","","E23000003",17253,"E56000018","E54000048","E00126906","E01025002","E02005207","UN1"
"FY0 1YS","FY0  1YS","FY0 1YS","198704","201705","E10000017","E58000825","E07000119","E05014542","E04005176","1","333646","0429155","1","E18000002","E40000014","E92000001","E12000002","8","E14001242","E15000002","E24000022","E30000171","E16000087","E07000119","30UFGH","E00126906","30UFGH","E65000001","E01025002","E02005207","5","6C2","E00126906","E01025002","E02005207","E33008254","E38000226","E63007950","C1","5B3",53.754529,-3.007824,"E37000019","","E23000003",17253,"E56000018","E54000048","E00126906","E01025002","E02005207","UN1"
"FY0 1YY","FY0  1YY","FY0 1YY","200002","200009","E10000017","E58000825","E07000119","E05014542","E04005176","0","333634","0429165","8","E18000002","E40000014","E92000001","E12000002","8","E14001242","E15000002","E24000022","E30000171","E16000087","E07000119","30UFGH","E00126906","30UFGH","E65000001","E01025002","E02005207","5","6C2","E00126906","E01025002","E02005207","E33008254","E38000226","E63007950","C1","5B3",53.754617,-3.008008,"E37000019","","E23000003",17253,"E56000018","E54000048","E00126906","E01025002","E02005207","UN1"
"FY0 1ZX","FY0  1ZX","FY0 1ZX","200002","200009","E10000017","E58000825","E07000119","E05014542","E04005176","0","333634","0429165","8","E18000002","E40000014","E92000001","E12000002","8","E14001242","E15000002","E24000022","E30000171","E16000087","E07000119","30UFGH","E00126906","30UFGH","E65000001","E01025002","E02005207","5","6C2","E00126906","E01025002","E02005207","E33008254","E38000226","E63007950","C1","5B3",53.754617,-3.008008,"E37000019","","E23000003",17253,"E56000018","E54000048","E00126906","E01025002","E02005207","UN1"
"FY0 1ZY","FY0  1ZY","FY0 1ZY","200002","200009","E10000017","E58000825","E07000119","E05014542","E04005176","0","333634","0429165","8","E18000002","E40000014","E92000001","E12000002","8","E14001242","E15000002","E24000022","E30000171","E16000087","E07000119","30UFGH","E00126906","30UFGH","E65000001","E01025002","E02005207","5","6C2","E00126906","E01025002","E02005207","E33008254","E38000226","E63007950","C1","5B3",53.754617,-3.008008,"E37000019","","E23000003",17253,"E56000018","E54000048","E00126906","E01025002","E02005207","UN1"
"FY0 1ZZ","FY0  1ZZ","FY0 1ZZ","200002","200009","E10000017","E58000825","E07000119","E05014542","E04005176","0","333634","0429165","8","E18000002","E40000014","E92000001","E12000002","8","E14001242","E15000002","E24000022","E30000171","E16000087","E07000119","30UFGH","E00126906","30UFGH","E65000001","E01025002","E02005207","5","6C2","E00126906","E01025002","E02005207","E33008254","E38000226","E63007950","C1","5B3",53.754617,-3.008008,"E37000019","","E23000003",17253,"E56000018","E54000048","E00126906","E01025002","E02005207","UN1"
"FY1 1AA","FY1  1AA","FY1 1AA","198001","201005","E99999999","E99999999","E06000009","E05015202","E43000009","1","330862","0436347","1","E18000002","E40000014","E92000001","E12000002","8","E14001105","E15000002","E24000022","E30000171","E16000033","E06000009","00EYNR","E00064231","00EYNR","E65000001","E01012737","E02002642","5","2A1","E00064231","E01012737","E02002642","E33003416","E38000015","E63007890","C1","2C1",53.818796,-3.051654,"E37000019","","E23000003",7,"E56000018","E54000048","E00064231","E01012737","E02002642","UN1"
"FY1 1AB","FY1  1AB","FY1 1AB","200206","200403","E99999999","E99999999","E06000009","E05015202","E43000009","1","330862","0436347","5","E18000002","E40000014","E92000001","E12000002","8","E14001105","E15000002","E24000022","E30000171","E16000033","E06000009","00EYNR","E00064231","00EYNR","E65000001","E01012737","E02002642","5","2A1","E00064231","E01012737","E02002642","E33003416","E38000015","E63007890","C1","2C1",53.818796,-3.051654,"E37000019","","E23000003",7,"E56000018","E54000048","E00064231","E01012737","E02002642","UN1"
"FY1 1AD","FY1  1AD","FY1 1AD","201205","202304","E99999999","E99999999","E06000009","E05015202","E43000009","1","330849","0436336","1","E18000002","E40000014","E92000001","E12000002","8","E14001105","E15000002","E24000022","E30000171","E16000033","E06000009","00EYNR","E00064231","00EYNR","E65000001","E01012737","E02002642","5","2A1","E00064231","E01012737","E02002642","E33003416","E38000015","E63007890","C1","2C1",53.818696,-3.051848,"E37000019","","E23000003",7,"E56000018","E54000048","E00064231","E01012737","E02002642","UN1"
