pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"HD1 1AA","HD1  1AA","HD1 1AA","200006","","E99999999","E99999999","E08000034","E05001410","E43000188","0","414538","0416902","1","E18000003","E40000012","E92000001","E12000003","2","E14001297","E15000003","E24000045","E30000219","E16000075","E08000034","00CZHA","E00055983","00CZFK","E65000001","E01011107","E02002299","5","2A2","E00055983","E01011107","E02002299","E33009452","E38000254","E63008114","A1","3A2",53.648438,-1.781546,"E37000062","","E23000010",2928,"E56000030","E54000054","E00178700","E01011107","E02002299","UN1"
"HD1 1AB","HD1  1AB","HD1 1AB","201801","","E99999999","E99999999","E08000034","E05001410","E43000188","0","414301","0416764","1","E18000003","E40000012","E92000001","E12000003","2","E14001297","E15000003","E24000045","E30000219","E16000075","E08000034","00CZHA","E00056613","00CZFY","E65000001","E01011236","E02002304","5","7A3","E00056613","E01011236","E02002304","E33009502","E38000254","E63008114","A1","3A2",53.647204,-1.785137,"E37000062","","E23000010",4175,"E56000030","E54000054","E00178702","E01011236","E02002304","UN1"
"HD1 1AD","HD1  1AD","HD1 1AD","202311","","E99999999","E99999999","E08000034","E05001396","E43000188","0","414692","0416974","1","E18000003","E40000012","E92000001","E12000003","2","E14001297","E15000003","E24000045","E30000219","E16000075","E08000034","00CZGK","E00055981","00CZFK","E65000001","E01011107","E02002299","5","7B1","E00055981","E01011107","E02002299","E33009443","E38000254","E63008114","A1","3A2",53.649081,-1.779212,"E37000062","","E23000010",2928,"E56000030","E54000054","E00055981","E01011107","E02002299","UN1"
"HD1 1AE","HD1  1AE","HD1 1AE","200005","200009","E99999999","E99999999","E08000034","E05001410","E43000188","0","414500","0416900","8","E18000003","E40000012","E92000001","E12000003","2","E14001297","E15000003","E24000045","E30000219","E16000075","E08000034","00CZHA","E00055983","00CZFK","E65000001","E01011107","E02002299","5","2A2","E00055983","E01011107","E02002299","E33009459","E38000254","E63008114","A1","3A2",53.648421,-1.782120,"E37000062","","E23000010",2928,"E56000030","E54000054","E00178700","E01011107","E02002299","UN1"
"HD1 1AG","HD1  1AG","HD1 1AG","202508","","E99999999","E99999999","E08000034","E05001410","E43000188","0","414650","0416929","1","E18000003","E40000012","E92000001","E12000003","2","E14001297","E15000003","E24000045","E30000219","E16000075","E08000034","00CZHA","E00055983","00CZFK","E65000001","E01011107","E02002299","5","2A2","E00055983","E01011107","E02002299","E33009465","E38000254","E63008114","A1","3A2",53.648678,-1.779850,"E37000062","","E23000010",2928,"E56000030","E54000054","E00178700","E01011107","E02002299","UN1"
"HD1 1AQ","HD1  1AQ","HD1 1AQ","199301","199501","E99999999","E99999999","E08000034","E05001410","E43000188","1","414500","0416900","8","E18000003","E40000012","E92000001","E12000003","2","E14001297","E15000003","E24000045","E30000219","E16000075","E08000034","00CZHA","E00055983","00CZFK","E65000001","E01011107","E02002299","5","2A2","E00055983","E01011107","E02002299","E33009459","E38000254","E63008114","A1","3A2",53.648421,-1.782120,"E37000062","","E23000010",2928,"E56000030","E54000054","E00178700","E01011107","E02002299","UN1"
"HD1 1BA","HD1  1BA","HD1 1BA","198001","","E99999999","E99999999","E08000034","E05001410","E43000188","0","414487","0416764","1","E18000003","E40000012","E92000001","E12000003","2","E14001297","E15000003","E24000045","E30000219","E16000075","E08000034","00CZHA","E00055983","00CZFK","E65000001","E01011107","E02002299","5","2A2","E00055983","E01011107","E02002299","E33009463","E38000254","E63008114","A1","3A2",53.647199,-1.782323,"E37000062","","E23000010",2928,"E56000030","E54000054","E00178700","E01011107","E02002299","UN1"
"HD1 1BB","HD1  1BB","HD1 1BB","199201","200007","E99999999","E99999999","E08000034","E05001410","E43000188","1","414431","0416847","1","E18000003","E40000012","E92000001","E12000003","2","E14001297","E15000003","E24000045","E30000219","E16000075","E08000034","00CZHA","E00056613","00CZFY","E65000001","E01011236","E02002304","5","7A3","E00056613","E01011236","E02002304","E33009504","E38000254","E63008114","A1","3A2",53.647947,-1.783167,"E37000062","","E23000010",4175,"E56000030","E54000054","E00178702","E01011236","E02002304","UN1"
"HD1 1BD","HD1  1BD","HD1 1BD","198001","198312","E99999999","E99999999","E08000034","E05001410","E43000188","1","414400","0416700","8","E18000003","E40000012","E92000001","E12000003","2","E14001297","E15000003","E24000045","E30000219","E16000075","E08000034","00CZHA","E00055983","00CZFK","E65000001","E01011107","E02002299","5","2A2","E00055983","E01011107","E02002299","E33009450","E38000254","E63008114","A1","3A2",53.646626,-1.783642,"E37000062","","E23000010",2928,"E56000030","E54000054","E00178672","E01011107","E02002299","UN1"
"HD1 1BE","HD1  1BE","HD1 1BE","198001","198612","E99999999","E99999999","E08000034","E05001410","E43000188","1","414400","0416700","8","E18000003","E40000012","E92000001","E12000003","2","E14001297","E15000003","E24000045","E30000219","E16000075","E08000034","00CZHA","E00055983","00CZFK","E65000001","E01011107","E02002299","5","2A2","E00055983","E01011107","E02002299","E33009450","E38000254","E63008114","A1","3A2",53.646626,-1.783642,"E37000062","","E23000010",2928,"E56000030","E54000054","E00178672","E01011107","E02002299","UN1"
