pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"HR1 1AA","HR1  1AA","HR1 1AA","199002","","E99999999","E99999999","E06000019","E05009489","E04000921","1","351418","0240501","1","E18000005","E40000011","E92000001","E12000005","7","E14001281","E15000005","E24000042","E30000216","E16000015","E06000019","00GAPG","E00070724","00GAPG","E65000001","E01014010","E02002916","5","6C2","E00070724","E01014010","E02002916","E33018740","E38000236","E63010929","C1","4A2",52.060754,-2.710029,"E37000036","","E23000016",8153,"E56000007","E54000019","E00070724","E01014010","E02002916","UF1"
"HR1 1AB","HR1  1AB","HR1 1AB","201205","","E99999999","E99999999","E06000019","E05009460","E04000775","0","351331","0242130","1","E18000005","E40000011","E92000001","E12000005","7","E14001395","E15000005","E24000042","E30000216","E16000015","E06000019","00GAPE","E00070704","00GAPE","E65000001","E01014007","E02002915","5","3C2","E00070704","E01014007","E02002915","E33021418","E38000236","E63010929","C1","1C2",52.075391,-2.711530,"E37000036","","E23000016",22923,"E56000007","E54000019","E00187232","E01035056","E02002915","UF1"
"HR1 1AD","HR1  1AD","HR1 1AD","200808","","E99999999","E99999999","E06000019","E05009460","E04000921","0","351857","0241364","1","E18000005","E40000011","E92000001","E12000005","7","E14001395","E15000005","E24000042","E30000216","E16000015","E06000019","00GANY","E00070596","00GANY","E65000001","E01013987","E02002915","5","4B1","E00070596","E01013987","E02002915","E33021419","E38000236","E63010929","C1","5B3",52.068551,-2.703747,"E37000036","","E23000016",26371,"E56000007","E54000019","E00070596","E01013987","E02002915","UF1"
"HR1 1AE","HR1  1AE","HR1 1AE","201307","","E99999999","E99999999","E06000019","E05009460","E04000775","0","351309","0242208","1","E18000005","E40000011","E92000001","E12000005","7","E14001395","E15000005","E24000042","E30000216","E16000015","E06000019","00GAPE","E00070704","00GAPE","E65000001","E01014007","E02002915","5","3C2","E00070704","E01014007","E02002915","E33021418","E38000236","E63010929","C1","1C2",52.076090,-2.711862,"E37000036","","E23000016",22923,"E56000007","E54000019","E00187201","E01035056","E02002915","UF1"
"HR1 1AF","HR1  1AF","HR1 1AF","201312","","E99999999","E99999999","E06000019","E05009460","E04000775","0","351401","0242233","1","E18000005","E40000011","E92000001","E12000005","7","E14001395","E15000005","E24000042","E30000216","E16000015","E06000019","00GAPE","E00070704","00GAPE","E65000001","E01014007","E02002915","5","3C2","E00070704","E01014007","E02002915","E33021418","E38000236","E63010929","C1","1C2",52.076323,-2.710523,"E37000036","","E23000016",22923,"E56000007","E54000019","E00187201","E01035056","E02002915","UF1"
"HR1 1AG","HR1  1AG","HR1 1AG","201501","","E99999999","E99999999","E06000019","E05009460","E04000921","0","352216","0241423","1","E18000005","E40000011","E92000001","E12000005","7","E14001395","E15000005","E24000042","E30000216","E16000015","E06000019","00GANY","E00070596","00GANY","E65000001","E01013987","E02002915","5","4B1","E00070596","E01013987","E02002915","E33021419","E38000236","E63010929","C1","5B3",52.069112,-2.698519,"E37000036","","E23000016",26371,"E56000007","E54000019","E00070596","E01013987","E02002915","UF1"
"HR1 1AH","HR1  1AH","HR1 1AH","198710","","E99999999","E99999999","E06000019","E05009460","E04000921","0","351735","0241673","1","E18000005","E40000011","E92000001","E12000005","7","E14001395","E15000005","E24000042","E30000216","E16000015","E06000019","00GANY","E00070594","00GANY","E65000001","E01013987","E02002915","5","3A1","E00070594","E01013987","E02002915","E33021419","E38000236","E63010929","C1","8A1",52.071318,-2.705571,"E37000036","","E23000016",26371,"E56000007","E54000019","E00070594","E01013987","E02002915","UF1"
"HR1 1AJ","HR1  1AJ","HR1 1AJ","198710","","E99999999","E99999999","E06000019","E05009460","E04000921","0","351719","0241654","1","E18000005","E40000011","E92000001","E12000005","7","E14001395","E15000005","E24000042","E30000216","E16000015","E06000019","00GANY","E00070594","00GANY","E65000001","E01013987","E02002915","5","3A1","E00070594","E01013987","E02002915","E33021419","E38000236","E63010929","C1","8A1",52.071146,-2.705802,"E37000036","","E23000016",26371,"E56000007","E54000019","E00070594","E01013987","E02002915","UF1"
"HR1 1AL","HR1  1AL","HR1 1AL","198710","","E99999999","E99999999","E06000019","E05009460","E04000921","0","351793","0241668","1","E18000005","E40000011","E92000001","E12000005","7","E14001395","E15000005","E24000042","E30000216","E16000015","E06000019","00GANY","E00070594","00GANY","E65000001","E01013987","E02002915","5","3A1","E00070594","E01013987","E02002915","E33021419","E38000236","E63010929","C1","8A1",52.071278,-2.704724,"E37000036","","E23000016",26371,"E56000007","E54000019","E00070594","E01013987","E02002915","UF1"
"HR1 1AN","HR1  1AN","HR1 1AN","198710","","E99999999","E99999999","E06000019","E05009460","E04000921","0","351935","0241668","1","E18000005","E40000011","E92000001","E12000005","7","E14001395","E15000005","E24000042","E30000216","E16000015","E06000019","00GANY","E00070594","00GANY","E65000001","E01013987","E02002915","5","3A1","E00070594","E01013987","E02002915","E33021419","E38000236","E63010929","C1","8A1",52.071290,-2.702652,"E37000036","","E23000016",26371,"E56000007","E54000019","E00070594","E01013987","E02002915","UF1"
"HR1 1AP","HR1  1AP","HR1 1AP","198710","","E99999999","E99999999","E06000019","E05009460","E04000921","0","351688","0241580","1","E18000005","E40000011","E92000001","E12000005","7","E14001395","E15000005","E24000042","E30000216","E16000015","E06000019","00GANY","E00070594","00GANY","E65000001","E01013987","E02002915","5","3A1","E00070594","E01013987","E02002915","E33021419","E38000236","E63010929","C1","8A1",52.070478,-2.706243,"E37000036","","E23000016",26371,"E56000007","E54000019","E00070594","E01013987","E02002915","UF1"
"HR1 1AQ","HR1  1AQ","HR1 1AQ","201103","","E99999999","E99999999","E06000019","E05009460","E04000921","0","352321","0241075","1","E18000005","E40000011","E92000001","E12000005","7","E14001395","E15000005","E24000042","E30000216","E16000015","E06000019","00GANY","E00070596","00GANY","E65000001","E01013987","E02002915","5","4B1","E00070596","E01013987","E02002915","E33021419","E38000236","E63010929","C1","5B3",52.065993,-2.696939,"E37000036","","E23000016",26371,"E56000007","E54000019","E00070596","E01013987","E02002915","UF1"
"HR1 1AR","HR1  1AR","HR1 1AR","198710","","E99999999","E99999999","E06000019","E05009460","E04000921","0","351742","0241585","1","E18000005","E40000011","E92000001","E12000005","7","E14001395","E15000005","E24000042","E30000216","E16000015","E06000019","00GANY","E00070594","00GANY","E65000001","E01013987","E02002915","5","3A1","E00070594","E01013987","E02002915","E33021419","E38000236","E63010929","C1","8A1",52.070527,-2.705456,"E37000036","","E23000016",26371,"E56000007","E54000019","E00070594","E01013987","E02002915","UF1"
"HR1 1AS","HR1  1AS","HR1 1AS","198710","","E99999999","E99999999","E06000019","E05009460","E04000921","0","351705","0241465","1","E18000005","E40000011","E92000001","E12000005","7","E14001395","E15000005","E24000042","E30000216","E16000015","E06000019","00GANY","E00070598","00GANY","E65000001","E01013989","E02002916","5","1C3","E00070598","E01013989","E02002916","E33021422","E38000236","E63010929","C1","8D2",52.069445,-2.705979,"E37000036","","E23000016",11851,"E56000007","E54000019","E00070598","E01013989","E02002916","UF1"
"HR1 1AT","HR1  1AT","HR1 1AT","198604","","E99999999","E99999999","E06000019","E05009486","E04000921","0","353597","0239649","1","E18000005","E40000011","E92000001","E12000005","7","E14001281","E15000005","E24000042","E30000216","E16000015","E06000019","00GAQM","E00071153","00GAQM","E65000001","E01014093","E02002918","5","4A2","E00071153","E01014093","E02002918","E33021431","E38000236","E63010929","C1","6B2",52.053282,-2.678132,"E37000036","","E23000016",22164,"E56000007","E54000019","E00071153","E01014093","E02002918","UF1"
"HR1 1AU","HR1  1AU","HR1 1AU","198604","","E99999999","E99999999","E06000019","E05009486","E04000921","0","353615","0239700","1","E18000005","E40000011","E92000001","E12000005","7","E14001281","E15000005","E24000042","E30000216","E16000015","E06000019","00GAQM","E00071153","00GAQM","E65000001","E01014093","E02002918","5","4A2","E00071153","E01014093","E02002918","E33021431","E38000236","E63010929","C1","6B2",52.053742,-2.677877,"E37000036","","E23000016",22164,"E56000007","E54000019","E00071153","E01014093","E02002918","UF1"
"HR1 1AW","HR1  1AW","HR1 1AW","198710","","E99999999","E99999999","E06000019","E05009460","E04000921","0","351696","0241535","1","E18000005","E40000011","E92000001","E12000005","7","E14001395","E15000005","E24000042","E30000216","E16000015","E06000019","00GANY","E00070598","00GANY","E65000001","E01013989","E02002916","5","1C3","E00070598","E01013989","E02002916","E33021422","E38000236","E63010929","C1","8D2",52.070074,-2.706120,"E37000036","","E23000016",11851,"E56000007","E54000019","E00070598","E01013989","E02002916","UF1"
"HR1 1AX","HR1  1AX","HR1 1AX","198604","","E99999999","E99999999","E06000019","E05009440","E04000768","0","353699","0239624","1","E18000005","E40000011","E92000001","E12000005","7","E14001395","E15000005","E24000042","E30000216","E16000015","E06000019","00GANZ","E00070614","00GANZ","E65000001","E01013990","E02002922","6","3C2","E00070614","E01013990","E02002922","E33021445","E38000236","E63010929","D1","1C3",52.053066,-2.676641,"E37000036","","E23000016",23230,"E56000007","E54000019","E00070614","E01013990","E02002922","UF1"
"HR1 1AY","HR1  1AY","HR1 1AY","198604","","E99999999","E99999999","E06000019","E05009486","E04000921","0","353679","0239535","1","E18000005","E40000011","E92000001","E12000005","7","E14001281","E15000005","E24000042","E30000216","E16000015","E06000019","00GAQM","E00071153","00GAQM","E65000001","E01014093","E02002918","5","4A2","E00071153","E01014093","E02002918","E33021431","E38000236","E63010929","C1","6B2",52.052264,-2.676921,"E37000036","","E23000016",22164,"E56000007","E54000019","E00071153","E01014093","E02002918","UF1"
"HR1 1AZ","HR1  1AZ","HR1 1AZ","198604","","E99999999","E99999999","E06000019","E05009486","E04000921","0","353654","0239504","1","E18000005","E40000011","E92000001","E12000005","7","E14001281","E15000005","E24000042","E30000216","E16000015","E06000019","00GAQM","E00071153","00GAQM","E65000001","E01014093","E02002918","5","4A2","E00071153","E01014093","E02002918","E33021431","E38000236","E63010929","C1","6B2",52.051983,-2.677281,"E37000036","","E23000016",22164,"E56000007","E54000019","E00071153","E01014093","E02002918","UF1"
"HR1 1BA","HR1  1BA","HR1 1BA","198402","200210","E99999999","E99999999","E06000019","E05009489","E04000921","1","351413","0240579","1","E18000005","E40000011","E92000001","E12000005","7","E14001281","E15000005","E24000042","E30000216","E16000015","E06000019","00GAPG","E00070724","00GAPG","E65000001","E01014010","E02002916","5","6C2","E00070724","E01014010","E02002916","E33018741","E38000236","E63010929","C1","4A2",52.061454,-2.710113,"E37000036","","E23000016",8153,"E56000007","E54000019","E00070724","E01014010","E02002916","UF1"
"HR1 1BB","HR1  1BB","HR1 1BB","198001","","E99999999","E99999999","E06000019","E05009489","E04000921","0","351333","0240618","1","E18000005","E40000011","E92000001","E12000005","7","E14001281","E15000005","E24000042","E30000216","E16000015","E06000019","00GAPG","E00070724","00GAPG","E65000001","E01014010","E02002916","5","6C2","E00070724","E01014010","E02002916","E33018741","E38000236","E63010929","C1","4A2",52.061798,-2.711285,"E37000036","","E23000016",8153,"E56000007","E54000019","E00070724","E01014010","E02002916","UF1"
"HR1 1BD","HR1  1BD","HR1 1BD","199501","199812","E99999999","E99999999","E06000019","E05009439","E04000921","1","352362","0240463","6","E18000005","E40000011","E92000001","E12000005","7","E14001281","E15000005","E24000042","E30000216","E16000015","E06000019","00GAQM","E00071181","00GAQM","E65000001","E01014095","E02002915","5","1B1","E00071181","E01014095","E02002915","E33021416","E38000236","E63010929","C1","5A3",52.060495,-2.696255,"E37000036","","E23000016",16642,"E56000007","E54000019","E00071181","E01014095","E02002915","UF1"
"HR1 1BE","HR1  1BE","HR1 1BE","198001","","E99999999","E99999999","E06000019","E05009450","E04000921","0","351698","0240547","1","E18000005","E40000011","E92000001","E12000005","7","E14001281","E15000005","E24000042","E30000216","E16000015","E06000019","00GANY","E00070607","00GANY","E65000001","E01013986","E02002916","5","6B3","E00070607","E01013986","E02002916","E33021422","E38000236","E63010929","C1","8C2",52.061192,-2.705951,"E37000036","","E23000016",13600,"E56000007","E54000019","E00070607","E01013986","E02002916","UF1"
"HR1 1BG","HR1  1BG","HR1 1BG","198001","","E99999999","E99999999","E06000019","E05009450","E04000921","0","351655","0240637","1","E18000005","E40000011","E92000001","E12000005","7","E14001281","E15000005","E24000042","E30000216","E16000015","E06000019","00GANY","E00070607","00GANY","E65000001","E01013986","E02002916","5","6B3","E00070607","E01013986","E02002916","E33021422","E38000236","E63010929","C1","8C2",52.061997,-2.706591,"E37000036","","E23000016",13600,"E56000007","E54000019","E00070607","E01013986","E02002916","UF1"
