pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"HU1 1AA","HU1  1AA","HU1 1AA","200206","","E99999999","E99999999","E06000010","E05011541","E43000010","0","510050","0428808","1","E18000003","E40000012","E92000001","E12000003","2","E14001315","E15000003","E24000047","E30000220","E16000101","E06000010","00FANL","E00064857","00FANL","E65000001","E01012853","E02002680","5","2A1","E00170744","E01033104","E02002680","E33010509","E38000085","E63007930","C1","2B2",53.744063,-0.332801,"E37000061","","E23000012",5294,"E56000026","E54000051","E00170744","E01033104","E02002680","UN1"
"HU1 1AB","HU1  1AB","HU1 1AB","199002","199806","E99999999","E99999999","E06000010","E05011541","E43000010","1","510026","0428807","8","E18000003","E40000012","E92000001","E12000003","2","E14001315","E15000003","E24000047","E30000220","E16000101","E06000010","00FANL","E00064857","00FANL","E65000001","E01012853","E02002680","5","2A1","E00170744","E01033104","E02002680","E33010509","E38000085","E63007930","C1","2B2",53.744059,-0.333165,"E37000061","","E23000012",5294,"E56000026","E54000051","E00170744","E01033104","E02002680","UN1"
"HU1 1AH","HU1  1AH","HU1 1AH","200811","201108","E99999999","E99999999","E06000010","E05011541","E43000010","0","510236","0429068","1","E18000003","E40000012","E92000001","E12000003","2","E14001315","E15000003","E24000047","E30000220","E16000101","E06000010","00FANL","E00064853","00FANL","E65000001","E01012853","E02002680","5","2A1","E00064853","E01033109","E02002680","E33012839","E38000085","E63007930","C1","2C2",53.746360,-0.329889,"E37000061","","E23000012",4390,"E56000026","E54000051","E00064853","E01033109","E02002680","UN1"
"HU1 1AJ","HU1  1AJ","HU1 1AJ","199405","199606","E99999999","E99999999","E06000010","E05011541","E43000010","1","510000","0428800","8","E18000003","E40000012","E92000001","E12000003","2","E14001315","E15000003","E24000047","E30000220","E16000101","E06000010","00FANL","E00064857","00FANL","E65000001","E01012853","E02002680","5","2A1","E00170744","E01033104","E02002680","E33010509","E38000085","E63007930","C1","2B2",53.744002,-0.333562,"E37000061","","E23000012",5294,"E56000026","E54000051","E00170744","E01033104","E02002680","UN1"
"HU1 1AL","HU1  1AL","HU1 1AL","202107","","E99999999","E99999999","E06000010","E05011541","E43000010","0","509926","0428399","1","E18000003","E40000012","E92000001","E12000003","2","E14001315","E15000003","E24000047","E30000220","E16000101","E06000010","00FANL","E00064815","00FANL","E65000001","E01012853","E02002680","5","2A1","E00064815","E01033104","E02002680","E33009827","E38000085","E63007930","C1","2C2",53.740415,-0.334826,"E37000061","","E23000012",5294,"E56000026","E54000051","E00064815","E01033104","E02002680","UN1"
"HU1 1AN","HU1  1AN","HU1 1AN","202108","","E99999999","E99999999","E06000010","E05011541","E43000010","0","509896","0428380","1","E18000003","E40000012","E92000001","E12000003","2","E14001315","E15000003","E24000047","E30000220","E16000101","E06000010","00FANL","E00064815","00FANL","E65000001","E01012853","E02002680","5","2A1","E00064815","E01033104","E02002680","E33009827","E38000085","E63007930","C1","2C2",53.740250,-0.335287,"E37000061","","E23000012",5294,"E56000026","E54000051","E00064815","E01033104","E02002680","UN1"
"HU1 1AP","HU1  1AP","HU1 1AP","201907","","E99999999","E99999999","E06000010","E05011541","E43000010","0","509958","0428338","1","E18000003","E40000012","E92000001","E12000003","2","E14001315","E15000003","E24000047","E30000220","E16000101","E06000010","00FANL","E00064815","00FANL","E65000001","E01012853","E02002680","5","2A1","E00064815","E01033104","E02002680","E33009827","E38000085","E63007930","C1","2C2",53.739860,-0.334362,"E37000061","","E23000012",5294,"E56000026","E54000051","E00064815","E01033104","E02002680","UN1"
"HU1 1AR","HU1  1AR","HU1 1AR","201906","","E99999999","E99999999","E06000010","E05011541","E43000010","0","509994","0428336","1","E18000003","E40000012","E92000001","E12000003","2","E14001315","E15000003","E24000047","E30000220","E16000101","E06000010","00FANL","E00064815","00FANL","E65000001","E01012853","E02002680","5","2A1","E00064815","E01033104","E02002680","E33009827","E38000085","E63007930","C1","2C2",53.739834,-0.333817,"E37000061","","E23000012",5294,"E56000026","E54000051","E00064815","E01033104","E02002680","UN1"
"HU1 1AS","HU1  1AS","HU1 1AS","201910","","E99999999","E99999999","E06000010","E05011541","E43000010","0","509854","0428318","1","E18000003","E40000012","E92000001","E12000003","2","E14001315","E15000003","E24000047","E30000220","E16000101","E06000010","00FANL","E00064815","00FANL","E65000001","E01012853","E02002680","5","2A1","E00064815","E01033104","E02002680","E33009827","E38000085","E63007930","C1","2C2",53.739702,-0.335945,"E37000061","","E23000012",5294,"E56000026","E54000051","E00064815","E01033104","E02002680","UN1"
"HU1 1AT","HU1  1AT","HU1 1AT","202004","","E99999999","E99999999","E06000010","E05011541","E43000010","0","509936","0428346","1","E18000003","E40000012","E92000001","E12000003","2","E14001315","E15000003","E24000047","E30000220","E16000101","E06000010","00FANL","E00064815","00FANL","E65000001","E01012853","E02002680","5","2A1","E00064815","E01033104","E02002680","E33009827","E38000085","E63007930","C1","2C2",53.739936,-0.334693,"E37000061","","E23000012",5294,"E56000026","E54000051","E00064815","E01033104","E02002680","UN1"
"HU1 1AU","HU1  1AU","HU1 1AU","201908","","E99999999","E99999999","E06000010","E05011541","E43000010","0","509906","0428322","1","E18000003","E40000012","E92000001","E12000003","2","E14001315","E15000003","E24000047","E30000220","E16000101","E06000010","00FANL","E00064815","00FANL","E65000001","E01012853","E02002680","5","2A1","E00064815","E01033104","E02002680","E33009827","E38000085","E63007930","C1","2C2",53.739727,-0.335156,"E37000061","","E23000012",5294,"E56000026","E54000051","E00064815","E01033104","E02002680","UN1"
"HU1 1AW","HU1  1AW","HU1 1AW","201907","","E99999999","E99999999","E06000010","E05011541","E43000010","0","509992","0428347","1","E18000003","E40000012","E92000001","E12000003","2","E14001315","E15000003","E24000047","E30000220","E16000101","E06000010","00FANL","E00064815","00FANL","E65000001","E01012853","E02002680","5","2A1","E00064815","E01033104","E02002680","E33009827","E38000085","E63007930","C1","2C2",53.739933,-0.333844,"E37000061","","E23000012",5294,"E56000026","E54000051","E00064815","E01033104","E02002680","UN1"
"HU1 1AX","HU1  1AX","HU1 1AX","201905","","E99999999","E99999999","E06000010","E05011541","E43000010","0","509928","0428368","1","E18000003","E40000012","E92000001","E12000003","2","E14001315","E15000003","E24000047","E30000220","E16000101","E06000010","00FANL","E00064815","00FANL","E65000001","E01012853","E02002680","5","2A1","E00064815","E01033104","E02002680","E33009827","E38000085","E63007930","C1","2C2",53.740136,-0.334806,"E37000061","","E23000012",5294,"E56000026","E54000051","E00064815","E01033104","E02002680","UN1"
"HU1 1AY","HU1  1AY","HU1 1AY","201901","","E99999999","E99999999","E06000010","E05011541","E43000010","0","510130","0428611","1","E18000003","E40000012","E92000001","E12000003","2","E14001315","E15000003","E24000047","E30000220","E16000101","E06000010","00FANL","E00064857","00FANL","E65000001","E01012853","E02002680","5","2A1","E00170744","E01033104","E02002680","E33010510","E38000085","E63007930","C1","2B2",53.742276,-0.331659,"E37000061","","E23000012",5294,"E56000026","E54000051","E00170744","E01033104","E02002680","UN1"
"HU1 1AZ","HU1  1AZ","HU1 1AZ","200812","","E99999999","E99999999","E06000010","E05011541","E43000010","0","509909","0428111","1","E18000003","E40000012","E92000001","E12000003","2","E14001315","E15000003","E24000047","E30000220","E16000101","E06000010","00FANL","E00064815","00FANL","E65000001","E01012853","E02002680","5","2A1","E00064815","E01033104","E02002680","E33009827","E38000085","E63007930","C1","2C2",53.737831,-0.335186,"E37000061","","E23000012",5294,"E56000026","E54000051","E00064815","E01033104","E02002680","UN1"
"HU1 1BA","HU1  1BA","HU1 1BA","202406","","E99999999","E99999999","E06000010","E05011541","E43000010","0","509825","0428322","1","E18000003","E40000012","E92000001","E12000003","2","E14001315","E15000003","E24000047","E30000220","E16000101","E06000010","00FANL","E00064815","00FANL","E65000001","E01012853","E02002680","5","2A1","E00064815","E01033104","E02002680","E33009827","E38000085","E63007930","C1","2C2",53.739744,-0.336384,"E37000061","","E23000012",5294,"E56000026","E54000051","E00064815","E01033104","E02002680","UN1"
"HU1 1BB","HU1  1BB","HU1 1BB","202206","202208","E99999999","E99999999","E06000010","E05011541","E43000010","0","510086","0428577","1","E18000003","E40000012","E92000001","E12000003","2","E14001315","E15000003","E24000047","E30000220","E16000101","E06000010","00FANL","E00064857","00FANL","E65000001","E01012853","E02002680","5","2A1","E00170744","E01033104","E02002680","E33010510","E38000085","E63007930","C1","2B2",53.741980,-0.332338,"E37000061","","E23000012",5294,"E56000026","E54000051","E00170744","E01033104","E02002680","UN1"
