pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"IG1 1AA","IG1  1AA","IG1 1AA","199002","200308","E99999999","E99999999","E09000026","E05011246","E43000216","1","543738","0186409","1","E18000007","E40000003","E92000001","E12000007","5","E14001301","E15000007","E24000015","E30000234","E16000083","E09000026","00BCGE","E00018544","00BCGE","E65000001","E01003689","E02000780","5","2A2","E00018544","E01003689","E02000780","E33030482","E38000255","E63011927","A1","3A2",51.558256,0.072091,"E37000051","","E23000001",7418,"E56000028","E54000029","E00185704","E01003689","E02007019","UN1"
"IG1 1AB","IG1  1AB","IG1 1AB","198710","201502","E99999999","E99999999","E09000026","E05011246","E43000216","1","543738","0186409","1","E18000007","E40000003","E92000001","E12000007","5","E14001301","E15000007","E24000015","E30000234","E16000083","E09000026","00BCGE","E00018544","00BCGE","E65000001","E01003689","E02000780","5","2A2","E00018544","E01003689","E02000780","E33030482","E38000255","E63011927","A1","3A2",51.558256,0.072091,"E37000051","","E23000001",7418,"E56000028","E54000029","E00185704","E01003689","E02007019","UN1"
"IG1 1AD","IG1  1AD","IG1 1AD","199706","200108","E99999999","E99999999","E09000026","E05011246","E43000216","1","543760","0186389","1","E18000007","E40000003","E92000001","E12000007","5","E14001301","E15000007","E24000015","E30000234","E16000083","E09000026","00BCGE","E00018544","00BCGE","E65000001","E01003689","E02000780","5","2A2","E00018544","E01003689","E02000780","E33030485","E38000255","E63011927","A1","3A2",51.558071,0.072400,"E37000051","","E23000001",7418,"E56000028","E54000029","E00185704","E01003689","E02007019","UN1"
"IG1 1AE","IG1  1AE","IG1 1AE","199612","199712","E99999999","E99999999","E09000026","E05011240","E43000216","1","544397","0186260","6","E18000007","E40000003","E92000001","E12000007","5","E14001301","E15000007","E24000015","E30000234","E16000083","E09000026","00BCGE","E00018550","00BCGE","E65000001","E01003688","E02000780","5","7A3","E00018550","E01003688","E02000780","E33035734","E38000255","E63011927","A1","4B1",51.556749,0.081529,"E37000051","","E23000001",10610,"E56000028","E54000029","E00018550","E01003688","E02007020","UN1"
"IG1 1AF","IG1  1AF","IG1 1AF","199612","199906","E99999999","E99999999","E09000026","E05011240","E43000216","1","544397","0186260","6","E18000007","E40000003","E92000001","E12000007","5","E14001301","E15000007","E24000015","E30000234","E16000083","E09000026","00BCGE","E00018550","00BCGE","E65000001","E01003688","E02000780","5","7A3","E00018550","E01003688","E02000780","E33035734","E38000255","E63011927","A1","4B1",51.556749,0.081529,"E37000051","","E23000001",10610,"E56000028","E54000029","E00018550","E01003688","E02007020","UN1"
"IG1 1AG","IG1  1AG","IG1 1AG","199512","202409","E99999999","E99999999","E09000026","E05011246","E43000216","1","543761","0186342","1","E18000007","E40000003","E92000001","E12000007","5","E14001301","E15000007","E24000015","E30000234","E16000083","E09000026","00BCGE","E00018544","00BCGE","E65000001","E01003689","E02000780","5","2A2","E00018544","E01003689","E02000780","E33035731","E38000255","E63011927","A1","3A2",51.557649,0.072395,"E37000051","","E23000001",7418,"E56000028","E54000029","E00185704","E01003689","E02007019","UN1"
"IG1 1AH","IG1  1AH","IG1 1AH","199109","199912","E99999999","E99999999","E09000026","E05011240","E43000216","1","544402","0186252","6","E18000007","E40000003","E92000001","E12000007","5","E14001301","E15000007","E24000015","E30000234","E16000083","E09000026","00BCGE","E00018550","00BCGE","E65000001","E01003688","E02000780","5","7A3","E00018550","E01003688","E02000780","E33035734","E38000255","E63011927","A1","4B1",51.556676,0.081598,"E37000051","","E23000001",10610,"E56000028","E54000029","E00018550","E01003688","E02007020","UN1"
"IG1 1AJ","IG1  1AJ","IG1 1AJ","199507","199606","E99999999","E99999999","E09000026","E05011246","E43000216","1","543700","0186400","8","E18000007","E40000003","E92000001","E12000007","5","E14001301","E15000007","E24000015","E30000234","E16000083","E09000026","00BCGE","E00018544","00BCGE","E65000001","E01003689","E02000780","5","2A2","E00018544","E01003689","E02000780","E33030482","E38000255","E63011927","A1","3A2",51.558185,0.071539,"E37000051","","E23000001",7418,"E56000028","E54000029","E00185703","E01003689","E02007019","UN1"
"IG1 1AL","IG1  1AL","IG1 1AL","199507","199708","E99999999","E99999999","E09000026","E05011246","E43000216","1","543738","0186409","8","E18000007","E40000003","E92000001","E12000007","5","E14001301","E15000007","E24000015","E30000234","E16000083","E09000026","00BCGE","E00018544","00BCGE","E65000001","E01003689","E02000780","5","2A2","E00018544","E01003689","E02000780","E33030482","E38000255","E63011927","A1","3A2",51.558256,0.072091,"E37000051","","E23000001",7418,"E56000028","E54000029","E00185704","E01003689","E02007019","UN1"
"IG1 1AN","IG1  1AN","IG1 1AN","199606","199912","E99999999","E99999999","E09000026","E05011240","E43000216","1","544397","0186260","6","E18000007","E40000003","E92000001","E12000007","5","E14001301","E15000007","E24000015","E30000234","E16000083","E09000026","00BCGE","E00018550","00BCGE","E65000001","E01003688","E02000780","5","7A3","E00018550","E01003688","E02000780","E33035734","E38000255","E63011927","A1","4B1",51.556749,0.081529,"E37000051","","E23000001",10610,"E56000028","E54000029","E00018550","E01003688","E02007020","UN1"
