pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"KA1 1AA","KA1  1AA","KA1 1AA","198001","200511","S99999999","S99999999","S12000008","S13002894","S99999999","1","242614","0637850","1","S08000015","S99999999","S92000003","S99999999","0","S14000110","S15000001","S09000006","S22000069","S03000001","S30000017","99ZZ00","S00010926","10C15","S99999999","S01001376","S02000250","2","2B1","S00100786","S01008012","S02001502","S34000164","S03000001","S99999999","2","5B2",55.608725,-4.500084,"S99999999","","S23000009",1117,"S99999999","S99999999","S00148985","S01015694","S02002906","2"
"KA1 1AD","KA1  1AD","KA1 1AD","200807","","S99999999","S99999999","S12000008","S13002894","S99999999","0","241952","0637256","1","S08000015","S99999999","S92000003","S99999999","0","S14000110","S15000001","S09000006","S22000069","S03000001","S30000017","99ZZ00","S00010338","10C14","S99999999","S01001356","S02000245","2","4D2","S00100166","S01008018","S02001503","S34000949","S03000001","S99999999","2","5B1",55.603178,-4.510242,"S99999999","","S23000009",5895,"S99999999","S99999999","S00149084","S01015700","S02002907","2"
"KA1 1AE","KA1  1AE","KA1 1AE","201708","","S99999999","S99999999","S12000008","S13002894","S99999999","0","242027","0636726","1","S08000015","S99999999","S92000003","S99999999","0","S14000110","S15000001","S09000006","S22000069","S03000001","S30000017","99ZZ00","S00010860","10C15","S99999999","S01001346","S02000245","2","6B2","S00100719","S01008020","S02001503","S34000985","S03000001","S99999999","2","5B3",55.598445,-4.508749,"S99999999","","S23000009",4830,"S99999999","S99999999","S00149180","S01015702","S02002907","2"
"KA1 1AF","KA1  1AF","KA1 1AF","201711","","S99999999","S99999999","S12000008","S13002894","S99999999","0","242045","0636748","1","S08000015","S99999999","S92000003","S99999999","0","S14000110","S15000001","S09000006","S22000069","S03000001","S30000017","99ZZ00","S00010860","10C15","S99999999","S01001346","S02000245","2","6B2","S00100719","S01008020","S02001503","S34000985","S03000001","S99999999","2","5B3",55.598648,-4.508476,"S99999999","","S23000009",4830,"S99999999","S99999999","S00149180","S01015702","S02002907","2"
"KA1 1AH","KA1  1AH","KA1 1AH","201804","","S99999999","S99999999","S12000008","S13002894","S99999999","0","242198","0636845","1","S08000015","S99999999","S92000003","S99999999","0","S14000110","S15000001","S09000006","S22000069","S03000001","S30000017","99ZZ00","S00010860","10C15","S99999999","S01001346","S02000245","2","6B2","S00100719","S01008020","S02001503","S34000985","S03000001","S99999999","2","5B3",55.599569,-4.506106,"S99999999","","S23000009",4830,"S99999999","S99999999","S00149177","S01015702","S02002907","2"
"KA1 1AR","KA1  1AR","KA1 1AR","198001","198002","S99999999","S99999999","S12000008","S13002894","S99999999","1","242614","0637850","8","S08000015","S99999999","S92000003","S99999999","0","S14000110","S15000001","S09000006","S22000069","S03000001","S30000017","99ZZ00","S00010926","10C15","S99999999","S01001376","S02000250","2","2B1","S00100786","S01008012","S02001502","S34000164","S03000001","S99999999","2","5B2",55.608725,-4.500084,"S99999999","","S23000009",1117,"S99999999","S99999999","S00148985","S01015694","S02002906","2"
"KA1 1AX","KA1  1AX","KA1 1AX","199402","199512","S99999999","S99999999","S12000008","S13002894","S99999999","1","242610","0637810","8","S08000015","S99999999","S92000003","S99999999","0","S14000110","S15000001","S09000006","S22000069","S03000001","S30000017","99ZZ00","S00010926","10C15","S99999999","S01001376","S02000250","2","2B1","S00100786","S01008012","S02001502","S34000164","S03000001","S99999999","2","5B2",55.608364,-4.500125,"S99999999","","S23000009",1117,"S99999999","S99999999","S00148985","S01015694","S02002906","2"
"KA1 1AY","KA1  1AY","KA1 1AY","199606","200009","S99999999","S99999999","S12000008","S13002894","S99999999","1","242218","0637258","6","S08000015","S99999999","S92000003","S99999999","0","S14000110","S15000001","S09000006","S22000069","S03000001","S30000017","99ZZ00","S00010297","10C15","S99999999","S01001359","S02000245","2","4D2","S00100125","S01008019","S02001503","S34000961","S03000001","S99999999","2","6A4",55.603282,-4.506025,"S99999999","","S23000009",6649,"S99999999","S99999999","S00149108","S01015702","S02002907","2"
"KA1 1BA","KA1  1BA","KA1 1BA","198904","","S99999999","S99999999","S12000008","S13002894","S99999999","0","242714","0637818","1","S08000015","S99999999","S92000003","S99999999","0","S14000110","S15000001","S09000006","S22000069","S03000001","S30000017","99ZZ00","S00010926","10C15","S99999999","S01001376","S02000250","2","2B1","S00100786","S01008012","S02001502","S34000164","S03000001","S99999999","2","5B2",55.608470,-4.498480,"S99999999","","S23000009",1117,"S99999999","S99999999","S00148985","S01015694","S02002906","2"
"KA1 1BB","KA1  1BB","KA1 1BB","198001","","S99999999","S99999999","S12000008","S13002894","S99999999","0","242653","0637829","1","S08000015","S99999999","S92000003","S99999999","0","S14000110","S15000001","S09000006","S22000069","S03000001","S30000017","99ZZ00","S00010926","10C15","S99999999","S01001376","S02000250","2","2B1","S00100786","S01008012","S02001502","S34000165","S03000001","S99999999","2","5B2",55.608549,-4.499454,"S99999999","","S23000009",1117,"S99999999","S99999999","S00148985","S01015694","S02002906","2"
