pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"KY1 1AA","KY1  1AA","KY1 1AA","198001","199606","S99999999","S99999999","S12000047","S13002955","S99999999","1","327920","0691600","8","S08000029","S99999999","S92000003","S99999999","0","S14000071","S15000001","S09000002","S22000057","S03000008","S30000042","99ZZ00","S00019350","16C32","S99999999","S01002722","S02000516","2","6B2","S00109948","S01009479","S02001784","S34000322","S03000008","S99999999","2","7D2",56.111688,-3.160651,"S99999999","","S23000009",2569,"S99999999","S99999999","S00155587","S01016597","S02003079","2"
"KY1 1AB","KY1  1AB","KY1 1AB","200610","","S99999999","S99999999","S12000047","S13002953","S99999999","0","327548","0690176","1","S08000029","S99999999","S92000003","S99999999","0","S14000071","S15000001","S09000002","S22000057","S03000008","S30000042","99ZZ00","S00019322","16C32","S99999999","S01002709","S02000512","2","2B1","S00109915","S01009473","S02001783","S34001581","S03000008","S99999999","2","4A2",56.098841,-3.166244,"S99999999","","S23000009",522,"S99999999","S99999999","S00155709","S01016591","S02003078","2"
"KY1 1AD","KY1  1AD","KY1 1AD","200711","","S99999999","S99999999","S12000047","S13002953","S99999999","0","327477","0690161","1","S08000029","S99999999","S92000003","S99999999","0","S14000071","S15000001","S09000002","S22000057","S03000008","S30000042","99ZZ00","S00019322","16C32","S99999999","S01002709","S02000512","2","2B1","S00109916","S01009473","S02001783","S34001581","S03000008","S99999999","2","2C2",56.098695,-3.167381,"S99999999","","S23000009",522,"S99999999","S99999999","S00155709","S01016591","S02003078","2"
"KY1 1AF","KY1  1AF","KY1 1AF","201705","","S99999999","S99999999","S12000047","S13002955","S99999999","0","327689","0691676","1","S08000029","S99999999","S92000003","S99999999","0","S14000071","S15000001","S09000002","S22000057","S03000008","S30000042","99ZZ00","S00019353","16C32","S99999999","S01002722","S02000516","2","6B1","S00109952","S01009479","S02001784","S34001461","S03000008","S99999999","2","7D3",56.112336,-3.164385,"S99999999","","S23000009",2569,"S99999999","S99999999","S00155571","S01016597","S02003079","2"
"KY1 1AG","KY1  1AG","KY1 1AG","201712","","S99999999","S99999999","S12000047","S13002956","S99999999","0","328054","0692292","1","S08000029","S99999999","S92000003","S99999999","0","S14000071","S15000001","S09000002","S22000057","S03000008","S30000042","99ZZ00","S00019364","16C42","S99999999","S01002730","S02000516","2","5B3","S00109964","S01009478","S02001784","S34001569","S03000008","S99999999","2","7A1",56.117925,-3.158684,"S99999999","","S23000009",1676,"S99999999","S99999999","S00155504","S01016596","S02003079","2"
"KY1 1AH","KY1  1AH","KY1 1AH","201805","","S99999999","S99999999","S12000047","S13002955","S99999999","0","327922","0691364","1","S08000029","S99999999","S92000003","S99999999","0","S14000071","S15000001","S09000002","S22000057","S03000008","S30000042","99ZZ00","S00019351","16C32","S99999999","S01002722","S02000516","2","2B1","S00109949","S01009479","S02001784","S34001384","S03000008","S99999999","2","5B1",56.109569,-3.160555,"S99999999","","S23000009",2569,"S99999999","S99999999","S00155605","S01016597","S02003079","2"
"KY1 1AJ","KY1  1AJ","KY1 1AJ","202012","","S99999999","S99999999","S12000047","S13002955","S99999999","0","327921","0691601","1","S08000029","S99999999","S92000003","S99999999","0","S14000071","S15000001","S09000002","S22000057","S03000008","S30000042","99ZZ00","S00019350","16C32","S99999999","S01002722","S02000516","2","6B2","S00109948","S01009479","S02001784","S34000322","S03000008","S99999999","2","7D2",56.111698,-3.160635,"S99999999","","S23000009",2569,"S99999999","S99999999","S00155587","S01016597","S02003079","2"
"KY1 1AL","KY1  1AL","KY1 1AL","200801","201012","S99999999","S99999999","S12000047","S13002955","S99999999","1","327203","0691632","1","S08000029","S99999999","S92000003","S99999999","0","S14000071","S15000001","S09000002","S22000057","S03000008","S30000042","99ZZ00","S00019449","16C33","S99999999","S01002724","S02000518","2","4D2","S00110052","S01009484","S02001785","S34001333","S03000008","S99999999","2","5B1",56.111867,-3.172186,"S99999999","","S23000009",2452,"S99999999","S99999999","S00155597","S01016602","S02003080","2"
"KY1 1AN","KY1  1AN","KY1 1AN","202103","","S99999999","S99999999","S12000047","S13002955","S99999999","0","327569","0691569","1","S08000029","S99999999","S92000003","S99999999","0","S14000071","S15000001","S09000002","S22000057","S03000008","S30000042","99ZZ00","S00019350","16C32","S99999999","S01002722","S02000516","2","6B2","S00109947","S01009479","S02001784","S34001590","S03000008","S99999999","2","5B1",56.111357,-3.166285,"S99999999","","S23000009",2569,"S99999999","S99999999","S00155572","S01016597","S02003079","2"
"KY1 1AW","KY1  1AW","KY1 1AW","201204","","S99999999","S99999999","S12000047","S13002955","S99999999","0","327781","0692075","1","S08000029","S99999999","S92000003","S99999999","0","S14000071","S15000001","S09000002","S22000057","S03000008","S30000042","99ZZ00","S00019361","16C32","S99999999","S01002726","S02000516","2","2B1","S00109961","S01009477","S02001784","S34001537","S03000008","S99999999","2","5B3",56.115934,-3.163014,"S99999999","","S23000009",4303,"S99999999","S99999999","S00155552","S01016595","S02003079","2"
