pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"LA1 1AA","LA1  1AA","LA1 1AA","200012","","E10000017","E58000780","E07000121","E05014890","E43000253","0","347467","0461653","1","E18000002","E40000014","E92000001","E12000002","8","E14001318","E15000002","E24000022","E30000076","E16000087","E07000121","30UHGM","E00127404","30UHGM","E65000001","E01025104","E02005234","5","2B2","E00127404","E01033071","E02005234","E33003925","E38000228","E63007656","C1","2A3",54.048161,-2.803823,"E37000019","","E23000003",12010,"E56000018","E54000048","E00185602","E01033071","E02005234","UF1"
"LA1 1AB","LA1  1AB","LA1 1AB","198001","","E10000017","E58000780","E07000121","E05014890","E43000253","0","347450","0461615","1","E18000002","E40000014","E92000001","E12000002","8","E14001318","E15000002","E24000022","E30000076","E16000087","E07000121","30UHGM","E00127404","30UHGM","E65000001","E01025104","E02005234","5","2B2","E00127404","E01033071","E02005234","E33003925","E38000228","E63007656","C1","2A3",54.047818,-2.804076,"E37000019","","E23000003",12010,"E56000018","E54000048","E00185602","E01033071","E02005234","UF1"
"LA1 1AD","LA1  1AD","LA1 1AD","200205","","E10000017","E58000779","E07000121","E05014890","E43000253","0","347260","0462333","1","E18000002","E40000014","E92000001","E12000002","8","E14001318","E15000002","E24000022","E30000076","E16000087","E07000121","30UHGL","E00127388","30UHGL","E65000001","E01025099","E02005234","5","6C2","E00127388","E01025099","E02005234","E33008385","E38000228","E63007656","C1","5A3",54.054251,-2.807103,"E37000019","","E23000003",9346,"E56000018","E54000048","E00185646","E01025099","E02005234","UF1"
"LA1 1AE","LA1  1AE","LA1 1AE","200403","","E10000017","E58000780","E07000121","E05014890","E43000253","0","347452","0461521","1","E18000002","E40000014","E92000001","E12000002","8","E14001318","E15000002","E24000022","E30000076","E16000087","E07000121","30UHGM","E00127406","30UHGM","E65000001","E01025104","E02005234","5","2B1","E00127406","E01033073","E02005234","E33003930","E38000228","E63007656","C1","2A3",54.046973,-2.804029,"E37000019","","E23000003",14337,"E56000018","E54000048","E00127406","E01033073","E02005234","UF1"
"LA1 1AF","LA1  1AF","LA1 1AF","200405","","E10000017","E58000780","E07000121","E05014890","E43000253","0","347971","0461546","1","E18000002","E40000014","E92000001","E12000002","8","E14001318","E15000002","E24000022","E30000076","E16000087","E07000121","30UHGM","E00127405","30UHGM","E65000001","E01025104","E02005234","5","2B2","E00170169","E01033071","E02005234","E33004177","E38000228","E63007656","C1","2C1",54.047250,-2.796108,"E37000019","","E23000003",12010,"E56000018","E54000048","E00170169","E01033071","E02005234","UF1"
"LA1 1AG","LA1  1AG","LA1 1AG","200402","","E10000017","E58000780","E07000121","E05014890","E43000253","0","347942","0461493","1","E18000002","E40000014","E92000001","E12000002","8","E14001318","E15000002","E24000022","E30000076","E16000087","E07000121","30UHGM","E00127405","30UHGM","E65000001","E01025104","E02005234","5","2B2","E00170169","E01033071","E02005234","E33004177","E38000228","E63007656","C1","2C1",54.046771,-2.796541,"E37000019","","E23000003",12010,"E56000018","E54000048","E00170169","E01033071","E02005234","UF1"
"LA1 1AH","LA1  1AH","LA1 1AH","200405","","E10000017","E58000779","E07000121","E05014890","E43000253","0","347526","0462029","1","E18000002","E40000014","E92000001","E12000002","8","E14001318","E15000002","E24000022","E30000076","E16000087","E07000121","30UHGL","E00127391","30UHGL","E65000001","E01025099","E02005234","5","2A1","E00127391","E01025099","E02005234","E33003917","E38000228","E63007656","C1","2C1",54.051546,-2.802987,"E37000019","","E23000003",9346,"E56000018","E54000048","E00127391","E01025099","E02005234","UF1"
"LA1 1AJ","LA1  1AJ","LA1 1AJ","200505","","E10000017","E58000780","E07000121","E05014890","E43000253","0","347445","0461674","1","E18000002","E40000014","E92000001","E12000002","8","E14001318","E15000002","E24000022","E30000076","E16000087","E07000121","30UHGM","E00127404","30UHGM","E65000001","E01025104","E02005234","5","2B2","E00127404","E01033071","E02005234","E33003925","E38000228","E63007656","C1","2A3",54.048347,-2.804163,"E37000019","","E23000003",12010,"E56000018","E54000048","E00185602","E01033071","E02005234","UF1"
"LA1 1AL","LA1  1AL","LA1 1AL","199512","","E10000017","E58000780","E07000121","E05014890","E43000253","0","347641","0461641","1","E18000002","E40000014","E92000001","E12000002","8","E14001318","E15000002","E24000022","E30000076","E16000087","E07000121","30UHGM","E00127404","30UHGM","E65000001","E01025104","E02005234","5","2B2","E00127404","E01033071","E02005234","E33003924","E38000228","E63007656","C1","2A3",54.048071,-2.801164,"E37000019","","E23000003",12010,"E56000018","E54000048","E00185590","E01033071","E02005234","UF1"
"LA1 1AN","LA1  1AN","LA1 1AN","200707","","E10000017","E58000780","E07000121","E05014890","E43000253","0","347644","0461334","1","E18000002","E40000014","E92000001","E12000002","8","E14001318","E15000002","E24000022","E30000076","E16000087","E07000121","30UHGM","E00127407","30UHGM","E65000001","E01025104","E02005234","5","2B2","E00127407","E01033073","E02005234","E33008386","E38000228","E63007656","C1","2A3",54.045312,-2.801065,"E37000019","","E23000003",14337,"E56000018","E54000048","E00127407","E01033073","E02005234","UF1"
"LA1 1AP","LA1  1AP","LA1 1AP","201404","","E10000017","E58000779","E07000121","E05014890","E43000253","0","347197","0462307","1","E18000002","E40000014","E92000001","E12000002","8","E14001318","E15000002","E24000022","E30000076","E16000087","E07000121","30UHGL","E00127388","30UHGL","E65000001","E01025099","E02005234","5","6C2","E00127388","E01025099","E02005234","E33008385","E38000228","E63007656","C1","5A3",54.054010,-2.808061,"E37000019","","E23000003",9346,"E56000018","E54000048","E00185646","E01025099","E02005234","UF1"
"LA1 1AQ","LA1  1AQ","LA1 1AQ","200903","","E10000017","E58000780","E07000121","E05014890","E43000253","0","347694","0461278","1","E18000002","E40000014","E92000001","E12000002","8","E14001318","E15000002","E24000022","E30000076","E16000087","E07000121","30UHGM","E00127407","30UHGM","E65000001","E01025104","E02005234","5","2B2","E00127407","E01033073","E02005234","E33008386","E38000228","E63007656","C1","2A3",54.044814,-2.800291,"E37000019","","E23000003",14337,"E56000018","E54000048","E00127407","E01033073","E02005234","UF1"
"LA1 1AR","LA1  1AR","LA1 1AR","200801","","E10000017","E58000780","E07000121","E05014890","E43000253","0","347684","0461303","1","E18000002","E40000014","E92000001","E12000002","8","E14001318","E15000002","E24000022","E30000076","E16000087","E07000121","30UHGM","E00127407","30UHGM","E65000001","E01025104","E02005234","5","2B2","E00127407","E01033073","E02005234","E33008386","E38000228","E63007656","C1","2A3",54.045038,-2.800448,"E37000019","","E23000003",14337,"E56000018","E54000048","E00127407","E01033073","E02005234","UF1"
"LA1 1AS","LA1  1AS","LA1 1AS","201312","","E10000017","E58000780","E07000121","E05014890","E43000253","0","347822","0461940","1","E18000002","E40000014","E92000001","E12000002","8","E14001318","E15000002","E24000022","E30000076","E16000087","E07000121","30UHGJ","E00127355","30UHGJ","E65000001","E01025093","E02005234","5","2A2","E00127355","E01025093","E02005234","E33003912","E38000228","E63007656","C1","2A3",54.050776,-2.798451,"E37000019","","E23000003",10534,"E56000018","E54000048","E00127355","E01025093","E02005234","UF1"
"LA1 1AT","LA1  1AT","LA1 1AT","200812","","E10000017","E58000780","E07000121","E05014890","E43000253","0","347938","0461429","1","E18000002","E40000014","E92000001","E12000002","8","E14001318","E15000002","E24000022","E30000076","E16000087","E07000121","30UHGM","E00127405","30UHGM","E65000001","E01025104","E02005234","5","2B2","E00170169","E01033071","E02005234","E33004177","E38000228","E63007656","C1","2C1",54.046196,-2.796591,"E37000019","","E23000003",12010,"E56000018","E54000048","E00170169","E01033071","E02005234","UF1"
"LA1 1AU","LA1  1AU","LA1 1AU","200810","","E10000017","E58000780","E07000121","E05014890","E43000253","0","347891","0461370","1","E18000002","E40000014","E92000001","E12000002","8","E14001318","E15000002","E24000022","E30000076","E16000087","E07000121","30UHGM","E00127405","30UHGM","E65000001","E01025104","E02005234","5","2B2","E00170169","E01033071","E02005234","E33004177","E38000228","E63007656","C1","2C1",54.045661,-2.797299,"E37000019","","E23000003",12010,"E56000018","E54000048","E00170169","E01033071","E02005234","UF1"
"LA1 1AW","LA1  1AW","LA1 1AW","201601","","E10000017","E58000780","E07000121","E05014890","E43000253","0","347661","0461862","1","E18000002","E40000014","E92000001","E12000002","8","E14001318","E15000002","E24000022","E30000076","E16000087","E07000121","30UHGM","E00127404","30UHGM","E65000001","E01025104","E02005234","5","2B2","E00127404","E01033071","E02005234","E33003920","E38000228","E63007656","C1","2A3",54.050059,-2.800896,"E37000019","","E23000003",12010,"E56000018","E54000048","E00185590","E01033071","E02005234","UF1"
"LA1 1AY","LA1  1AY","LA1 1AY","200206","","E10000017","E58000780","E07000121","E05014890","E43000253","0","347620","0462049","1","E18000002","E40000014","E92000001","E12000002","8","E14001318","E15000002","E24000022","E30000076","E16000087","E07000121","30UHGJ","E00127355","30UHGJ","E65000001","E01025093","E02005234","5","2A2","E00127355","E01025093","E02005234","E33003912","E38000228","E63007656","C1","2A3",54.051735,-2.801555,"E37000019","","E23000003",10534,"E56000018","E54000048","E00127355","E01025093","E02005234","UF1"
"LA1 1AZ","LA1  1AZ","LA1 1AZ","198410","202004","E10000017","E58000780","E07000121","E05014890","E43000253","1","347561","0461208","1","E18000002","E40000014","E92000001","E12000002","8","E14001318","E15000002","E24000022","E30000076","E16000087","E07000121","30UHGM","E00127407","30UHGM","E65000001","E01025104","E02005234","5","2B2","E00127407","E01033073","E02005234","E33008386","E38000228","E63007656","C1","2A3",54.044171,-2.802310,"E37000019","","E23000003",14337,"E56000018","E54000048","E00127407","E01033073","E02005234","UF1"
"LA1 1BA","LA1  1BA","LA1 1BA","202403","","E10000017","E58000780","E07000121","E05014890","E43000253","0","347417","0461328","1","E18000002","E40000014","E92000001","E12000002","8","E14001318","E15000002","E24000022","E30000076","E16000087","E07000121","30UHGM","E00127410","30UHGM","E65000001","E01025104","E02005234","5","2B2","E00127410","E01033073","E02005234","E33008386","E38000228","E63007656","C1","2A3",54.045235,-2.804530,"E37000019","","E23000003",14337,"E56000018","E54000048","E00127410","E01033073","E02005234","UF1"
"LA1 1BB","LA1  1BB","LA1 1BB","201001","","E10000017","E58000780","E07000121","E05014888","E43000253","0","348171","0462370","1","E18000002","E40000014","E92000001","E12000002","8","E14001318","E15000002","E24000022","E30000076","E16000087","E07000121","30UHGJ","E00127353","30UHGJ","E65000001","E01025093","E02005234","5","6C1","E00127353","E01025093","E02005234","E33008384","E38000228","E63007656","C1","2A3",54.054676,-2.793195,"E37000019","","E23000003",10534,"E56000018","E54000048","E00185587","E01025093","E02005234","UF1"
"LA1 1BD","LA1  1BD","LA1 1BD","201811","","E10000017","E58000780","E07000121","E05014890","E43000253","0","347712","0461642","1","E18000002","E40000014","E92000001","E12000002","8","E14001318","E15000002","E24000022","E30000076","E16000087","E07000121","30UHGM","E00127404","30UHGM","E65000001","E01025104","E02005234","5","2B2","E00127404","E01033071","E02005234","E33003924","E38000228","E63007656","C1","2A3",54.048087,-2.800079,"E37000019","","E23000003",12010,"E56000018","E54000048","E00185590","E01033071","E02005234","UF1"
"LA1 1BE","LA1  1BE","LA1 1BE","198504","","E10000017","E58000779","E07000121","E05014890","E43000253","0","347329","0461564","1","E18000002","E40000014","E92000001","E12000002","8","E14001318","E15000002","E24000022","E30000076","E16000087","E07000121","30UHGL","E00127400","30UHGL","E65000001","E01025099","E02005234","5","2B2","E00127400","E01025099","E02005234","E33008385","E38000228","E63007656","C1","2C1",54.047347,-2.805915,"E37000019","","E23000003",9346,"E56000018","E54000048","E00127400","E01025099","E02005234","UF1"
"LA1 1BF","LA1  1BF","LA1 1BF","201602","","E10000017","E58000779","E07000121","E05014890","E43000253","0","347502","0461016","1","E18000002","E40000014","E92000001","E12000002","8","E14001318","E15000002","E24000022","E30000076","E16000087","E07000121","30UHGM","E00127408","30UHGM","E65000001","E01025104","E02005234","5","6C1","E00127408","E01033073","E02005234","E33008386","E38000228","E63007656","C1","2A1",54.042440,-2.803178,"E37000019","","E23000003",14337,"E56000018","E54000048","E00127408","E01033073","E02005234","UF1"
"LA1 1BG","LA1  1BG","LA1 1BG","202202","","E10000017","E58000780","E07000121","E05014890","E43000253","0","347631","0461988","1","E18000002","E40000014","E92000001","E12000002","8","E14001318","E15000002","E24000022","E30000076","E16000087","E07000121","30UHGJ","E00127355","30UHGJ","E65000001","E01025093","E02005234","5","2A2","E00127355","E01025093","E02005234","E33003912","E38000228","E63007656","C1","2A3",54.051188,-2.801376,"E37000019","","E23000003",10534,"E56000018","E54000048","E00127355","E01025093","E02005234","UF1"
"LA1 1BH","LA1  1BH","LA1 1BH","199002","199405","E10000017","E58000780","E07000121","E05014890","E43000253","1","347700","0461900","8","E18000002","E40000014","E92000001","E12000002","8","E14001318","E15000002","E24000022","E30000076","E16000087","E07000121","30UHGJ","E00127355","30UHGJ","E65000001","E01025093","E02005234","5","2A2","E00127355","E01025093","E02005234","E33003912","E38000228","E63007656","C1","2A3",54.050404,-2.800307,"E37000019","","E23000003",10534,"E56000018","E54000048","E00127355","E01025093","E02005234","UF1"
"LA1 1BJ","LA1  1BJ","LA1 1BJ","200205","","E10000017","E58000780","E07000121","E05014890","E43000253","0","347867","0461420","1","E18000002","E40000014","E92000001","E12000002","8","E14001318","E15000002","E24000022","E30000076","E16000087","E07000121","30UHGM","E00127405","30UHGM","E65000001","E01025104","E02005234","5","2B2","E00170161","E01033071","E02005234","E33004169","E38000228","E63007656","C1","2A1",54.046108,-2.797674,"E37000019","","E23000003",12010,"E56000018","E54000048","E00170161","E01033071","E02005234","UF1"
"LA1 1BL","LA1  1BL","LA1 1BL","200507","","E10000017","E58000780","E07000121","E05014890","E43000253","0","347577","0462004","1","E18000002","E40000014","E92000001","E12000002","8","E14001318","E15000002","E24000022","E30000076","E16000087","E07000121","30UHGJ","E00127355","30UHGJ","E65000001","E01025093","E02005234","5","2A2","E00127355","E01025093","E02005234","E33003912","E38000228","E63007656","C1","2A3",54.051326,-2.802204,"E37000019","","E23000003",10534,"E56000018","E54000048","E00127355","E01025093","E02005234","UF1"
"LA1 1BN","LA1  1BN","LA1 1BN","200603","","E10000017","E58000780","E07000121","E05014890","E43000253","0","347596","0461953","1","E18000002","E40000014","E92000001","E12000002","8","E14001318","E15000002","E24000022","E30000076","E16000087","E07000121","30UHGJ","E00127355","30UHGJ","E65000001","E01025093","E02005234","5","2A2","E00127355","E01025093","E02005234","E33003912","E38000228","E63007656","C1","2A3",54.050870,-2.801905,"E37000019","","E23000003",10534,"E56000018","E54000048","E00127355","E01025093","E02005234","UF1"
"LA1 1BP","LA1  1BP","LA1 1BP","200403","","E10000017","E58000780","E07000121","E05014890","E43000253","0","347601","0461976","1","E18000002","E40000014","E92000001","E12000002","8","E14001318","E15000002","E24000022","E30000076","E16000087","E07000121","30UHGJ","E00127355","30UHGJ","E65000001","E01025093","E02005234","5","2A2","E00127355","E01025093","E02005234","E33003912","E38000228","E63007656","C1","2A3",54.051077,-2.801833,"E37000019","","E23000003",10534,"E56000018","E54000048","E00127355","E01025093","E02005234","UF1"
"LA1 1BQ","LA1  1BQ","LA1 1BQ","202312","","E10000017","E58000780","E07000121","E05014890","E43000253","0","347888","0461778","1","E18000002","E40000014","E92000001","E12000002","8","E14001318","E15000002","E24000022","E30000076","E16000087","E07000121","30UHGJ","E00127358","30UHGJ","E65000001","E01025093","E02005234","5","2B2","E00127358","E01025093","E02005234","E33003913","E38000228","E63007656","C1","2A1",54.049327,-2.797415,"E37000019","","E23000003",10534,"E56000018","E54000048","E00127358","E01025093","E02005234","UF1"
"LA1 1BS","LA1  1BS","LA1 1BS","200601","","E10000017","E58000780","E07000121","E05014888","E43000253","0","348066","0462294","1","E18000002","E40000014","E92000001","E12000002","8","E14001318","E15000002","E24000022","E30000076","E16000087","E07000121","30UHGJ","E00127353","30UHGJ","E65000001","E01025093","E02005234","5","6C1","E00127353","E01025093","E02005234","E33008384","E38000228","E63007656","C1","2A3",54.053982,-2.794785,"E37000019","","E23000003",10534,"E56000018","E54000048","E00185587","E01025093","E02005234","UF1"
"LA1 1BT","LA1  1BT","LA1 1BT","202312","","E10000017","E58000780","E07000121","E05014890","E43000253","0","347882","0461784","1","E18000002","E40000014","E92000001","E12000002","8","E14001318","E15000002","E24000022","E30000076","E16000087","E07000121","30UHGJ","E00127358","30UHGJ","E65000001","E01025093","E02005234","5","2B2","E00127358","E01025093","E02005234","E33003913","E38000228","E63007656","C1","2A1",54.049380,-2.797508,"E37000019","","E23000003",10534,"E56000018","E54000048","E00127358","E01025093","E02005234","UF1"
