pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"LL110AA","LL11 0AA","LL11 0AA","200501","200808","W99999999","W99999999","W06000006","W05001732","W04000240","1","333056","0350649","1","W11000023","W99999999","W92000004","W99999999","9","W07000111","W08000001","W16000001","W22000034","W11000023","W06000006","00NLPN","W00001986","00NLPN","W31000001","W01000372","W02000085","5","6C2","W00001986","W01000372","W02000085","W35000153","W11000023","W45000777","C1","4A2",53.048909,-3.000085,"W99999999","","W15000001",430,"W99999999","W99999999","W00001986","W01000372","W02000085","UN1"
"LL110AB","LL11 0AB","LL11 0AB","200501","200604","W99999999","W99999999","W06000006","W05001732","W04000240","1","333056","0350649","1","W11000023","W99999999","W92000004","W99999999","9","W07000111","W08000001","W16000001","W22000034","W11000023","W06000006","00NLPN","W00001986","00NLPN","W31000001","W01000372","W02000085","5","6C2","W00001986","W01000372","W02000085","W35000153","W11000023","W45000777","C1","4A2",53.048909,-3.000085,"W99999999","","W15000001",430,"W99999999","W99999999","W00001986","W01000372","W02000085","UN1"
"LL110AD","LL11 0AD","LL11 0AD","200502","200703","W99999999","W99999999","W06000006","W05001732","W04000240","1","333056","0350649","1","W11000023","W99999999","W92000004","W99999999","9","W07000111","W08000001","W16000001","W22000034","W11000023","W06000006","00NLPN","W00001986","00NLPN","W31000001","W01000372","W02000085","5","6C2","W00001986","W01000372","W02000085","W35000153","W11000023","W45000777","C1","4A2",53.048909,-3.000085,"W99999999","","W15000001",430,"W99999999","W99999999","W00001986","W01000372","W02000085","UN1"
"LL110AE","LL11 0AE","LL11 0AE","200503","200602","W99999999","W99999999","W06000006","W05001732","W04000240","1","333056","0350649","1","W11000023","W99999999","W92000004","W99999999","9","W07000111","W08000001","W16000001","W22000034","W11000023","W06000006","00NLPN","W00001986","00NLPN","W31000001","W01000372","W02000085","5","6C2","W00001986","W01000372","W02000085","W35000153","W11000023","W45000777","C1","4A2",53.048909,-3.000085,"W99999999","","W15000001",430,"W99999999","W99999999","W00001986","W01000372","W02000085","UN1"
"LL110AF","LL11 0AF","LL11 0AF","200503","200605","W99999999","W99999999","W06000006","W05001732","W04000240","1","333056","0350649","1","W11000023","W99999999","W92000004","W99999999","9","W07000111","W08000001","W16000001","W22000034","W11000023","W06000006","00NLPN","W00001986","00NLPN","W31000001","W01000372","W02000085","5","6C2","W00001986","W01000372","W02000085","W35000153","W11000023","W45000777","C1","4A2",53.048909,-3.000085,"W99999999","","W15000001",430,"W99999999","W99999999","W00001986","W01000372","W02000085","UN1"
"LL110AG","LL11 0AG","LL11 0AG","200706","201007","W99999999","W99999999","W06000006","W05001732","W04000240","1","333056","0350649","1","W11000023","W99999999","W92000004","W99999999","9","W07000111","W08000001","W16000001","W22000034","W11000023","W06000006","00NLPN","W00001986","00NLPN","W31000001","W01000372","W02000085","5","6C2","W00001986","W01000372","W02000085","W35000153","W11000023","W45000777","C1","4A2",53.048909,-3.000085,"W99999999","","W15000001",430,"W99999999","W99999999","W00001986","W01000372","W02000085","UN1"
"LL110AH","LL11 0AH","LL11 0AH","200503","200804","W99999999","W99999999","W06000006","W05001732","W04000240","1","333056","0350649","1","W11000023","W99999999","W92000004","W99999999","9","W07000111","W08000001","W16000001","W22000034","W11000023","W06000006","00NLPN","W00001986","00NLPN","W31000001","W01000372","W02000085","5","6C2","W00001986","W01000372","W02000085","W35000153","W11000023","W45000777","C1","4A2",53.048909,-3.000085,"W99999999","","W15000001",430,"W99999999","W99999999","W00001986","W01000372","W02000085","UN1"
"LL110AJ","LL11 0AJ","LL11 0AJ","201205","201304","W99999999","W99999999","W06000006","W05001732","W04000240","1","333056","0350649","1","W11000023","W99999999","W92000004","W99999999","9","W07000111","W08000001","W16000001","W22000034","W11000023","W06000006","00NLPN","W00001986","00NLPN","W31000001","W01000372","W02000085","5","6C2","W00001986","W01000372","W02000085","W35000153","W11000023","W45000777","C1","4A2",53.048909,-3.000085,"W99999999","","W15000001",430,"W99999999","W99999999","W00001986","W01000372","W02000085","UN1"
"LL110AL","LL11 0AL","LL11 0AL","200504","200705","W99999999","W99999999","W06000006","W05001732","W04000240","1","333056","0350649","1","W11000023","W99999999","W92000004","W99999999","9","W07000111","W08000001","W16000001","W22000034","W11000023","W06000006","00NLPN","W00001986","00NLPN","W31000001","W01000372","W02000085","5","6C2","W00001986","W01000372","W02000085","W35000153","W11000023","W45000777","C1","4A2",53.048909,-3.000085,"W99999999","","W15000001",430,"W99999999","W99999999","W00001986","W01000372","W02000085","UN1"
"LL110AN","LL11 0AN","LL11 0AN","200504","200605","W99999999","W99999999","W06000006","W05001732","W04000240","1","333056","0350649","1","W11000023","W99999999","W92000004","W99999999","9","W07000111","W08000001","W16000001","W22000034","W11000023","W06000006","00NLPN","W00001986","00NLPN","W31000001","W01000372","W02000085","5","6C2","W00001986","W01000372","W02000085","W35000153","W11000023","W45000777","C1","4A2",53.048909,-3.000085,"W99999999","","W15000001",430,"W99999999","W99999999","W00001986","W01000372","W02000085","UN1"
"LL110AP","LL11 0AP","LL11 0AP","200505","200605","W99999999","W99999999","W06000006","W05001732","W04000240","1","333056","0350649","1","W11000023","W99999999","W92000004","W99999999","9","W07000111","W08000001","W16000001","W22000034","W11000023","W06000006","00NLPN","W00001986","00NLPN","W31000001","W01000372","W02000085","5","6C2","W00001986","W01000372","W02000085","W35000153","W11000023","W45000777","C1","4A2",53.048909,-3.000085,"W99999999","","W15000001",430,"W99999999","W99999999","W00001986","W01000372","W02000085","UN1"
"LL110AQ","LL11 0AQ","LL11 0AQ","200505","200605","W99999999","W99999999","W06000006","W05001732","W04000240","1","333056","0350649","1","W11000023","W99999999","W92000004","W99999999","9","W07000111","W08000001","W16000001","W22000034","W11000023","W06000006","00NLPN","W00001986","00NLPN","W31000001","W01000372","W02000085","5","6C2","W00001986","W01000372","W02000085","W35000153","W11000023","W45000777","C1","4A2",53.048909,-3.000085,"W99999999","","W15000001",430,"W99999999","W99999999","W00001986","W01000372","W02000085","UN1"
"LL110AR","LL11 0AR","LL11 0AR","200505","200605","W99999999","W99999999","W06000006","W05001732","W04000240","1","333056","0350649","1","W11000023","W99999999","W92000004","W99999999","9","W07000111","W08000001","W16000001","W22000034","W11000023","W06000006","00NLPN","W00001986","00NLPN","W31000001","W01000372","W02000085","5","6C2","W00001986","W01000372","W02000085","W35000153","W11000023","W45000777","C1","4A2",53.048909,-3.000085,"W99999999","","W15000001",430,"W99999999","W99999999","W00001986","W01000372","W02000085","UN1"
"LL110AS","LL11 0AS","LL11 0AS","200505","200806","W99999999","W99999999","W06000006","W05001732","W04000240","1","333056","0350649","1","W11000023","W99999999","W92000004","W99999999","9","W07000111","W08000001","W16000001","W22000034","W11000023","W06000006","00NLPN","W00001986","00NLPN","W31000001","W01000372","W02000085","5","6C2","W00001986","W01000372","W02000085","W35000153","W11000023","W45000777","C1","4A2",53.048909,-3.000085,"W99999999","","W15000001",430,"W99999999","W99999999","W00001986","W01000372","W02000085","UN1"
