pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"LN1 1AA","LN1  1AA","LN1 1AA","199002","199712","E10000019","E58000898","E07000138","E05010787","E43000110","1","497446","0371261","8","E18000004","E40000011","E92000001","E12000004","3","E14001336","E15000004","E24000009","E30000231","E16000082","E07000138","32UDFR","E00132752","32UDFR","E65000001","E01026143","E02005446","5","2B1","E00132752","E01026143","E02005446","E33014497","E38000238","E63008729","C1","2A1",53.229482,-0.541680,"E37000060","","E23000020",18764,"E56000031","E54000013","E00185400","E01034688","E02005446","UN1"
"LN1 1AB","LN1  1AB","LN1 1AB","200112","","E10000019","E58000898","E07000138","E05010787","E43000110","0","496270","0373037","1","E18000004","E40000011","E92000001","E12000004","3","E14001336","E15000004","E24000009","E30000231","E16000082","E07000138","32UDFR","E00132758","32UDFR","E65000001","E01026147","E02005444","5","3C1","E00173630","E01026147","E02005444","E33016753","E38000238","E63008729","C1","5A1",53.245655,-0.558755,"E37000060","","E23000020",20693,"E56000031","E54000013","E00173630","E01026147","E02005444","UN1"
"LN1 1AD","LN1  1AD","LN1 1AD","200112","","E10000019","E58000898","E07000138","E05010787","E43000110","0","496430","0373061","1","E18000004","E40000011","E92000001","E12000004","3","E14001336","E15000004","E24000009","E30000231","E16000082","E07000138","32UDFR","E00132758","32UDFR","E65000001","E01026147","E02005444","5","3C1","E00173631","E01026147","E02005444","E33016753","E38000238","E63008729","C1","6B2",53.245842,-0.556351,"E37000060","","E23000020",20693,"E56000031","E54000013","E00173631","E01026147","E02005444","UN1"
"LN1 1AE","LN1  1AE","LN1 1AE","200506","","E10000019","E58000898","E07000138","E05010787","E43000110","0","496456","0372983","1","E18000004","E40000011","E92000001","E12000004","3","E14001336","E15000004","E24000009","E30000231","E16000082","E07000138","32UDFR","E00132759","32UDFR","E65000001","E01026147","E02005444","5","4B4","E00132759","E01026147","E02005444","E33016753","E38000238","E63008729","C1","6B2",53.245137,-0.555985,"E37000060","","E23000020",20693,"E56000031","E54000013","E00132759","E01026147","E02005444","UN1"
"LN1 1AF","LN1  1AF","LN1 1AF","200506","","E10000019","E58000898","E07000138","E05010787","E43000110","0","496553","0373016","1","E18000004","E40000011","E92000001","E12000004","3","E14001336","E15000004","E24000009","E30000231","E16000082","E07000138","32UDFR","E00132759","32UDFR","E65000001","E01026147","E02005444","5","4B4","E00132759","E01026147","E02005444","E33016753","E38000238","E63008729","C1","6B2",53.245416,-0.554522,"E37000060","","E23000020",20693,"E56000031","E54000013","E00132759","E01026147","E02005444","UN1"
"LN1 1AG","LN1  1AG","LN1 1AG","200307","","E10000019","E58000898","E07000138","E05010787","E43000110","0","496548","0372970","1","E18000004","E40000011","E92000001","E12000004","3","E14001336","E15000004","E24000009","E30000231","E16000082","E07000138","32UDFR","E00132759","32UDFR","E65000001","E01026147","E02005444","5","4B4","E00132759","E01026147","E02005444","E33016753","E38000238","E63008729","C1","6B2",53.245003,-0.554611,"E37000060","","E23000020",20693,"E56000031","E54000013","E00132759","E01026147","E02005444","UN1"
"LN1 1AH","LN1  1AH","LN1 1AH","200512","","E10000019","E58000898","E07000138","E05010787","E43000110","0","496601","0372992","1","E18000004","E40000011","E92000001","E12000004","3","E14001336","E15000004","E24000009","E30000231","E16000082","E07000138","32UDFR","E00132759","32UDFR","E65000001","E01026147","E02005444","5","4B4","E00132759","E01026147","E02005444","E33016753","E38000238","E63008729","C1","6B2",53.245191,-0.553810,"E37000060","","E23000020",20693,"E56000031","E54000013","E00132759","E01026147","E02005444","UN1"
"LN1 1AJ","LN1  1AJ","LN1 1AJ","200206","","E10000019","E58000898","E07000138","E05010787","E43000110","0","496357","0373083","1","E18000004","E40000011","E92000001","E12000004","3","E14001336","E15000004","E24000009","E30000231","E16000082","E07000138","32UDFR","E00132758","32UDFR","E65000001","E01026147","E02005444","5","3C1","E00173631","E01026147","E02005444","E33016753","E38000238","E63008729","C1","6B2",53.246053,-0.557438,"E37000060","","E23000020",20693,"E56000031","E54000013","E00173631","E01026147","E02005444","UN1"
"LN1 1AL","LN1  1AL","LN1 1AL","200212","","E10000019","E58000898","E07000138","E05010787","E43000110","0","496412","0373082","1","E18000004","E40000011","E92000001","E12000004","3","E14001336","E15000004","E24000009","E30000231","E16000082","E07000138","32UDFR","E00132758","32UDFR","E65000001","E01026147","E02005444","5","3C1","E00173631","E01026147","E02005444","E33016753","E38000238","E63008729","C1","6B2",53.246034,-0.556614,"E37000060","","E23000020",20693,"E56000031","E54000013","E00173631","E01026147","E02005444","UN1"
"LN1 1AN","LN1  1AN","LN1 1AN","200112","","E10000019","E58000898","E07000138","E05010787","E43000110","0","496431","0373144","1","E18000004","E40000011","E92000001","E12000004","3","E14001336","E15000004","E24000009","E30000231","E16000082","E07000138","32UDFR","E00132758","32UDFR","E65000001","E01026147","E02005444","5","3C1","E00173631","E01026147","E02005444","E33016753","E38000238","E63008729","C1","6B2",53.246588,-0.556311,"E37000060","","E23000020",20693,"E56000031","E54000013","E00173631","E01026147","E02005444","UN1"
"LN1 1AP","LN1  1AP","LN1 1AP","200310","","E10000019","E58000898","E07000138","E05010787","E43000110","0","496451","0373179","1","E18000004","E40000011","E92000001","E12000004","3","E14001336","E15000004","E24000009","E30000231","E16000082","E07000138","32UDFR","E00132759","32UDFR","E65000001","E01026147","E02005444","5","4B4","E00132759","E01026147","E02005444","E33016753","E38000238","E63008729","C1","6B2",53.246899,-0.556001,"E37000060","","E23000020",20693,"E56000031","E54000013","E00132759","E01026147","E02005444","UN1"
"LN1 1AQ","LN1  1AQ","LN1 1AQ","200305","","E10000019","E58000898","E07000138","E05010787","E43000110","0","496387","0373166","1","E18000004","E40000011","E92000001","E12000004","3","E14001336","E15000004","E24000009","E30000231","E16000082","E07000138","32UDFR","E00132758","32UDFR","E65000001","E01026147","E02005444","5","3C1","E00173631","E01026147","E02005444","E33016753","E38000238","E63008729","C1","6B2",53.246794,-0.556964,"E37000060","","E23000020",20693,"E56000031","E54000013","E00173631","E01026147","E02005444","UN1"
"LN1 1AR","LN1  1AR","LN1 1AR","200112","","E10000019","E58000898","E07000138","E05010787","E43000110","0","496301","0373147","1","E18000004","E40000011","E92000001","E12000004","3","E14001336","E15000004","E24000009","E30000231","E16000082","E07000138","32UDFR","E00132758","32UDFR","E65000001","E01026147","E02005444","5","3C1","E00173631","E01026147","E02005444","E33016753","E38000238","E63008729","C1","6B2",53.246638,-0.558258,"E37000060","","E23000020",20693,"E56000031","E54000013","E00173631","E01026147","E02005444","UN1"
"LN1 1AS","LN1  1AS","LN1 1AS","200206","","E10000019","E58000898","E07000138","E05010787","E43000110","0","496353","0373001","1","E18000004","E40000011","E92000001","E12000004","3","E14001336","E15000004","E24000009","E30000231","E16000082","E07000138","32UDFR","E00132758","32UDFR","E65000001","E01026147","E02005444","5","3C1","E00173630","E01026147","E02005444","E33016753","E38000238","E63008729","C1","5A1",53.245317,-0.557523,"E37000060","","E23000020",20693,"E56000031","E54000013","E00173630","E01026147","E02005444","UN1"
"LN1 1AT","LN1  1AT","LN1 1AT","200408","","E10000019","E58000898","E07000138","E05010787","E43000110","0","496230","0373021","1","E18000004","E40000011","E92000001","E12000004","3","E14001336","E15000004","E24000009","E30000231","E16000082","E07000138","32UDFR","E00132758","32UDFR","E65000001","E01026147","E02005444","5","3C1","E00173630","E01026147","E02005444","E33016753","E38000238","E63008729","C1","5A1",53.245519,-0.559359,"E37000060","","E23000020",20693,"E56000031","E54000013","E00173630","E01026147","E02005444","UN1"
"LN1 1AU","LN1  1AU","LN1 1AU","200502","","E10000019","E58000898","E07000138","E05010787","E43000110","0","496256","0372976","1","E18000004","E40000011","E92000001","E12000004","3","E14001336","E15000004","E24000009","E30000231","E16000082","E07000138","32UDFR","E00132758","32UDFR","E65000001","E01026147","E02005444","5","3C1","E00173630","E01026147","E02005444","E33016753","E38000238","E63008729","C1","5A1",53.245110,-0.558983,"E37000060","","E23000020",20693,"E56000031","E54000013","E00173630","E01026147","E02005444","UN1"
