pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"LS1 1AA","LS1  1AA","LS1 1AA","199002","200212","E99999999","E99999999","E08000035","E05011399","E43000294","1","429572","0433410","1","E18000003","E40000012","E92000001","E12000003","2","E14001323","E15000003","E24000045","E30000229","E16000074","E08000035","00DAGW","E00057299","00DAFH","E65000001","E01011365","E02002413","5","2A1","E00169810","E01033008","E02006875","E33010436","E38000225","E63007883","A1","2B2",53.796179,-1.552548,"E37000062","","E23000010",13916,"E56000030","E54000054","E00169810","E01033008","E02006875","UN1"
"LS1 1AB","LS1  1AB","LS1 1AB","198001","198812","E99999999","E99999999","E08000035","E05011399","E43000294","1","429500","0433400","8","E18000003","E40000012","E92000001","E12000003","2","E14001323","E15000003","E24000045","E30000229","E16000074","E08000035","00DAGW","E00057299","00DAFH","E65000001","E01011365","E02002413","5","2A1","E00170261","E01033015","E02006875","E33010504","E38000225","E63007883","A1","2B2",53.796093,-1.553642,"E37000062","","E23000010",23910,"E56000030","E54000054","E00187122","E01033015","E02006875","UN1"
"LS1 1AD","LS1  1AD","LS1 1AD","198001","198112","E99999999","E99999999","E08000035","E05011399","E43000294","1","429500","0433400","8","E18000003","E40000012","E92000001","E12000003","2","E14001323","E15000003","E24000045","E30000229","E16000074","E08000035","00DAGW","E00057299","00DAFH","E65000001","E01011365","E02002413","5","2A1","E00170261","E01033015","E02006875","E33010504","E38000225","E63007883","A1","2B2",53.796093,-1.553642,"E37000062","","E23000010",23910,"E56000030","E54000054","E00187122","E01033015","E02006875","UN1"
"LS1 1AE","LS1  1AE","LS1 1AE","198001","198112","E99999999","E99999999","E08000035","E05011399","E43000294","1","429500","0433400","8","E18000003","E40000012","E92000001","E12000003","2","E14001323","E15000003","E24000045","E30000229","E16000074","E08000035","00DAGW","E00057299","00DAFH","E65000001","E01011365","E02002413","5","2A1","E00170261","E01033015","E02006875","E33010504","E38000225","E63007883","A1","2B2",53.796093,-1.553642,"E37000062","","E23000010",23910,"E56000030","E54000054","E00187122","E01033015","E02006875","UN1"
"LS1 1AJ","LS1  1AJ","LS1 1AJ","198607","200711","E99999999","E99999999","E08000035","E05011403","E43000294","1","429848","0433454","1","E18000003","E40000012","E92000001","E12000003","2","E14001319","E15000003","E24000045","E30000229","E16000074","E08000035","00DAGW","E00057299","00DAFH","E65000001","E01011365","E02002413","5","2A1","E00169811","E01033016","E02006875","E33010441","E38000225","E63007883","A1","2B2",53.796559,-1.548354,"E37000062","","E23000010",20160,"E56000030","E54000054","E00169811","E01033016","E02006875","UN1"
"LS1 1AL","LS1  1AL","LS1 1AL","198001","199501","E99999999","E99999999","E08000035","E05011399","E43000294","1","429800","0433400","8","E18000003","E40000012","E92000001","E12000003","2","E14001323","E15000003","E24000045","E30000229","E16000074","E08000035","00DAGW","E00057299","00DAFH","E65000001","E01011365","E02002413","5","2A1","E00169811","E01033016","E02006875","E33010440","E38000225","E63007883","A1","2B2",53.796076,-1.549088,"E37000062","","E23000010",20160,"E56000030","E54000054","E00169811","E01033016","E02006875","UN1"
"LS1 1AS","LS1  1AS","LS1 1AS","200106","200806","E99999999","E99999999","E08000035","E05011403","E43000294","1","428809","0433421","1","E18000003","E40000012","E92000001","E12000003","2","E14001319","E15000003","E24000045","E30000229","E16000074","E08000035","00DAGW","E00057303","00DAFH","E65000001","E01011363","E02002400","5","5B3","E00057303","E01011363","E02002400","E33009547","E38000225","E63007883","A1","8D2",53.796321,-1.564130,"E37000062","","E23000010",134,"E56000030","E54000054","E00057303","E01011363","E02002400","UN1"
"LS1 1AW","LS1  1AW","LS1 1AW","198410","200006","E99999999","E99999999","E08000035","E05011403","E43000294","1","429472","0433717","6","E18000003","E40000012","E92000001","E12000003","2","E14001319","E15000003","E24000045","E30000229","E16000074","E08000035","00DAGW","E00057299","00DAFH","E65000001","E01011365","E02002413","5","2A1","E00169782","E01033008","E02006875","E33010363","E38000225","E63007883","A1","2B2",53.798944,-1.554037,"E37000062","","E23000010",13916,"E56000030","E54000054","E00187074","E01033008","E02006875","UN1"
"LS1 1AZ","LS1  1AZ","LS1 1AZ","199308","","E99999999","E99999999","E08000035","E05011403","E43000294","1","428811","0433420","1","E18000003","E40000012","E92000001","E12000003","2","E14001319","E15000003","E24000045","E30000229","E16000074","E08000035","00DAGW","E00057303","00DAFH","E65000001","E01011363","E02002400","5","5B3","E00057303","E01011363","E02002400","E33009547","E38000225","E63007883","A1","8D2",53.796312,-1.564100,"E37000062","","E23000010",134,"E56000030","E54000054","E00057303","E01011363","E02002400","UN1"
"LS1 1BA","LS1  1BA","LS1 1BA","200507","","E99999999","E99999999","E08000035","E05011403","E43000294","0","429317","0433507","1","E18000003","E40000012","E92000001","E12000003","2","E14001319","E15000003","E24000045","E30000229","E16000074","E08000035","00DAGW","E00057299","00DAFH","E65000001","E01011365","E02002413","5","2A1","E00169782","E01033008","E02006875","E33010368","E38000225","E63007883","A1","2B2",53.797065,-1.556410,"E37000062","","E23000010",13916,"E56000030","E54000054","E00187074","E01033008","E02006875","UN1"
