pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"LU1 1AA","LU1  1AA","LU1 1AA","199002","","E99999999","E99999999","E06000032","E05014742","E43000027","1","508653","0221332","1","E18000006","E40000013","E92000001","E12000006","5","E14001346","E15000006","E24000004","E30000237","E16000029","E06000032","00KANJ","E00079838","00KANJ","E65000001","E01015794","E02003275","5","7B1","E00173271","E01015794","E02003275","E33025328","E38000249","E63011256","C1","3A2",51.879985,-0.422902,"E37000057","","E23000026",3663,"E56000035","E54000024","E00173271","E01033804","E02006938","UN1"
"LU1 1AB","LU1  1AB","LU1 1AB","199507","199612","E99999999","E99999999","E06000032","E05014742","E43000027","1","508600","0221300","8","E18000006","E40000013","E92000001","E12000006","5","E14001346","E15000006","E24000004","E30000237","E16000029","E06000032","00KANJ","E00079838","00KANJ","E65000001","E01015794","E02003275","5","7B1","E00173271","E01015794","E02003275","E33025328","E38000249","E63011256","C1","3A2",51.879708,-0.423681,"E37000057","","E23000026",3663,"E56000035","E54000024","E00173271","E01033804","E02006938","UN1"
"LU1 1AD","LU1  1AD","LU1 1AD","200012","200806","E99999999","E99999999","E06000032","E05014742","E43000027","1","508653","0221332","1","E18000006","E40000013","E92000001","E12000006","5","E14001346","E15000006","E24000004","E30000237","E16000029","E06000032","00KANJ","E00079838","00KANJ","E65000001","E01015794","E02003275","5","7B1","E00173271","E01015794","E02003275","E33025328","E38000249","E63011256","C1","3A2",51.879985,-0.422902,"E37000057","","E23000026",3663,"E56000035","E54000024","E00173271","E01033804","E02006938","UN1"
"LU1 1AE","LU1  1AE","LU1 1AE","199308","199512","E99999999","E99999999","E06000032","E05014742","E43000027","1","508600","0221300","8","E18000006","E40000013","E92000001","E12000006","5","E14001346","E15000006","E24000004","E30000237","E16000029","E06000032","00KANJ","E00079838","00KANJ","E65000001","E01015794","E02003275","5","7B1","E00173271","E01015794","E02003275","E33025328","E38000249","E63011256","C1","3A2",51.879708,-0.423681,"E37000057","","E23000026",3663,"E56000035","E54000024","E00173271","E01033804","E02006938","UN1"
"LU1 1AF","LU1  1AF","LU1 1AF","199308","199806","E99999999","E99999999","E06000032","E05014741","E43000027","1","507884","0221532","6","E18000006","E40000013","E92000001","E12000006","5","E14001346","E15000006","E24000004","E30000237","E16000029","E06000032","00KAMY","E00079507","00KAMY","E65000001","E01015730","E02003276","5","7A1","E00079507","E01015730","E02003276","E33025332","E38000249","E63011256","C1","4B1",51.881932,-0.434007,"E37000057","","E23000026",8836,"E56000035","E54000024","E00079507","E01015730","E02003276","UN1"
"LU1 1AG","LU1  1AG","LU1 1AG","199405","199806","E99999999","E99999999","E06000032","E05014741","E43000027","1","507884","0221532","6","E18000006","E40000013","E92000001","E12000006","5","E14001346","E15000006","E24000004","E30000237","E16000029","E06000032","00KAMY","E00079507","00KAMY","E65000001","E01015730","E02003276","5","7A1","E00079507","E01015730","E02003276","E33025332","E38000249","E63011256","C1","4B1",51.881932,-0.434007,"E37000057","","E23000026",8836,"E56000035","E54000024","E00079507","E01015730","E02003276","UN1"
"LU1 1AH","LU1  1AH","LU1 1AH","199308","199512","E99999999","E99999999","E06000032","E05014742","E43000027","1","508600","0221300","8","E18000006","E40000013","E92000001","E12000006","5","E14001346","E15000006","E24000004","E30000237","E16000029","E06000032","00KANJ","E00079838","00KANJ","E65000001","E01015794","E02003275","5","7B1","E00173271","E01015794","E02003275","E33025328","E38000249","E63011256","C1","3A2",51.879708,-0.423681,"E37000057","","E23000026",3663,"E56000035","E54000024","E00173271","E01033804","E02006938","UN1"
"LU1 1AJ","LU1  1AJ","LU1 1AJ","199507","199606","E99999999","E99999999","E06000032","E05014742","E43000027","1","508600","0221300","8","E18000006","E40000013","E92000001","E12000006","5","E14001346","E15000006","E24000004","E30000237","E16000029","E06000032","00KANJ","E00079838","00KANJ","E65000001","E01015794","E02003275","5","7B1","E00173271","E01015794","E02003275","E33025328","E38000249","E63011256","C1","3A2",51.879708,-0.423681,"E37000057","","E23000026",3663,"E56000035","E54000024","E00173271","E01033804","E02006938","UN1"
"LU1 1AL","LU1  1AL","LU1 1AL","199507","199612","E99999999","E99999999","E06000032","E05014742","E43000027","1","508600","0221300","8","E18000006","E40000013","E92000001","E12000006","5","E14001346","E15000006","E24000004","E30000237","E16000029","E06000032","00KANJ","E00079838","00KANJ","E65000001","E01015794","E02003275","5","7B1","E00173271","E01015794","E02003275","E33025328","E38000249","E63011256","C1","3A2",51.879708,-0.423681,"E37000057","","E23000026",3663,"E56000035","E54000024","E00173271","E01033804","E02006938","UN1"
"LU1 1AP","LU1  1AP","LU1 1AP","199412","199612","E99999999","E99999999","E06000032","E05014742","E43000027","1","508600","0221300","8","E18000006","E40000013","E92000001","E12000006","5","E14001346","E15000006","E24000004","E30000237","E16000029","E06000032","00KANJ","E00079838","00KANJ","E65000001","E01015794","E02003275","5","7B1","E00173271","E01015794","E02003275","E33025328","E38000249","E63011256","C1","3A2",51.879708,-0.423681,"E37000057","","E23000026",3663,"E56000035","E54000024","E00173271","E01033804","E02006938","UN1"
