pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"N1  0AA","N1   0AA","N1 0AA","198001","","E99999999","E99999999","E09000019","E05013700","E43000209","0","530626","0183961","1","E18000007","E40000003","E92000001","E12000007","5","E14001306","E15000007","E24000014","E30000234","E16000048","E09000019","00AUFZ","E00013472","00AUFZ","E65000001","E01002715","E02000572","5","7B2","E00013472","E01002715","E02000572","E33034759","E38000240","E63011980","A1","3B1",51.539445,-0.117847,"E37000051","","E23000001",4721,"E56000027","E54000028","E00013472","E01002715","E02000572","UN1"
"N1  0AB","N1   0AB","N1 0AB","198001","","E99999999","E99999999","E09000019","E05013700","E43000209","0","530559","0183978","1","E18000007","E40000003","E92000001","E12000007","5","E14001306","E15000007","E24000014","E30000234","E16000048","E09000019","00AUFZ","E00013472","00AUFZ","E65000001","E01002715","E02000572","5","7B2","E00013472","E01002715","E02000572","E33034759","E38000240","E63011980","A1","3B1",51.539613,-0.118806,"E37000051","","E23000001",4721,"E56000027","E54000028","E00013472","E01002715","E02000572","UN1"
"N1  0AD","N1   0AD","N1 0AD","200209","","E99999999","E99999999","E09000019","E05013700","E43000209","0","530333","0184053","1","E18000007","E40000003","E92000001","E12000007","5","E14001306","E15000007","E24000014","E30000234","E16000048","E09000019","00AUFZ","E00013476","00AUFZ","E65000001","E01002708","E02000568","5","7B1","E00174800","E01002708","E02000568","E33034736","E38000240","E63011980","A1","3B3",51.540339,-0.122035,"E37000051","","E23000001",8035,"E56000027","E54000028","E00183852","E01002708","E02000568","UN1"
"N1  0AE","N1   0AE","N1 0AE","200012","","E99999999","E99999999","E09000019","E05013700","E43000209","0","530322","0183741","1","E18000007","E40000003","E92000001","E12000007","5","E14001306","E15000007","E24000014","E30000234","E16000048","E09000019","00AUFZ","E00013471","00AUFZ","E65000001","E01002709","E02000572","5","7B1","E00013471","E01002709","E02000572","E33034760","E38000240","E63011985","A1","3D3",51.537538,-0.122309,"E37000051","","E23000001",5835,"E56000027","E54000028","E00013471","E01002709","E02000572","UN1"
"N1  0AF","N1   0AF","N1 0AF","198001","","E99999999","E99999999","E09000019","E05013700","E43000209","0","530704","0183764","1","E18000007","E40000003","E92000001","E12000007","5","E14001306","E15000007","E24000014","E30000234","E16000048","E09000019","00AUFZ","E00013482","00AUFZ","E65000001","E01002710","E02000572","5","7B2","E00013482","E01002710","E02000572","E33034760","E38000240","E63011980","A1","3B1",51.537656,-0.116796,"E37000051","","E23000001",7574,"E56000027","E54000028","E00013482","E01002710","E02000572","UN1"
"N1  0AG","N1   0AG","N1 0AG","198106","","E99999999","E99999999","E09000019","E05013700","E43000209","0","530404","0183915","1","E18000007","E40000003","E92000001","E12000007","5","E14001306","E15000007","E24000014","E30000234","E16000048","E09000019","00AUFZ","E00013476","00AUFZ","E65000001","E01002708","E02000568","5","7B1","E00174800","E01002708","E02000568","E33034736","E38000240","E63011980","A1","3B3",51.539083,-0.121063,"E37000051","","E23000001",8035,"E56000027","E54000028","E00183906","E01002708","E02000568","UN1"
"N1  0AH","N1   0AH","N1 0AH","200012","","E99999999","E99999999","E09000019","E05013700","E43000209","0","530357","0183712","1","E18000007","E40000003","E92000001","E12000007","5","E14001306","E15000007","E24000014","E30000234","E16000048","E09000019","00AUFZ","E00013470","00AUFZ","E65000001","E01002709","E02000572","5","7B1","E00013470","E01002709","E02000572","E33034760","E38000240","E63011980","A1","3D3",51.537269,-0.121816,"E37000051","","E23000001",5835,"E56000027","E54000028","E00013470","E01002709","E02000572","UN1"
"N1  0AJ","N1   0AJ","N1 0AJ","200012","","E99999999","E99999999","E09000019","E05013700","E43000209","0","530335","0183709","1","E18000007","E40000003","E92000001","E12000007","5","E14001306","E15000007","E24000014","E30000234","E16000048","E09000019","00AUFZ","E00013470","00AUFZ","E65000001","E01002709","E02000572","5","7B1","E00013470","E01002709","E02000572","E33034760","E38000240","E63011980","A1","3D3",51.537247,-0.122134,"E37000051","","E23000001",5835,"E56000027","E54000028","E00013470","E01002709","E02000572","UN1"
"N1  0AL","N1   0AL","N1 0AL","199912","","E99999999","E99999999","E09000019","E05013700","E43000209","0","530530","0183945","1","E18000007","E40000003","E92000001","E12000007","5","E14001306","E15000007","E24000014","E30000234","E16000048","E09000019","00AUFZ","E00013477","00AUFZ","E65000001","E01002715","E02000572","5","7B2","E00013477","E01002715","E02000572","E33034759","E38000240","E63011980","A1","3B3",51.539323,-0.119236,"E37000051","","E23000001",4721,"E56000027","E54000028","E00013477","E01002715","E02000572","UN1"
"N1  0AN","N1   0AN","N1 0AN","198106","","E99999999","E99999999","E09000019","E05013700","E43000209","0","530403","0183700","1","E18000007","E40000003","E92000001","E12000007","5","E14001306","E15000007","E24000014","E30000234","E16000048","E09000019","00AUFZ","E00013470","00AUFZ","E65000001","E01002709","E02000572","5","7B1","E00013470","E01002709","E02000572","E33034760","E38000240","E63011980","A1","3D3",51.537151,-0.121157,"E37000051","","E23000001",5835,"E56000027","E54000028","E00013470","E01002709","E02000572","UN1"
