pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"NG1 1AA","NG1  1AA","NG1 1AA","199002","","E99999999","E99999999","E06000018","E05012287","E43000016","1","457804","0340087","1","E18000004","E40000011","E92000001","E12000004","3","E14001410","E15000004","E24000008","E30000249","E16000022","E06000018","00FYNX","E00070464","00FYNX","E65000001","E01013956","E02002890","5","2A2","E00173535","E01033405","E02002890","E33015243","E38000243","E63009088","B1","2B2",52.955073,-1.141027,"E37000045","","E23000019",4686,"E56000031","E54000060","E00187524","E01035500","E02002890","UN1"
"NG1 1AB","NG1  1AB","NG1 1AB","202403","","E99999999","E99999999","E06000018","E05012287","E43000016","0","457845","0340031","1","E18000004","E40000011","E92000001","E12000004","3","E14001410","E15000004","E24000008","E30000249","E16000022","E06000018","00FYNX","E00070464","00FYNX","E65000001","E01013956","E02002890","5","2A2","E00173535","E01033405","E02002890","E33015693","E38000243","E63009088","B1","2B2",52.954565,-1.140427,"E37000045","","E23000019",4686,"E56000031","E54000060","E00187603","E01035500","E02002890","UN1"
"NG1 1AE","NG1  1AE","NG1 1AE","199109","200311","E99999999","E99999999","E06000018","E05012287","E43000016","1","457760","0340197","1","E18000004","E40000011","E92000001","E12000004","3","E14001410","E15000004","E24000008","E30000249","E16000022","E06000018","00FYNX","E00070464","00FYNX","E65000001","E01013956","E02002890","5","2A2","E00173535","E01033405","E02002890","E33015698","E38000243","E63009088","B1","2B2",52.956067,-1.141662,"E37000045","","E23000019",4686,"E56000031","E54000060","E00187603","E01035500","E02002890","UN1"
"NG1 1AF","NG1  1AF","NG1 1AF","199109","200311","E99999999","E99999999","E06000018","E05012287","E43000016","1","457760","0340197","1","E18000004","E40000011","E92000001","E12000004","3","E14001410","E15000004","E24000008","E30000249","E16000022","E06000018","00FYNX","E00070464","00FYNX","E65000001","E01013956","E02002890","5","2A2","E00173535","E01033405","E02002890","E33015698","E38000243","E63009088","B1","2B2",52.956067,-1.141662,"E37000045","","E23000019",4686,"E56000031","E54000060","E00187603","E01035500","E02002890","UN1"
"NG1 1AG","NG1  1AG","NG1 1AG","199208","200311","E99999999","E99999999","E06000018","E05012287","E43000016","1","457760","0340197","1","E18000004","E40000011","E92000001","E12000004","3","E14001410","E15000004","E24000008","E30000249","E16000022","E06000018","00FYNX","E00070464","00FYNX","E65000001","E01013956","E02002890","5","2A2","E00173535","E01033405","E02002890","E33015698","E38000243","E63009088","B1","2B2",52.956067,-1.141662,"E37000045","","E23000019",4686,"E56000031","E54000060","E00187603","E01035500","E02002890","UN1"
"NG1 1AH","NG1  1AH","NG1 1AH","200912","","E99999999","E99999999","E06000018","E05012287","E43000016","1","457804","0340087","1","E18000004","E40000011","E92000001","E12000004","3","E14001410","E15000004","E24000008","E30000249","E16000022","E06000018","00FYNX","E00070464","00FYNX","E65000001","E01013956","E02002890","5","2A2","E00173535","E01033405","E02002890","E33015243","E38000243","E63009088","B1","2B2",52.955073,-1.141027,"E37000045","","E23000019",4686,"E56000031","E54000060","E00187524","E01035500","E02002890","UN1"
"NG1 1AJ","NG1  1AJ","NG1 1AJ","200809","","E99999999","E99999999","E06000018","E05012277","E43000016","0","458179","0339654","1","E18000004","E40000011","E92000001","E12000004","3","E14001410","E15000004","E24000008","E30000249","E16000022","E06000018","00FYNR","E00070230","00FYNR","E65000001","E01013920","E02002896","5","5A1","E00070230","E01013920","E02002896","E33015725","E38000243","E63009088","B1","3C1",52.951141,-1.135523,"E37000045","","E23000019",2974,"E56000031","E54000060","E00070230","E01013920","E02002896","UN1"
"NG1 1AL","NG1  1AL","NG1 1AL","199301","199412","E99999999","E99999999","E06000018","E05012277","E43000016","1","457700","0340100","8","E18000004","E40000011","E92000001","E12000004","3","E14001410","E15000004","E24000008","E30000249","E16000022","E06000018","00FYNL","E00069990","00FYNL","E65000001","E01013869","E02002900","5","2A2","E00173511","E01033407","E02006904","E33018063","E38000243","E63009088","B1","2B2",52.955201,-1.142573,"E37000045","","E23000019",10416,"E56000031","E54000060","E00187523","E01033407","E02006904","UN1"
"NG1 1AN","NG1  1AN","NG1 1AN","200209","","E99999999","E99999999","E06000018","E05012277","E43000016","0","457782","0339739","1","E18000004","E40000011","E92000001","E12000004","3","E14001410","E15000004","E24000008","E30000249","E16000022","E06000018","00FYNL","E00069990","00FYNL","E65000001","E01013869","E02002900","5","2A2","E00173546","E01033407","E02006904","E33018062","E38000243","E63009088","B1","2B2",52.951948,-1.141416,"E37000045","","E23000019",10416,"E56000031","E54000060","E00173546","E01033407","E02006904","UN1"
"NG1 1AP","NG1  1AP","NG1 1AP","200509","","E99999999","E99999999","E06000018","E05012277","E43000016","0","457740","0340150","1","E18000004","E40000011","E92000001","E12000004","3","E14001410","E15000004","E24000008","E30000249","E16000022","E06000018","00FYNX","E00070464","00FYNX","E65000001","E01013956","E02002890","5","2A2","E00173535","E01033405","E02002890","E33015243","E38000243","E63009088","B1","2B2",52.955646,-1.141968,"E37000045","","E23000019",4686,"E56000031","E54000060","E00187524","E01035500","E02002890","UN1"
"NG1 1AQ","NG1  1AQ","NG1 1AQ","201604","","E99999999","E99999999","E06000018","E05012277","E43000016","0","457728","0340149","1","E18000004","E40000011","E92000001","E12000004","3","E14001410","E15000004","E24000008","E30000249","E16000022","E06000018","00FYNX","E00070464","00FYNX","E65000001","E01013956","E02002890","5","2A2","E00173526","E01033405","E02002890","E33015698","E38000243","E63009088","B1","2B2",52.955639,-1.142147,"E37000045","","E23000019",4686,"E56000031","E54000060","E00187603","E01035500","E02002890","UN1"
