pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"NN1 1AA","NN1  1AA","NN1 1AA","199301","201610","E99999999","E99999999","E06000062","E05015995","E04013033","1","475320","0261359","1","E18000004","E40000011","E92000001","E12000004","3","E14001406","E15000004","E24000011","E30000247","E16000114","E06000062","34UFGB","E00138127","34UFGB","E65000001","E01027153","E02005670","5","5A1","E00138127","E01027153","E02005670","E33017338","E38000262","E63010463","C1","3C1",52.245285,-0.898231,"E37000057","","E23000022",2420,"E56000031","E54000059","E00138127","E01027153","E02005670","UN1"
"NN1 1AB","NN1  1AB","NN1 1AB","198001","199112","E99999999","E99999999","E06000062","E05015983","E04013033","1","475600","0260400","8","E18000004","E40000011","E92000001","E12000004","3","E14001406","E15000004","E24000011","E30000247","E16000114","E06000062","34UFGQ","E00138486","34UFGQ","E65000001","E01027223","E02005674","5","2B2","E00138486","E01027223","E02005674","E33014728","E38000262","E63010463","C1","2C1",52.236626,-0.894345,"E37000057","","E23000022",9944,"E56000031","E54000059","E00188957","E01035417","E02005674","UN1"
"NN1 1AD","NN1  1AD","NN1 1AD","198203","199501","E99999999","E99999999","E06000062","E05015983","E04013033","1","475600","0260400","8","E18000004","E40000011","E92000001","E12000004","3","E14001406","E15000004","E24000011","E30000247","E16000114","E06000062","34UFGQ","E00138486","34UFGQ","E65000001","E01027223","E02005674","5","2B2","E00138486","E01027223","E02005674","E33014728","E38000262","E63010463","C1","2C1",52.236626,-0.894345,"E37000057","","E23000022",9944,"E56000031","E54000059","E00188957","E01035417","E02005674","UN1"
"NN1 1AE","NN1  1AE","NN1 1AE","198410","200707","E99999999","E99999999","E06000062","E05015995","E04013033","1","475320","0261359","1","E18000004","E40000011","E92000001","E12000004","3","E14001406","E15000004","E24000011","E30000247","E16000114","E06000062","34UFGB","E00138127","34UFGB","E65000001","E01027153","E02005670","5","5A1","E00138127","E01027153","E02005670","E33017338","E38000262","E63010463","C1","3C1",52.245285,-0.898231,"E37000057","","E23000022",2420,"E56000031","E54000059","E00138127","E01027153","E02005670","UN1"
"NN1 1AF","NN1  1AF","NN1 1AF","198607","","E99999999","E99999999","E06000062","E05015983","E04013033","1","475689","0260445","1","E18000004","E40000011","E92000001","E12000004","3","E14001406","E15000004","E24000011","E30000247","E16000114","E06000062","34UFGQ","E00138486","34UFGQ","E65000001","E01027223","E02005674","5","2B2","E00138486","E01027223","E02005674","E33014728","E38000262","E63010463","C1","2C1",52.237018,-0.893032,"E37000057","","E23000022",9944,"E56000031","E54000059","E00188957","E01035417","E02005674","UN1"
"NN1 1AG","NN1  1AG","NN1 1AG","200803","","E99999999","E99999999","E06000062","E05015983","E04013033","0","475625","0260286","1","E18000004","E40000011","E92000001","E12000004","3","E14001406","E15000004","E24000011","E30000247","E16000114","E06000062","34UFGQ","E00138515","34UFGQ","E65000001","E01027223","E02005674","5","2B2","E00169272","E01027223","E02005674","E33015014","E38000262","E63010463","C1","2C1",52.235598,-0.894004,"E37000057","","E23000022",9944,"E56000031","E54000059","E00169272","E01035417","E02005674","UN1"
"NN1 1AH","NN1  1AH","NN1 1AH","199706","200311","E99999999","E99999999","E06000062","E05015995","E04013033","1","475320","0261359","1","E18000004","E40000011","E92000001","E12000004","3","E14001406","E15000004","E24000011","E30000247","E16000114","E06000062","34UFGB","E00138127","34UFGB","E65000001","E01027153","E02005670","5","5A1","E00138127","E01027153","E02005670","E33017338","E38000262","E63010463","C1","3C1",52.245285,-0.898231,"E37000057","","E23000022",2420,"E56000031","E54000059","E00138127","E01027153","E02005670","UN1"
"NN1 1AJ","NN1  1AJ","NN1 1AJ","200112","","E99999999","E99999999","E06000062","E05015983","E04013033","0","475189","0260342","1","E18000004","E40000011","E92000001","E12000004","3","E14001406","E15000004","E24000011","E30000247","E16000114","E06000062","34UFGB","E00138120","34UFGB","E65000001","E01027150","E02005670","5","2A2","E00169259","E01032979","E02005670","E33015001","E38000262","E63010463","C1","2C1",52.236161,-0.900375,"E37000057","","E23000022",1372,"E56000031","E54000059","E00169259","E01032979","E02005670","UN1"
"NN1 1AL","NN1  1AL","NN1 1AL","199405","","E99999999","E99999999","E06000062","E05015995","E04013033","1","475320","0261359","1","E18000004","E40000011","E92000001","E12000004","3","E14001406","E15000004","E24000011","E30000247","E16000114","E06000062","34UFGB","E00138127","34UFGB","E65000001","E01027153","E02005670","5","5A1","E00138127","E01027153","E02005670","E33017338","E38000262","E63010463","C1","3C1",52.245285,-0.898231,"E37000057","","E23000022",2420,"E56000031","E54000059","E00138127","E01027153","E02005670","UN1"
"NN1 1AN","NN1  1AN","NN1 1AN","199405","201106","E99999999","E99999999","E06000062","E05015995","E04013033","1","475320","0261359","1","E18000004","E40000011","E92000001","E12000004","3","E14001406","E15000004","E24000011","E30000247","E16000114","E06000062","34UFGB","E00138127","34UFGB","E65000001","E01027153","E02005670","5","5A1","E00138127","E01027153","E02005670","E33017338","E38000262","E63010463","C1","3C1",52.245285,-0.898231,"E37000057","","E23000022",2420,"E56000031","E54000059","E00138127","E01027153","E02005670","UN1"
