pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"NP1 0AA","NP1  0AA","NP1 0AA","198001","199906","W99999999","W99999999","W06000022","W05001641","W04001049","0","327300","0188700","8","W11000028","W99999999","W92000004","W99999999","9","W07000105","W08000001","W16000004","K01000013","W11000028","W06000022","00PRNM","W00008665","00PRNM","W31000001","W01001673","W02000355","5","4A2","W00008665","W01001673","W02000355","W35002422","W11000028","W45001164","C1","6A2",51.592441,-3.050867,"W99999999","","W15000002",1816,"W99999999","W99999999","W00008665","W01001673","W02000355","UN1"
"NP1 0AB","NP1  0AB","NP1 0AB","198001","199906","W99999999","W99999999","W06000022","W05001641","W04001049","0","327500","0188900","8","W11000028","W99999999","W92000004","W99999999","9","W07000105","W08000001","W16000004","K01000013","W11000028","W06000022","00PRNM","W00008681","00PRNM","W31000001","W01001673","W02000355","5","4B2","W00008681","W01001673","W02000355","W35002421","W11000028","W45001164","C1","6A3",51.594265,-3.048022,"W99999999","","W15000002",1816,"W99999999","W99999999","W00008681","W01001673","W02000355","UN1"
"NP1 0AD","NP1  0AD","NP1 0AD","198106","199906","W99999999","W99999999","W06000022","W05001641","W04001049","0","327100","0189000","8","W11000028","W99999999","W92000004","W99999999","9","W07000105","W08000001","W16000004","K01000013","W11000028","W06000022","00PRNM","W00008654","00PRNM","W31000001","W01001669","W02000355","5","4B4","W00008654","W01001669","W02000355","W35002421","W11000028","W45001164","C1","6A3",51.595112,-3.053817,"W99999999","","W15000002",1890,"W99999999","W99999999","W00008654","W01001669","W02000355","UN1"
"NP1 0AE","NP1  0AE","NP1 0AE","198001","199906","W99999999","W99999999","W06000022","W05001641","W04001049","0","327200","0188800","8","W11000028","W99999999","W92000004","W99999999","9","W07000105","W08000001","W16000004","K01000013","W11000028","W06000022","00PRNM","W00008659","00PRNM","W31000001","W01001673","W02000355","5","6D2","W00008659","W01001673","W02000355","W35002422","W11000028","W45001164","C1","6B2",51.593327,-3.052332,"W99999999","","W15000002",1816,"W99999999","W99999999","W00008659","W01001673","W02000355","UN1"
"NP1 0AF","NP1  0AF","NP1 0AF","198106","199906","W99999999","W99999999","W06000022","W05001641","W04001049","0","327000","0189100","8","W11000028","W99999999","W92000004","W99999999","9","W07000105","W08000001","W16000004","K01000013","W11000028","W06000022","00PRNM","W00008678","00PRNM","W31000001","W01001670","W02000355","5","4B3","W00008678","W01001670","W02000355","W35002420","W11000028","W45001164","C1","6A2",51.595998,-3.055281,"W99999999","","W15000002",1789,"W99999999","W99999999","W00008678","W01001670","W02000355","UN1"
"NP1 0AG","NP1  0AG","NP1 0AG","198001","199906","W99999999","W99999999","W06000022","W05001641","W04001049","0","327200","0188800","8","W11000028","W99999999","W92000004","W99999999","9","W07000105","W08000001","W16000004","K01000013","W11000028","W06000022","00PRNM","W00008659","00PRNM","W31000001","W01001673","W02000355","5","6D2","W00008659","W01001673","W02000355","W35002422","W11000028","W45001164","C1","6B2",51.593327,-3.052332,"W99999999","","W15000002",1816,"W99999999","W99999999","W00008659","W01001673","W02000355","UN1"
"NP1 0AH","NP1  0AH","NP1 0AH","198001","199906","W99999999","W99999999","W06000022","W05001641","W04001049","0","327100","0188900","8","W11000028","W99999999","W92000004","W99999999","9","W07000105","W08000001","W16000004","K01000013","W11000028","W06000022","00PRNM","W00008659","00PRNM","W31000001","W01001673","W02000355","5","6D2","W00008659","W01001673","W02000355","W35002422","W11000028","W45001164","C1","6B2",51.594213,-3.053796,"W99999999","","W15000002",1816,"W99999999","W99999999","W00008659","W01001673","W02000355","UN1"
"NP1 0AJ","NP1  0AJ","NP1 0AJ","198001","199906","W99999999","W99999999","W06000022","W05001641","W04001049","0","327000","0189100","8","W11000028","W99999999","W92000004","W99999999","9","W07000105","W08000001","W16000004","K01000013","W11000028","W06000022","00PRNM","W00008678","00PRNM","W31000001","W01001670","W02000355","5","4B3","W00008678","W01001670","W02000355","W35002420","W11000028","W45001164","C1","6A2",51.595998,-3.055281,"W99999999","","W15000002",1789,"W99999999","W99999999","W00008678","W01001670","W02000355","UN1"
"NP1 0AL","NP1  0AL","NP1 0AL","198106","199906","W99999999","W99999999","W06000022","W05001641","W04001049","0","327000","0189100","8","W11000028","W99999999","W92000004","W99999999","9","W07000105","W08000001","W16000004","K01000013","W11000028","W06000022","00PRNM","W00008678","00PRNM","W31000001","W01001670","W02000355","5","4B3","W00008678","W01001670","W02000355","W35002420","W11000028","W45001164","C1","6A2",51.595998,-3.055281,"W99999999","","W15000002",1789,"W99999999","W99999999","W00008678","W01001670","W02000355","UN1"
"NP1 0AN","NP1  0AN","NP1 0AN","198001","199906","W99999999","W99999999","W06000022","W05001641","W04001049","0","327100","0188800","8","W11000028","W99999999","W92000004","W99999999","9","W07000105","W08000001","W16000004","K01000013","W11000028","W06000022","00PRNM","W00008659","00PRNM","W31000001","W01001673","W02000355","5","6D2","W00008659","W01001673","W02000355","W35002422","W11000028","W45001164","C1","6B2",51.593314,-3.053775,"W99999999","","W15000002",1816,"W99999999","W99999999","W00008659","W01001673","W02000355","UN1"
"NP1 0AP","NP1  0AP","NP1 0AP","198001","199906","W99999999","W99999999","W06000022","W05001641","W04001049","0","327300","0188800","8","W11000028","W99999999","W92000004","W99999999","9","W07000105","W08000001","W16000004","K01000013","W11000028","W06000022","00PRNM","W00008654","00PRNM","W31000001","W01001669","W02000355","5","4B4","W00008654","W01001669","W02000355","W35002421","W11000028","W45001164","C1","6A3",51.593340,-3.050888,"W99999999","","W15000002",1890,"W99999999","W99999999","W00008654","W01001669","W02000355","UN1"
"NP1 0AQ","NP1  0AQ","NP1 0AQ","198001","199906","W99999999","W99999999","W06000022","W05001641","W04001049","0","327100","0188900","8","W11000028","W99999999","W92000004","W99999999","9","W07000105","W08000001","W16000004","K01000013","W11000028","W06000022","00PRNM","W00008659","00PRNM","W31000001","W01001673","W02000355","5","6D2","W00008659","W01001673","W02000355","W35002422","W11000028","W45001164","C1","6B2",51.594213,-3.053796,"W99999999","","W15000002",1816,"W99999999","W99999999","W00008659","W01001673","W02000355","UN1"
"NP1 0AR","NP1  0AR","NP1 0AR","198001","199906","W99999999","W99999999","W06000022","W05001641","W04001049","0","327200","0188800","8","W11000028","W99999999","W92000004","W99999999","9","W07000105","W08000001","W16000004","K01000013","W11000028","W06000022","00PRNM","W00008659","00PRNM","W31000001","W01001673","W02000355","5","6D2","W00008659","W01001673","W02000355","W35002422","W11000028","W45001164","C1","6B2",51.593327,-3.052332,"W99999999","","W15000002",1816,"W99999999","W99999999","W00008659","W01001673","W02000355","UN1"
"NP1 0AS","NP1  0AS","NP1 0AS","198001","199906","W99999999","W99999999","W06000022","W05001641","W04001049","0","327200","0188900","8","W11000028","W99999999","W92000004","W99999999","9","W07000105","W08000001","W16000004","K01000013","W11000028","W06000022","00PRNM","W00008659","00PRNM","W31000001","W01001673","W02000355","5","6D2","W00008659","W01001673","W02000355","W35002422","W11000028","W45001164","C1","6B2",51.594226,-3.052352,"W99999999","","W15000002",1816,"W99999999","W99999999","W00008659","W01001673","W02000355","UN1"
"NP1 0AT","NP1  0AT","NP1 0AT","198001","199906","W99999999","W99999999","W06000022","W05001641","W04001049","0","327100","0189000","8","W11000028","W99999999","W92000004","W99999999","9","W07000105","W08000001","W16000004","K01000013","W11000028","W06000022","00PRNM","W00008654","00PRNM","W31000001","W01001669","W02000355","5","4B4","W00008654","W01001669","W02000355","W35002421","W11000028","W45001164","C1","6A3",51.595112,-3.053817,"W99999999","","W15000002",1890,"W99999999","W99999999","W00008654","W01001669","W02000355","UN1"
"NP1 0AU","NP1  0AU","NP1 0AU","198106","199906","W99999999","W99999999","W06000022","W05001641","W04001049","0","327100","0189200","8","W11000028","W99999999","W92000004","W99999999","9","W07000105","W08000001","W16000004","K01000013","W11000028","W06000022","00PRNM","W00008654","00PRNM","W31000001","W01001669","W02000355","5","4B4","W00008654","W01001669","W02000355","W35002421","W11000028","W45001164","C1","6A3",51.596910,-3.053858,"W99999999","","W15000002",1890,"W99999999","W99999999","W00008654","W01001669","W02000355","UN1"
"NP1 0AW","NP1  0AW","NP1 0AW","198106","199906","W99999999","W99999999","W06000022","W05001641","W04001049","0","327400","0188800","8","W11000028","W99999999","W92000004","W99999999","9","W07000105","W08000001","W16000004","K01000013","W11000028","W06000022","00PRNM","W00008663","00PRNM","W31000001","W01001673","W02000355","5","6B2","W00008663","W01001673","W02000355","W35002421","W11000028","W45001164","C1","5B3",51.593353,-3.049445,"W99999999","","W15000002",1816,"W99999999","W99999999","W00008663","W01001673","W02000355","UN1"
"NP1 0AX","NP1  0AX","NP1 0AX","198001","199906","W99999999","W99999999","W06000022","W05001641","W04001049","0","327300","0188900","8","W11000028","W99999999","W92000004","W99999999","9","W07000105","W08000001","W16000004","K01000013","W11000028","W06000022","00PRNM","W00008681","00PRNM","W31000001","W01001673","W02000355","5","4B2","W00008681","W01001673","W02000355","W35002421","W11000028","W45001164","C1","6A3",51.594239,-3.050909,"W99999999","","W15000002",1816,"W99999999","W99999999","W00008681","W01001673","W02000355","UN1"
"NP1 0AY","NP1  0AY","NP1 0AY","198001","199906","W99999999","W99999999","W06000022","W05001641","W04001049","0","327300","0189000","8","W11000028","W99999999","W92000004","W99999999","9","W07000105","W08000001","W16000004","K01000013","W11000028","W06000022","00PRNM","W00008681","00PRNM","W31000001","W01001673","W02000355","5","4B2","W00008681","W01001673","W02000355","W35002421","W11000028","W45001164","C1","6A3",51.595138,-3.050930,"W99999999","","W15000002",1816,"W99999999","W99999999","W00008681","W01001673","W02000355","UN1"
