pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"NW1 0AA","NW1  0AA","NW1 0AA","198001","","E99999999","E99999999","E09000007","E05013668","E43000197","0","529135","0183622","1","E18000007","E40000003","E92000001","E12000007","5","E14001290","E15000007","E24000014","E30000234","E16000047","E09000007","00AGGT","E00004704","00AGGT","E65000001","E01000947","E02000186","5","7B1","E00004704","E01000947","E02000186","E33029521","E38000240","E63011985","A1","3B3",51.536741,-0.139458,"E37000051","","E23000001",10959,"E56000027","E54000028","E00004704","E01000947","E02000186","UN1"
"NW1 0AB","NW1  0AB","NW1 0AB","198001","","E99999999","E99999999","E09000007","E05013668","E43000197","0","529085","0183689","1","E18000007","E40000003","E92000001","E12000007","5","E14001290","E15000007","E24000014","E30000234","E16000047","E09000007","00AGGT","E00004704","00AGGT","E65000001","E01000947","E02000186","5","7B1","E00004704","E01000947","E02000186","E33029521","E38000240","E63011985","A1","3B3",51.537354,-0.140154,"E37000051","","E23000001",10959,"E56000027","E54000028","E00004704","E01000947","E02000186","UN1"
"NW1 0AD","NW1  0AD","NW1 0AD","198001","","E99999999","E99999999","E09000007","E05013668","E43000197","0","529074","0183650","1","E18000007","E40000003","E92000001","E12000007","5","E14001290","E15000007","E24000014","E30000234","E16000047","E09000007","00AGGT","E00004704","00AGGT","E65000001","E01000947","E02000186","5","7B1","E00004704","E01000947","E02000186","E33029521","E38000240","E63011985","A1","3B3",51.537006,-0.140327,"E37000051","","E23000001",10959,"E56000027","E54000028","E00004704","E01000947","E02000186","UN1"
"NW1 0AE","NW1  0AE","NW1 0AE","198001","","E99999999","E99999999","E09000007","E05013655","E43000197","0","529063","0183708","1","E18000007","E40000003","E92000001","E12000007","5","E14001290","E15000007","E24000014","E30000234","E16000047","E09000007","00AGGF","E00004240","00AGGF","E65000001","E01000861","E02000184","5","7B1","E00004240","E01000861","E02000184","E33029323","E38000240","E63011985","A1","3D3",51.537530,-0.140464,"E37000051","","E23000001",6470,"E56000027","E54000028","E00004240","E01000861","E02000184","UN1"
"NW1 0AF","NW1  0AF","NW1 0AF","199208","200603","E99999999","E99999999","E09000007","E05013668","E43000197","1","529433","0182967","1","E18000007","E40000003","E92000001","E12000007","5","E14001290","E15000007","E24000014","E30000234","E16000047","E09000007","00AGGT","E00004694","00AGGT","E65000001","E01000945","E02000188","5","7B2","E00004694","E01000945","E02000188","E33029506","E38000240","E63011985","A1","3B2",51.530786,-0.135405,"E37000051","","E23000001",8263,"E56000027","E54000028","E00004694","E01035710","E02000188","UN1"
"NW1 0AG","NW1  0AG","NW1 0AG","198001","","E99999999","E99999999","E09000007","E05013655","E43000197","0","529058","0183735","1","E18000007","E40000003","E92000001","E12000007","5","E14001290","E15000007","E24000014","E30000234","E16000047","E09000007","00AGGF","E00004240","00AGGF","E65000001","E01000861","E02000184","5","7B1","E00004240","E01000861","E02000184","E33033039","E38000240","E63011985","A1","3D3",51.537774,-0.140526,"E37000051","","E23000001",6470,"E56000027","E54000028","E00004240","E01000861","E02000184","UN1"
"NW1 0AH","NW1  0AH","NW1 0AH","199308","199412","E99999999","E99999999","E09000007","E05013655","E43000197","1","529000","0183800","8","E18000007","E40000003","E92000001","E12000007","5","E14001290","E15000007","E24000014","E30000234","E16000047","E09000007","00AGGF","E00004240","00AGGF","E65000001","E01000861","E02000184","5","7B1","E00004240","E01000861","E02000184","E33033039","E38000240","E63011985","A1","3D3",51.538371,-0.141338,"E37000051","","E23000001",6470,"E56000027","E54000028","E00004240","E01000861","E02000184","UN1"
"NW1 0AJ","NW1  0AJ","NW1 0AJ","199007","199507","E99999999","E99999999","E09000007","E05013655","E43000197","1","528900","0183800","8","E18000007","E40000003","E92000001","E12000007","5","E14001290","E15000007","E24000014","E30000234","E16000047","E09000007","00AGGF","E00004225","00AGGF","E65000001","E01000863","E02000186","5","2A2","E00004225","E01000863","E02000186","E33029316","E38000240","E63011985","A1","2B2",51.538394,-0.142779,"E37000051","","E23000001",6114,"E56000027","E54000028","E00004225","E01000863","E02000186","UN1"
"NW1 0AL","NW1  0AL","NW1 0AL","199405","199501","E99999999","E99999999","E09000007","E05013655","E43000197","1","528900","0183800","8","E18000007","E40000003","E92000001","E12000007","5","E14001290","E15000007","E24000014","E30000234","E16000047","E09000007","00AGGF","E00004225","00AGGF","E65000001","E01000863","E02000186","5","2A2","E00004225","E01000863","E02000186","E33029316","E38000240","E63011985","A1","2B2",51.538394,-0.142779,"E37000051","","E23000001",6114,"E56000027","E54000028","E00004225","E01000863","E02000186","UN1"
"NW1 0AN","NW1  0AN","NW1 0AN","198001","199507","E99999999","E99999999","E09000007","E05013655","E43000197","0","528900","0183800","8","E18000007","E40000003","E92000001","E12000007","5","E14001290","E15000007","E24000014","E30000234","E16000047","E09000007","00AGGF","E00004225","00AGGF","E65000001","E01000863","E02000186","5","2A2","E00004225","E01000863","E02000186","E33029316","E38000240","E63011985","A1","2B2",51.538394,-0.142779,"E37000051","","E23000001",6114,"E56000027","E54000028","E00004225","E01000863","E02000186","UN1"
"NW1 0AP","NW1  0AP","NW1 0AP","198001","","E99999999","E99999999","E09000007","E05013655","E43000197","0","528975","0183837","1","E18000007","E40000003","E92000001","E12000007","5","E14001290","E15000007","E24000014","E30000234","E16000047","E09000007","00AGGF","E00004225","00AGGF","E65000001","E01000863","E02000186","5","2A2","E00004225","E01000863","E02000186","E33029316","E38000240","E63011985","A1","2B2",51.538710,-0.141685,"E37000051","","E23000001",6114,"E56000027","E54000028","E00004225","E01000863","E02000186","UN1"
"NW1 0AQ","NW1  0AQ","NW1 0AQ","199507","199512","E99999999","E99999999","E09000007","E05013655","E43000197","1","529000","0183700","8","E18000007","E40000003","E92000001","E12000007","5","E14001290","E15000007","E24000014","E30000234","E16000047","E09000007","00AGGF","E00004240","00AGGF","E65000001","E01000861","E02000184","5","7B1","E00004240","E01000861","E02000184","E33029323","E38000240","E63011985","A1","3D3",51.537473,-0.141375,"E37000051","","E23000001",6470,"E56000027","E54000028","E00004240","E01000861","E02000184","UN1"
"NW1 0AR","NW1  0AR","NW1 0AR","199308","200903","E99999999","E99999999","E09000007","E05013668","E43000197","1","529433","0182967","1","E18000007","E40000003","E92000001","E12000007","5","E14001290","E15000007","E24000014","E30000234","E16000047","E09000007","00AGGT","E00004694","00AGGT","E65000001","E01000945","E02000188","5","7B2","E00004694","E01000945","E02000188","E33029506","E38000240","E63011985","A1","3B2",51.530786,-0.135405,"E37000051","","E23000001",8263,"E56000027","E54000028","E00004694","E01035710","E02000188","UN1"
