pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"OL1 1AA","OL1  1AA","OL1 1AA","199002","","E99999999","E99999999","E08000004","E05014663","E43000158","0","393482","0404988","1","E18000002","E40000014","E92000001","E12000002","8","E14001415","E15000002","E24000024","E30000239","E16000039","E08000004","00BPGP","E00027490","00BPFR","E65000001","E01005427","E02001119","5","7A1","E00027490","E01005427","E02001119","E33002532","E38000135","E63008292","A1","4B2",53.541510,-2.099824,"E37000015","","E23000005",1346,"E56000032","E54000057","E00027490","E01005427","E02001119","UN1"
"OL1 1AB","OL1  1AB","OL1 1AB","200006","200101","E99999999","E99999999","E08000004","E05014650","E43000158","1","392638","0405026","6","E18000002","E40000014","E92000001","E12000002","8","E14001416","E15000002","E24000024","E30000239","E16000039","E08000004","00BPGB","E00027522","00BPFS","E65000001","E01005434","E02001121","5","5A1","E00027522","E01005434","E02001121","E33002543","E38000135","E63008292","A1","3C1",53.541840,-2.112561,"E37000015","","E23000005",556,"E56000032","E54000057","E00027522","E01005434","E02001121","UN1"
"OL1 1AD","OL1  1AD","OL1 1AD","199208","","E99999999","E99999999","E08000004","E05014650","E43000158","1","392764","0404929","1","E18000002","E40000014","E92000001","E12000002","8","E14001416","E15000002","E24000024","E30000239","E16000039","E08000004","00BPGB","E00027524","00BPFS","E65000001","E01005434","E02001121","5","7A1","E00027524","E01005434","E02001121","E33005230","E38000135","E63008292","A1","4B2",53.540970,-2.110657,"E37000015","","E23000005",556,"E56000032","E54000057","E00027524","E01005434","E02001121","UN1"
"OL1 1AE","OL1  1AE","OL1 1AE","199501","201710","E99999999","E99999999","E08000004","E05014663","E43000158","1","393482","0404988","1","E18000002","E40000014","E92000001","E12000002","8","E14001415","E15000002","E24000024","E30000239","E16000039","E08000004","00BPGP","E00027490","00BPFR","E65000001","E01005427","E02001119","5","7A1","E00027490","E01005427","E02001119","E33002532","E38000135","E63008292","A1","4B2",53.541510,-2.099824,"E37000015","","E23000005",1346,"E56000032","E54000057","E00027490","E01005427","E02001119","UN1"
"OL1 1AF","OL1  1AF","OL1 1AF","198410","200108","E99999999","E99999999","E08000004","E05014663","E43000158","1","393601","0404868","1","E18000002","E40000014","E92000001","E12000002","8","E14001415","E15000002","E24000024","E30000239","E16000039","E08000004","00BPGP","E00027492","00BPFR","E65000001","E01005427","E02001119","5","7A1","E00027492","E01005427","E02001119","E33005225","E38000135","E63008292","A1","4B2",53.540433,-2.098026,"E37000015","","E23000005",1346,"E56000032","E54000057","E00181800","E01005427","E02001119","UN1"
"OL1 1AG","OL1  1AG","OL1 1AG","199301","201812","E99999999","E99999999","E08000004","E05014663","E43000158","1","393482","0404988","1","E18000002","E40000014","E92000001","E12000002","8","E14001415","E15000002","E24000024","E30000239","E16000039","E08000004","00BPGP","E00027490","00BPFR","E65000001","E01005427","E02001119","5","7A1","E00027490","E01005427","E02001119","E33002532","E38000135","E63008292","A1","4B2",53.541510,-2.099824,"E37000015","","E23000005",1346,"E56000032","E54000057","E00027490","E01005427","E02001119","UN1"
"OL1 1AH","OL1  1AH","OL1 1AH","199301","199412","E99999999","E99999999","E08000004","E05014663","E43000158","0","393500","0405000","8","E18000002","E40000014","E92000001","E12000002","8","E14001415","E15000002","E24000024","E30000239","E16000039","E08000004","00BPGP","E00027490","00BPFR","E65000001","E01005427","E02001119","5","7A1","E00027490","E01005427","E02001119","E33002532","E38000135","E63008292","A1","4B2",53.541618,-2.099553,"E37000015","","E23000005",1346,"E56000032","E54000057","E00027490","E01005427","E02001119","UN1"
"OL1 1AJ","OL1  1AJ","OL1 1AJ","199002","199906","E99999999","E99999999","E08000004","E05014650","E43000158","1","392629","0405024","6","E18000002","E40000014","E92000001","E12000002","8","E14001416","E15000002","E24000024","E30000239","E16000039","E08000004","00BPGB","E00027522","00BPFS","E65000001","E01005434","E02001121","5","5A1","E00027522","E01005434","E02001121","E33002543","E38000135","E63008292","A1","3C1",53.541822,-2.112697,"E37000015","","E23000005",556,"E56000032","E54000057","E00027522","E01005434","E02001121","UN1"
"OL1 1AL","OL1  1AL","OL1 1AL","200503","","E99999999","E99999999","E08000004","E05014650","E43000158","0","392857","0404841","1","E18000002","E40000014","E92000001","E12000002","8","E14001416","E15000002","E24000024","E30000239","E16000039","E08000004","00BPGB","E00027524","00BPFS","E65000001","E01005434","E02001121","5","7A1","E00027524","E01005434","E02001121","E33005230","E38000135","E63008292","A1","4B2",53.540180,-2.109252,"E37000015","","E23000005",556,"E56000032","E54000057","E00027524","E01005434","E02001121","UN1"
"OL1 1AN","OL1  1AN","OL1 1AN","200304","","E99999999","E99999999","E08000004","E05014650","E43000158","0","392560","0404725","1","E18000002","E40000014","E92000001","E12000002","8","E14001416","E15000002","E24000024","E30000239","E16000039","E08000004","00BPGB","E00027522","00BPFS","E65000001","E01005434","E02001121","5","5A1","E00027522","E01005434","E02001121","E33002540","E38000135","E63008292","A1","3C1",53.539134,-2.113731,"E37000015","","E23000005",556,"E56000032","E54000057","E00027522","E01005434","E02001121","UN1"
