pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"RH1 1AA","RH1  1AA","RH1 1AA","199002","","E10000030","E58001516","E07000211","E05012882","E43000140","1","528212","0150643","1","E18000008","E40000005","E92000001","E12000008","5","E14001442","E15000008","E24000029","E30000196","E16000107","E07000211","43UFGG","E00156117","43UFGG","E65000001","E01030612","E02006385","5","2A1","E00156117","E01030612","E02006385","E33038958","E38000264","E63012708","C1","2D1",51.240565,-0.164656,"E37000044","","E23000031",24689,"E56000012","E54000063","E00190487","E01035358","E02006385","UN1"
"RH1 1AB","RH1  1AB","RH1 1AB","198001","201303","E10000030","E58001517","E07000211","E05012883","E43000140","1","527872","0150506","1","E18000008","E40000005","E92000001","E12000008","5","E14001442","E15000008","E24000029","E30000196","E16000107","E07000211","43UFGH","E00156147","43UFGH","E65000001","E01030615","E02006384","5","7B1","E00156147","E01030615","E02006384","E33038969","E38000264","E63012708","C1","3A2",51.239410,-0.169573,"E37000044","","E23000031",12706,"E56000012","E54000063","E00190508","E01030615","E02006384","UN1"
"RH1 1AD","RH1  1AD","RH1 1AD","199201","","E10000030","E58001516","E07000211","E05012882","E43000140","0","528367","0150863","1","E18000008","E40000005","E92000001","E12000008","5","E14001442","E15000008","E24000029","E30000196","E16000107","E07000211","43UFGG","E00156108","43UFGG","E65000001","E01030612","E02006385","5","2A1","E00156108","E01030612","E02006385","E33044383","E38000264","E63012708","C1","2D1",51.242508,-0.162358,"E37000044","","E23000031",24689,"E56000012","E54000063","E00156108","E01035358","E02006385","UN1"
"RH1 1AE","RH1  1AE","RH1 1AE","199201","","E10000030","E58001516","E07000211","E05012882","E43000140","0","528389","0150815","1","E18000008","E40000005","E92000001","E12000008","5","E14001442","E15000008","E24000029","E30000196","E16000107","E07000211","43UFGG","E00156117","43UFGG","E65000001","E01030612","E02006385","5","2A1","E00156117","E01030612","E02006385","E33038958","E38000264","E63012708","C1","2D1",51.242071,-0.162060,"E37000044","","E23000031",24689,"E56000012","E54000063","E00190487","E01035358","E02006385","UN1"
"RH1 1AF","RH1  1AF","RH1 1AF","199201","","E10000030","E58001516","E07000211","E05012882","E43000140","0","528537","0151096","1","E18000008","E40000005","E92000001","E12000008","5","E14001442","E15000008","E24000029","E30000196","E16000107","E07000211","43UFGG","E00156109","43UFGG","E65000001","E01030612","E02006385","5","6D1","E00170407","E01030612","E02006385","E33044384","E38000264","E63012708","C1","5A3",51.244564,-0.159841,"E37000044","","E23000031",24689,"E56000012","E54000063","E00170407","E01035357","E02006385","UN1"
"RH1 1AG","RH1  1AG","RH1 1AG","199201","","E10000030","E58001516","E07000211","E05012882","E43000140","0","528506","0151050","1","E18000008","E40000005","E92000001","E12000008","5","E14001442","E15000008","E24000029","E30000196","E16000107","E07000211","43UFGG","E00156109","43UFGG","E65000001","E01030612","E02006385","5","6D1","E00170407","E01030612","E02006385","E33044384","E38000264","E63012708","C1","5A3",51.244157,-0.160301,"E37000044","","E23000031",24689,"E56000012","E54000063","E00170407","E01035357","E02006385","UN1"
"RH1 1AH","RH1  1AH","RH1 1AH","199201","","E10000030","E58001516","E07000211","E05012882","E43000140","0","528541","0151027","1","E18000008","E40000005","E92000001","E12000008","5","E14001442","E15000008","E24000029","E30000196","E16000107","E07000211","43UFGG","E00156109","43UFGG","E65000001","E01030612","E02006385","5","6D1","E00170407","E01030612","E02006385","E33044384","E38000264","E63012708","C1","5A3",51.243943,-0.159808,"E37000044","","E23000031",24689,"E56000012","E54000063","E00170407","E01035357","E02006385","UN1"
"RH1 1AJ","RH1  1AJ","RH1 1AJ","199201","","E10000030","E58001516","E07000211","E05012882","E43000140","0","528573","0150979","1","E18000008","E40000005","E92000001","E12000008","5","E14001442","E15000008","E24000029","E30000196","E16000107","E07000211","43UFGG","E00156133","43UFGG","E65000001","E01030612","E02006385","5","2B2","E00156133","E01030612","E02006385","E33044384","E38000264","E63012708","C1","2D1",51.243504,-0.159367,"E37000044","","E23000031",24689,"E56000012","E54000063","E00156133","E01035357","E02006385","UN1"
"RH1 1AL","RH1  1AL","RH1 1AL","199201","","E10000030","E58001516","E07000211","E05012882","E43000140","0","528685","0151009","1","E18000008","E40000005","E92000001","E12000008","5","E14001442","E15000008","E24000029","E30000196","E16000107","E07000211","43UFGG","E00156133","43UFGG","E65000001","E01030612","E02006385","5","2B2","E00156133","E01030612","E02006385","E33044384","E38000264","E63012708","C1","2D1",51.243748,-0.157753,"E37000044","","E23000031",24689,"E56000012","E54000063","E00156133","E01035357","E02006385","UN1"
"RH1 1AN","RH1  1AN","RH1 1AN","199208","","E10000030","E58001516","E07000211","E05012882","E43000140","0","528372","0150779","1","E18000008","E40000005","E92000001","E12000008","5","E14001442","E15000008","E24000029","E30000196","E16000107","E07000211","43UFGG","E00156117","43UFGG","E65000001","E01030612","E02006385","5","2A1","E00156117","E01030612","E02006385","E33038958","E38000264","E63012708","C1","2D1",51.241752,-0.162317,"E37000044","","E23000031",24689,"E56000012","E54000063","E00190487","E01035358","E02006385","UN1"
