pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"RM1 1AA","RM1  1AA","RM1 1AA","200209","","E99999999","E99999999","E09000016","E05013983","E43000206","1","551035","0188774","5","E18000007","E40000003","E92000001","E12000007","5","E14001448","E15000007","E24000015","E30000234","E16000002","E09000016","00ARGR","E00011752","00ARGR","E65000001","E01002356","E02000476","5","7B2","E00166785","E01002356","E02000476","E33034308","E38000255","E63011923","A1","3C1",51.577602,0.178288,"E37000051","","E23000001",6369,"E56000028","E54000029","E00176916","E01002356","E02000476","UN1"
"RM1 1AB","RM1  1AB","RM1 1AB","199208","200805","E99999999","E99999999","E09000016","E05013983","E43000206","1","551035","0188774","1","E18000007","E40000003","E92000001","E12000007","5","E14001448","E15000007","E24000015","E30000234","E16000002","E09000016","00ARGR","E00011752","00ARGR","E65000001","E01002356","E02000476","5","7B2","E00166785","E01002356","E02000476","E33034308","E38000255","E63011923","A1","3C1",51.577602,0.178288,"E37000051","","E23000001",6369,"E56000028","E54000029","E00176916","E01002356","E02000476","UN1"
"RM1 1AD","RM1  1AD","RM1 1AD","199101","199806","E99999999","E99999999","E09000016","E05013983","E43000206","1","551043","0188965","3","E18000007","E40000003","E92000001","E12000007","5","E14001448","E15000007","E24000015","E30000234","E16000002","E09000016","00ARGR","E00011738","00ARGR","E65000001","E01002353","E02000476","5","5A1","E00166776","E01002353","E02000476","E33031626","E38000255","E63011923","A1","3D1",51.579316,0.178485,"E37000051","","E23000001",18644,"E56000028","E54000029","E00166776","E01002353","E02000476","UN1"
"RM1 1AE","RM1  1AE","RM1 1AE","199806","200809","E99999999","E99999999","E09000016","E05013980","E43000206","1","550531","0187941","1","E18000007","E40000003","E92000001","E12000007","5","E14001448","E15000007","E24000015","E30000234","E16000002","E09000016","00ARGC","E00011236","00ARGC","E65000001","E01002249","E02000480","5","6D1","E00166784","E01002249","E02000480","E33031628","E38000255","E63011923","A1","3A2",51.570252,0.170664,"E37000051","","E23000001",13869,"E56000028","E54000029","E00176971","E01033787","E02000480","UN1"
"RM1 1AF","RM1  1AF","RM1 1AF","201404","","E99999999","E99999999","E09000016","E05013983","E43000206","0","550971","0188797","1","E18000007","E40000003","E92000001","E12000007","5","E14001448","E15000007","E24000015","E30000234","E16000002","E09000016","00ARGR","E00011752","00ARGR","E65000001","E01002356","E02000476","5","7B2","E00166785","E01002356","E02000476","E33034308","E38000255","E63011923","A1","3C1",51.577826,0.177375,"E37000051","","E23000001",6369,"E56000028","E54000029","E00176916","E01002356","E02000476","UN1"
"RM1 1AG","RM1  1AG","RM1 1AG","199308","199712","E99999999","E99999999","E09000016","E05013983","E43000206","1","551188","0188738","6","E18000007","E40000003","E92000001","E12000007","5","E14001448","E15000007","E24000015","E30000234","E16000002","E09000016","00ARGR","E00011742","00ARGR","E65000001","E01002357","E02000476","5","2B1","E00166787","E01032741","E02000476","E33031633","E38000255","E63011923","A1","2C2",51.577238,0.180479,"E37000051","","E23000001",15465,"E56000028","E54000029","E00176984","E01032741","E02000476","UN1"
"RM1 1AH","RM1  1AH","RM1 1AH","200006","","E99999999","E99999999","E09000016","E05013983","E43000206","0","550985","0188716","1","E18000007","E40000003","E92000001","E12000007","5","E14001448","E15000007","E24000015","E30000234","E16000002","E09000016","00ARGR","E00011752","00ARGR","E65000001","E01002356","E02000476","5","7B2","E00166785","E01002356","E02000476","E33034308","E38000255","E63011923","A1","3C1",51.577094,0.177542,"E37000051","","E23000001",6369,"E56000028","E54000029","E00176916","E01002356","E02000476","UN1"
"RM1 1AJ","RM1  1AJ","RM1 1AJ","200206","","E99999999","E99999999","E09000016","E05013981","E43000206","0","551401","0188279","1","E18000007","E40000003","E92000001","E12000007","5","E14001448","E15000007","E24000015","E30000234","E16000002","E09000016","00ARGR","E00011763","00ARGR","E65000001","E01002356","E02000476","5","7B1","E00011763","E01002356","E02000476","E33029923","E38000255","E63011923","A1","3C1",51.573056,0.183353,"E37000051","","E23000001",6369,"E56000028","E54000029","E00176965","E01002356","E02000476","UN1"
"RM1 1AL","RM1  1AL","RM1 1AL","200112","","E99999999","E99999999","E09000016","E05013981","E43000206","0","551364","0188235","1","E18000007","E40000003","E92000001","E12000007","5","E14001448","E15000007","E24000015","E30000234","E16000002","E09000016","00ARGR","E00011763","00ARGR","E65000001","E01002356","E02000476","5","7B1","E00011763","E01002356","E02000476","E33029923","E38000255","E63011923","A1","3C1",51.572671,0.182800,"E37000051","","E23000001",6369,"E56000028","E54000029","E00176965","E01002356","E02000476","UN1"
"RM1 1AN","RM1  1AN","RM1 1AN","200106","","E99999999","E99999999","E09000016","E05013983","E43000206","0","551083","0188774","1","E18000007","E40000003","E92000001","E12000007","5","E14001448","E15000007","E24000015","E30000234","E16000002","E09000016","00ARGR","E00011752","00ARGR","E65000001","E01002356","E02000476","5","7B2","E00166786","E01002356","E02000476","E33034308","E38000255","E63011923","A1","3B3",51.577589,0.178980,"E37000051","","E23000001",6369,"E56000028","E54000029","E00166786","E01002356","E02000476","UN1"
