pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"SA1 1AA","SA1  1AA","SA1 1AA","199002","","W99999999","W99999999","W06000011","W05001052","W04000969","1","267010","0196107","1","W11000031","W99999999","W92000004","W99999999","9","W07000103","W08000001","W16000002","W22000032","W11000031","W06000011","00NXNX","W00003974","00NXNX","W31000001","W01000741","W02000181","5","1C3","W00003974","W01000741","W02000181","W35000290","W11000031","W45001113","C1","8A1",51.647989,-3.923604,"W99999999","","W15000003",355,"W99999999","W99999999","W00010420","W01000741","W02000181","UN1"
"SA1 1AB","SA1  1AB","SA1 1AB","198001","199012","W99999999","W99999999","W06000011","W05001041","W04001033","1","265800","0192900","8","W11000031","W99999999","W92000004","W99999999","9","W07000108","W08000001","W16000002","W22000032","W11000031","W06000011","00NXNY","W00003990","00NXNY","W31000001","W01000748","W02000192","5","2A1","W00003990","W01001938","W02000192","W35000293","W11000031","W45001113","C1","2C2",51.618882,-3.939852,"W99999999","","W15000003",1105,"W99999999","W99999999","W00003990","W01001997","W02000192","UN1"
"SA1 1AD","SA1  1AD","SA1 1AD","202310","","W99999999","W99999999","W06000011","W05001041","W04001033","0","265745","0193703","1","W11000031","W99999999","W92000004","W99999999","9","W07000108","W08000001","W16000002","W22000032","W11000031","W06000011","00NXNY","W00003981","00NXNY","W31000001","W01000743","W02000192","5","2A2","W00003981","W01001955","W02000192","W35000292","W11000031","W45001113","C1","3C1",51.626085,-3.940954,"W99999999","","W15000003",36,"W99999999","W99999999","W00003981","W01001955","W02000192","UN1"
"SA1 1AE","SA1  1AE","SA1 1AE","199301","199507","W99999999","W99999999","W06000011","W05001041","W04001033","1","265800","0192900","8","W11000031","W99999999","W92000004","W99999999","9","W07000108","W08000001","W16000002","W22000032","W11000031","W06000011","00NXNY","W00003990","00NXNY","W31000001","W01000748","W02000192","5","2A1","W00003990","W01001938","W02000192","W35000293","W11000031","W45001113","C1","2C2",51.618882,-3.939852,"W99999999","","W15000003",1105,"W99999999","W99999999","W00003990","W01001997","W02000192","UN1"
"SA1 1AF","SA1  1AF","SA1 1AF","200206","","W99999999","W99999999","W06000011","W05001041","W04001033","1","265831","0192998","1","W11000031","W99999999","W92000004","W99999999","9","W07000108","W08000001","W16000002","W22000032","W11000031","W06000011","00NXNY","W00004024","00NXNY","W31000001","W01000743","W02000192","5","2A2","W00010090","W01001955","W02000192","W35000758","W11000031","W45001113","C1","2B1",51.619770,-3.939442,"W99999999","","W15000003",36,"W99999999","W99999999","W00010090","W01001955","W02000192","UN1"
"SA1 1AG","SA1  1AG","SA1 1AG","199002","200408","W99999999","W99999999","W06000011","W05001052","W04000969","1","266979","0196105","1","W11000031","W99999999","W92000004","W99999999","9","W07000103","W08000001","W16000002","W22000032","W11000031","W06000011","00NXNX","W00003974","00NXNX","W31000001","W01000741","W02000181","5","1C3","W00003974","W01000741","W02000181","W35000290","W11000031","W45001113","C1","8A1",51.647963,-3.924051,"W99999999","","W15000003",355,"W99999999","W99999999","W00010420","W01000741","W02000181","UN1"
"SA1 1AH","SA1  1AH","SA1 1AH","199002","201107","W99999999","W99999999","W06000011","W05001052","W04000969","1","266979","0196105","1","W11000031","W99999999","W92000004","W99999999","9","W07000103","W08000001","W16000002","W22000032","W11000031","W06000011","00NXNX","W00003974","00NXNX","W31000001","W01000741","W02000181","5","1C3","W00003974","W01000741","W02000181","W35000290","W11000031","W45001113","C1","8A1",51.647963,-3.924051,"W99999999","","W15000003",355,"W99999999","W99999999","W00010420","W01000741","W02000181","UN1"
"SA1 1AJ","SA1  1AJ","SA1 1AJ","199007","199405","W99999999","W99999999","W06000011","W05001041","W04001033","1","265800","0192900","8","W11000031","W99999999","W92000004","W99999999","9","W07000108","W08000001","W16000002","W22000032","W11000031","W06000011","00NXNY","W00003990","00NXNY","W31000001","W01000748","W02000192","5","2A1","W00003990","W01001938","W02000192","W35000293","W11000031","W45001113","C1","2C2",51.618882,-3.939852,"W99999999","","W15000003",1105,"W99999999","W99999999","W00003990","W01001997","W02000192","UN1"
"SA1 1AL","SA1  1AL","SA1 1AL","199007","199501","W99999999","W99999999","W06000011","W05001041","W04001033","1","265800","0192900","8","W11000031","W99999999","W92000004","W99999999","9","W07000108","W08000001","W16000002","W22000032","W11000031","W06000011","00NXNY","W00003990","00NXNY","W31000001","W01000748","W02000192","5","2A1","W00003990","W01001938","W02000192","W35000293","W11000031","W45001113","C1","2C2",51.618882,-3.939852,"W99999999","","W15000003",1105,"W99999999","W99999999","W00003990","W01001997","W02000192","UN1"
"SA1 1AN","SA1  1AN","SA1 1AN","199002","199405","W99999999","W99999999","W06000011","W05001041","W04001033","1","265800","0192900","8","W11000031","W99999999","W92000004","W99999999","9","W07000108","W08000001","W16000002","W22000032","W11000031","W06000011","00NXNY","W00003990","00NXNY","W31000001","W01000748","W02000192","5","2A1","W00003990","W01001938","W02000192","W35000293","W11000031","W45001113","C1","2C2",51.618882,-3.939852,"W99999999","","W15000003",1105,"W99999999","W99999999","W00003990","W01001997","W02000192","UN1"
"SA1 1AP","SA1  1AP","SA1 1AP","199301","199405","W99999999","W99999999","W06000011","W05001041","W04001033","1","265800","0192900","8","W11000031","W99999999","W92000004","W99999999","9","W07000108","W08000001","W16000002","W22000032","W11000031","W06000011","00NXNY","W00003990","00NXNY","W31000001","W01000748","W02000192","5","2A1","W00003990","W01001938","W02000192","W35000293","W11000031","W45001113","C1","2C2",51.618882,-3.939852,"W99999999","","W15000003",1105,"W99999999","W99999999","W00003990","W01001997","W02000192","UN1"
"SA1 1AQ","SA1  1AQ","SA1 1AQ","199002","199412","W99999999","W99999999","W06000011","W05001041","W04001033","1","265800","0192900","8","W11000031","W99999999","W92000004","W99999999","9","W07000108","W08000001","W16000002","W22000032","W11000031","W06000011","00NXNY","W00003990","00NXNY","W31000001","W01000748","W02000192","5","2A1","W00003990","W01001938","W02000192","W35000293","W11000031","W45001113","C1","2C2",51.618882,-3.939852,"W99999999","","W15000003",1105,"W99999999","W99999999","W00003990","W01001997","W02000192","UN1"
"SA1 1AR","SA1  1AR","SA1 1AR","199301","199507","W99999999","W99999999","W06000011","W05001041","W04001033","1","265800","0192900","8","W11000031","W99999999","W92000004","W99999999","9","W07000108","W08000001","W16000002","W22000032","W11000031","W06000011","00NXNY","W00003990","00NXNY","W31000001","W01000748","W02000192","5","2A1","W00003990","W01001938","W02000192","W35000293","W11000031","W45001113","C1","2C2",51.618882,-3.939852,"W99999999","","W15000003",1105,"W99999999","W99999999","W00003990","W01001997","W02000192","UN1"
"SA1 1AS","SA1  1AS","SA1 1AS","199002","199501","W99999999","W99999999","W06000011","W05001041","W04001033","1","265800","0192900","8","W11000031","W99999999","W92000004","W99999999","9","W07000108","W08000001","W16000002","W22000032","W11000031","W06000011","00NXNY","W00003990","00NXNY","W31000001","W01000748","W02000192","5","2A1","W00003990","W01001938","W02000192","W35000293","W11000031","W45001113","C1","2C2",51.618882,-3.939852,"W99999999","","W15000003",1105,"W99999999","W99999999","W00003990","W01001997","W02000192","UN1"
"SA1 1AT","SA1  1AT","SA1 1AT","199301","199405","W99999999","W99999999","W06000011","W05001041","W04001033","1","265800","0192900","8","W11000031","W99999999","W92000004","W99999999","9","W07000108","W08000001","W16000002","W22000032","W11000031","W06000011","00NXNY","W00003990","00NXNY","W31000001","W01000748","W02000192","5","2A1","W00003990","W01001938","W02000192","W35000293","W11000031","W45001113","C1","2C2",51.618882,-3.939852,"W99999999","","W15000003",1105,"W99999999","W99999999","W00003990","W01001997","W02000192","UN1"
"SA1 1AU","SA1  1AU","SA1 1AU","201803","","W99999999","W99999999","W06000011","W05001068","W04001036","0","266166","0192573","1","W11000031","W99999999","W92000004","W99999999","9","W07000108","W08000001","W16000002","W22000032","W11000031","W06000011","00NXNY","W00003994","00NXNY","W31000001","W01000743","W02000192","5","2A1","W00010097","W01001958","W02000192","W35001757","W11000031","W45001113","C1","2C2",51.616031,-3.934444,"W99999999","","W15000003",1034,"W99999999","W99999999","W00010097","W01001958","W02000192","UN1"
"SA1 1AW","SA1  1AW","SA1 1AW","199301","201309","W99999999","W99999999","W06000011","W05001052","W04000969","1","266979","0196105","1","W11000031","W99999999","W92000004","W99999999","9","W07000103","W08000001","W16000002","W22000032","W11000031","W06000011","00NXNX","W00003974","00NXNX","W31000001","W01000741","W02000181","5","1C3","W00003974","W01000741","W02000181","W35000290","W11000031","W45001113","C1","8A1",51.647963,-3.924051,"W99999999","","W15000003",355,"W99999999","W99999999","W00010420","W01000741","W02000181","UN1"
"SA1 1AX","SA1  1AX","SA1 1AX","199002","199405","W99999999","W99999999","W06000011","W05001041","W04001033","1","265800","0192900","8","W11000031","W99999999","W92000004","W99999999","9","W07000108","W08000001","W16000002","W22000032","W11000031","W06000011","00NXNY","W00003990","00NXNY","W31000001","W01000748","W02000192","5","2A1","W00003990","W01001938","W02000192","W35000293","W11000031","W45001113","C1","2C2",51.618882,-3.939852,"W99999999","","W15000003",1105,"W99999999","W99999999","W00003990","W01001997","W02000192","UN1"
"SA1 1AY","SA1  1AY","SA1 1AY","199002","199212","W99999999","W99999999","W06000011","W05001041","W04001033","1","265800","0192900","8","W11000031","W99999999","W92000004","W99999999","9","W07000108","W08000001","W16000002","W22000032","W11000031","W06000011","00NXNY","W00003990","00NXNY","W31000001","W01000748","W02000192","5","2A1","W00003990","W01001938","W02000192","W35000293","W11000031","W45001113","C1","2C2",51.618882,-3.939852,"W99999999","","W15000003",1105,"W99999999","W99999999","W00003990","W01001997","W02000192","UN1"
"SA1 1AZ","SA1  1AZ","SA1 1AZ","200804","","W99999999","W99999999","W06000011","W05001068","W04001036","0","266306","0192451","1","W11000031","W99999999","W92000004","W99999999","9","W07000108","W08000001","W16000002","W22000032","W11000031","W06000011","00NXNY","W00003994","00NXNY","W31000001","W01000743","W02000192","5","2A1","W00010093","W01001958","W02000192","W35001757","W11000031","W45001113","C1","2A3",51.614968,-3.932376,"W99999999","","W15000003",1034,"W99999999","W99999999","W00010093","W01001958","W02000192","UN1"
