pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"SG1 1AA","SG1  1AA","SG1 1AA","199101","","E10000015","E58000611","E07000243","E05015632","E43000080","1","523746","0223474","1","E18000006","E40000013","E92000001","E12000006","5","E14001516","E15000006","E24000005","E30000272","E16000150","E07000243","26UHFZ","E00120776","26UHFZ","E65000001","E01023786","E02004954","5","2B2","E00120776","E01023786","E02004954","E33024368","E38000049","E63011231","C1","4A2",51.896091,-0.202978,"E37000048","","E23000027",15656,"E56000035","E54000025","E00120776","E01023786","E02004954","UN1"
"SG1 1AB","SG1  1AB","SG1 1AB","200905","","E10000015","E58000603","E07000243","E05015626","E43000080","0","524372","0224119","1","E18000006","E40000013","E92000001","E12000006","5","E14001516","E15000006","E24000005","E30000272","E16000150","E07000243","26UHFR","E00120639","26UHFR","E65000001","E01023757","E02004951","5","1B1","E00120639","E01023757","E02004951","E33027507","E38000049","E63011231","C1","4A1",51.901748,-0.193652,"E37000048","","E23000027",9411,"E56000035","E54000025","E00120639","E01023757","E02004951","UN1"
"SG1 1AD","SG1  1AD","SG1 1AD","198803","199708","E10000015","E58000611","E07000243","E05015631","E43000080","1","523700","0224000","8","E18000006","E40000013","E92000001","E12000006","5","E14001516","E15000006","E24000005","E30000272","E16000150","E07000243","26UHFR","E00120640","26UHFR","E65000001","E01023758","E02004951","5","2B1","E00120640","E01023758","E02004951","E33024361","E38000049","E63011231","C1","3C1",51.900828,-0.203457,"E37000048","","E23000027",3929,"E56000035","E54000025","E00189375","E01035570","E02004951","UN1"
"SG1 1AE","SG1  1AE","SG1 1AE","199501","201509","E10000015","E58000611","E07000243","E05015632","E43000080","1","523704","0223575","1","E18000006","E40000013","E92000001","E12000006","5","E14001516","E15000006","E24000005","E30000272","E16000150","E07000243","26UHFZ","E00120776","26UHFZ","E65000001","E01023786","E02004954","5","2B2","E00120776","E01023786","E02004954","E33024366","E38000049","E63011231","C1","4A2",51.897008,-0.203552,"E37000048","","E23000027",15656,"E56000035","E54000025","E00120776","E01023786","E02004954","UN1"
"SG1 1AF","SG1  1AF","SG1 1AF","199301","","E10000015","E58000611","E07000243","E05015631","E43000080","0","523670","0224210","1","E18000006","E40000013","E92000001","E12000006","5","E14001516","E15000006","E24000005","E30000272","E16000150","E07000243","26UHFR","E00120640","26UHFR","E65000001","E01023758","E02004951","5","2B1","E00120640","E01023758","E02004951","E33024351","E38000049","E63011231","C1","3C1",51.902722,-0.203818,"E37000048","","E23000027",3929,"E56000035","E54000025","E00189424","E01035570","E02004951","UN1"
"SG1 1AG","SG1  1AG","SG1 1AG","200206","201910","E10000015","E58000653","E07000243","E05015631","E43000080","0","523329","0224563","1","E18000006","E40000013","E92000001","E12000006","5","E14001516","E15000006","E24000005","E30000272","E16000150","E07000243","26UHFX","E00120749","26UHFX","E65000001","E01023776","E02004945","5","4D2","E00169691","E01023776","E02004945","E33027491","E38000049","E63011231","C1","2C1",51.905970,-0.208646,"E37000048","","E23000027",22568,"E56000035","E54000025","E00169691","E01023776","E02004945","UN1"
"SG1 1AH","SG1  1AH","SG1 1AH","200301","200909","E10000015","E58000653","E07000243","E05015631","E43000080","1","523329","0224563","1","E18000006","E40000013","E92000001","E12000006","5","E14001516","E15000006","E24000005","E30000272","E16000150","E07000243","26UHFX","E00120749","26UHFX","E65000001","E01023776","E02004945","5","4D2","E00169691","E01023776","E02004945","E33027491","E38000049","E63011231","C1","2C1",51.905970,-0.208646,"E37000048","","E23000027",22568,"E56000035","E54000025","E00169691","E01023776","E02004945","UN1"
"SG1 1AJ","SG1  1AJ","SG1 1AJ","199512","199606","E10000015","E58000611","E07000243","E05015631","E43000080","1","523700","0224000","8","E18000006","E40000013","E92000001","E12000006","5","E14001516","E15000006","E24000005","E30000272","E16000150","E07000243","26UHFR","E00120640","26UHFR","E65000001","E01023758","E02004951","5","2B1","E00120640","E01023758","E02004951","E33024361","E38000049","E63011231","C1","3C1",51.900828,-0.203457,"E37000048","","E23000027",3929,"E56000035","E54000025","E00189375","E01035570","E02004951","UN1"
"SG1 1AL","SG1  1AL","SG1 1AL","200012","201512","E10000015","E58000653","E07000243","E05015631","E43000080","1","523329","0224563","1","E18000006","E40000013","E92000001","E12000006","5","E14001516","E15000006","E24000005","E30000272","E16000150","E07000243","26UHFX","E00120749","26UHFX","E65000001","E01023776","E02004945","5","4D2","E00169691","E01023776","E02004945","E33027491","E38000049","E63011231","C1","2C1",51.905970,-0.208646,"E37000048","","E23000027",22568,"E56000035","E54000025","E00169691","E01023776","E02004945","UN1"
"SG1 1AN","SG1  1AN","SG1 1AN","199308","199906","E10000015","E58000603","E07000243","E05015626","E43000080","1","524397","0224047","6","E18000006","E40000013","E92000001","E12000006","5","E14001516","E15000006","E24000005","E30000272","E16000150","E07000243","26UHFR","E00120639","26UHFR","E65000001","E01023757","E02004951","5","1B1","E00120639","E01023757","E02004951","E33027507","E38000049","E63011231","C1","4A1",51.901096,-0.193315,"E37000048","","E23000027",9411,"E56000035","E54000025","E00120639","E01023757","E02004951","UN1"
"SG1 1AP","SG1  1AP","SG1 1AP","201602","","E10000015","E58000611","E07000243","E05015631","E43000080","0","523626","0224285","1","E18000006","E40000013","E92000001","E12000006","5","E14001516","E15000006","E24000005","E30000272","E16000150","E07000243","26UHFR","E00120640","26UHFR","E65000001","E01023758","E02004951","5","2B1","E00120640","E01023758","E02004951","E33024355","E38000049","E63011231","C1","3C1",51.903406,-0.204430,"E37000048","","E23000027",3929,"E56000035","E54000025","E00189381","E01035570","E02004951","UN1"
"SG1 1AR","SG1  1AR","SG1 1AR","201701","","E10000015","E58000611","E07000243","E05015632","E43000080","0","524000","0223915","1","E18000006","E40000013","E92000001","E12000006","5","E14001516","E15000006","E24000005","E30000272","E16000150","E07000243","26UHFR","E00120645","26UHFR","E65000001","E01023758","E02004951","5","5A1","E00120645","E01023758","E02004951","E33027508","E38000049","E63011231","C1","3C1",51.899998,-0.199130,"E37000048","","E23000027",3929,"E56000035","E54000025","E00120645","E01035571","E02004951","UN1"
"SG1 1AS","SG1  1AS","SG1 1AS","201609","","E10000015","E58000611","E07000243","E05015631","E43000080","0","523659","0224265","1","E18000006","E40000013","E92000001","E12000006","5","E14001516","E15000006","E24000005","E30000272","E16000150","E07000243","26UHFR","E00120640","26UHFR","E65000001","E01023758","E02004951","5","2B1","E00120640","E01023758","E02004951","E33024358","E38000049","E63011231","C1","3C1",51.903219,-0.203958,"E37000048","","E23000027",3929,"E56000035","E54000025","E00189424","E01035570","E02004951","UN1"
"SG1 1AT","SG1  1AT","SG1 1AT","201604","","E10000015","E58000611","E07000243","E05015632","E43000080","0","523677","0223666","1","E18000006","E40000013","E92000001","E12000006","5","E14001516","E15000006","E24000005","E30000272","E16000150","E07000243","26UHFZ","E00120776","26UHFZ","E65000001","E01023786","E02004954","5","2B2","E00120776","E01023786","E02004954","E33024372","E38000049","E63011231","C1","4A2",51.897832,-0.203911,"E37000048","","E23000027",15656,"E56000035","E54000025","E00120776","E01023786","E02004954","UN1"
