pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"SL0 0AA","SL0  0AA","SL0 0AA","198001","","E99999999","E99999999","E06000060","E05015957","E04001588","0","503627","0181366","1","E18000009","E40000005","E92000001","E12000008","5","E14001082","E15000008","E24000026","E30000266","E16000134","E06000060","11UEGN","E00089953","11UEGN","E65000001","E01017828","E02003695","6","6B2","E00089953","E01017828","E02003695","E33041392","E38000223","E63012030","D1","5A2",51.521717,-0.507759,"E37000043","","E23000029",19703,"E56000034","E54000044","E00089953","E01017828","E02003695","UN1"
"SL0 0AB","SL0  0AB","SL0 0AB","199405","199507","E99999999","E99999999","E06000060","E05015957","E04001588","1","503600","0181300","8","E18000009","E40000005","E92000001","E12000008","5","E14001082","E15000008","E24000026","E30000266","E16000134","E06000060","11UEGN","E00089953","11UEGN","E65000001","E01017828","E02003695","6","6B2","E00089953","E01017828","E02003695","E33041392","E38000223","E63012030","D1","5A2",51.521128,-0.508167,"E37000043","","E23000029",19703,"E56000034","E54000044","E00089953","E01017828","E02003695","UN1"
"SL0 0AD","SL0  0AD","SL0 0AD","198001","","E99999999","E99999999","E06000060","E05015957","E04001588","0","503605","0181296","1","E18000009","E40000005","E92000001","E12000008","5","E14001082","E15000008","E24000026","E30000266","E16000134","E06000060","11UEGN","E00089953","11UEGN","E65000001","E01017828","E02003695","6","6B2","E00089953","E01017828","E02003695","E33041392","E38000223","E63012030","D1","5A2",51.521092,-0.508096,"E37000043","","E23000029",19703,"E56000034","E54000044","E00089953","E01017828","E02003695","UN1"
"SL0 0AE","SL0  0AE","SL0 0AE","198001","","E99999999","E99999999","E06000060","E05015957","E04001588","0","503567","0181303","1","E18000009","E40000005","E92000001","E12000008","5","E14001082","E15000008","E24000026","E30000266","E16000134","E06000060","11UEGN","E00089953","11UEGN","E65000001","E01017828","E02003695","6","6B2","E00089953","E01017828","E02003695","E33041392","E38000223","E63012030","D1","5A2",51.521161,-0.508642,"E37000043","","E23000029",19703,"E56000034","E54000044","E00089953","E01017828","E02003695","UN1"
"SL0 0AF","SL0  0AF","SL0 0AF","201607","","E99999999","E99999999","E06000060","E05015957","E04001588","0","502517","0182408","1","E18000009","E40000005","E92000001","E12000008","5","E14001082","E15000008","E24000026","E30000266","E16000134","E06000060","11UEGM","E00089937","11UEGM","E65000001","E01017825","E02003695","6","4C2","E00089937","E01017825","E02003695","E33041388","E38000223","E63011998","D1","6B1",51.531285,-0.523449,"E37000043","","E23000029",29200,"E56000034","E54000044","E00089937","E01017825","E02003695","UN1"
"SL0 0AG","SL0  0AG","SL0 0AG","200607","","E99999999","E99999999","E06000060","E05015957","E04001588","0","503590","0181367","1","E18000009","E40000005","E92000001","E12000008","5","E14001082","E15000008","E24000026","E30000266","E16000134","E06000060","11UEGN","E00089953","11UEGN","E65000001","E01017828","E02003695","6","6B2","E00089953","E01017828","E02003695","E33041392","E38000223","E63012030","D1","5A2",51.521732,-0.508291,"E37000043","","E23000029",19703,"E56000034","E54000044","E00089953","E01017828","E02003695","UN1"
"SL0 0AH","SL0  0AH","SL0 0AH","198001","","E99999999","E99999999","E06000060","E05015957","E04001588","0","503427","0181389","1","E18000009","E40000005","E92000001","E12000008","5","E14001082","E15000008","E24000026","E30000266","E16000134","E06000060","11UEGN","E00089963","11UEGN","E65000001","E01017827","E02003695","5","6B2","E00089963","E01017827","E02003695","E33041393","E38000223","E63012030","D1","5B1",51.521960,-0.510634,"E37000043","","E23000029",18326,"E56000034","E54000044","E00089963","E01017827","E02003695","UN1"
"SL0 0AJ","SL0  0AJ","SL0 0AJ","198001","","E99999999","E99999999","E06000060","E05015957","E04001588","0","503484","0181356","1","E18000009","E40000005","E92000001","E12000008","5","E14001082","E15000008","E24000026","E30000266","E16000134","E06000060","11UEGN","E00089953","11UEGN","E65000001","E01017828","E02003695","6","6B2","E00089953","E01017828","E02003695","E33041392","E38000223","E63012030","D1","5A2",51.521653,-0.509822,"E37000043","","E23000029",19703,"E56000034","E54000044","E00089953","E01017828","E02003695","UN1"
"SL0 0AL","SL0  0AL","SL0 0AL","198001","","E99999999","E99999999","E06000060","E05015957","E04001588","0","503318","0181450","1","E18000009","E40000005","E92000001","E12000008","5","E14001082","E15000008","E24000026","E30000266","E16000134","E06000060","11UEGN","E00089962","11UEGN","E65000001","E01017828","E02003695","6","5B2","E00089962","E01017828","E02003695","E33041393","E38000223","E63012030","D1","7A2",51.522528,-0.512186,"E37000043","","E23000029",19703,"E56000034","E54000044","E00089962","E01017828","E02003695","UN1"
"SL0 0AN","SL0  0AN","SL0 0AN","198001","","E99999999","E99999999","E06000060","E05015957","E04001588","0","503493","0181440","1","E18000009","E40000005","E92000001","E12000008","5","E14001082","E15000008","E24000026","E30000266","E16000134","E06000060","11UEGN","E00089963","11UEGN","E65000001","E01017827","E02003695","5","6B2","E00089963","E01017827","E02003695","E33041393","E38000223","E63012030","D1","5B1",51.522406,-0.509668,"E37000043","","E23000029",18326,"E56000034","E54000044","E00089963","E01017827","E02003695","UN1"
