pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"SR1 1AA","SR1  1AA","SR1 1AA","199002","199912","E99999999","E99999999","E08000024","E05001158","E43000178","1","439867","0557268","1","E18000001","E40000012","E92000001","E12000001","1","E14001531","E15000001","E24000018","E30000275","E16000052","E08000024","00CMGH","E00044186","00CMFB","E65000001","E01008703","E02001803","5","5B4","E00170202","E01008703","E02001803","E33000680","E38000176","E63007220","A1","2B1",54.908550,-1.379742,"E37000025","","E23000007",3277,"E56000029","E54000050","E00170202","E01008703","E02001803","UN1"
"SR1 1AB","SR1  1AB","SR1 1AB","198301","199812","E99999999","E99999999","E08000024","E05001158","E43000178","1","439949","0557094","1","E18000001","E40000012","E92000001","E12000001","1","E14001531","E15000001","E24000018","E30000275","E16000052","E08000024","00CMGH","E00044186","00CMFB","E65000001","E01008703","E02001803","5","5B4","E00170202","E01008703","E02001803","E33000681","E38000176","E63007220","A1","2B1",54.906980,-1.378488,"E37000025","","E23000007",3277,"E56000029","E54000050","E00170202","E01008703","E02001803","UN1"
"SR1 1AE","SR1  1AE","SR1 1AE","200710","","E99999999","E99999999","E08000024","E05001158","E43000178","0","440075","0556873","1","E18000001","E40000012","E92000001","E12000001","1","E14001531","E15000001","E24000018","E30000275","E16000052","E08000024","00CMGH","E00044835","00CMFW","E65000001","E01008836","E02001806","5","2A1","E00044835","E01008836","E02001806","E33000252","E38000176","E63007220","A1","2A3",54.904984,-1.376553,"E37000025","","E23000007",259,"E56000029","E54000050","E00044835","E01008836","E02001806","UN1"
"SR1 1AF","SR1  1AF","SR1 1AF","201802","","E99999999","E99999999","E08000024","E05001161","E43000178","0","439730","0556975","1","E18000001","E40000012","E92000001","E12000001","1","E14001531","E15000001","E24000018","E30000275","E16000052","E08000024","00CMGL","E00044186","00CMFB","E65000001","E01008703","E02001803","5","5B4","E00170234","E01008703","E02001803","E33000687","E38000176","E63007220","A1","2A3",54.905928,-1.381919,"E37000025","","E23000007",3277,"E56000029","E54000050","E00170234","E01008703","E02001803","UN1"
"SR1 1AG","SR1  1AG","SR1 1AG","201803","","E99999999","E99999999","E08000024","E05001158","E43000178","0","439850","0556975","1","E18000001","E40000012","E92000001","E12000001","1","E14001531","E15000001","E24000018","E30000275","E16000052","E08000024","00CMGH","E00044186","00CMFB","E65000001","E01008703","E02001803","5","5B4","E00170234","E01008703","E02001803","E33000696","E38000176","E63007220","A1","2A3",54.905919,-1.380048,"E37000025","","E23000007",3277,"E56000029","E54000050","E00170234","E01008703","E02001803","UN1"
"SR1 1AH","SR1  1AH","SR1 1AH","202311","","E99999999","E99999999","E08000024","E05001158","E43000178","0","439828","0556865","1","E18000001","E40000012","E92000001","E12000001","1","E14001531","E15000001","E24000018","E30000275","E16000052","E08000024","00CMGH","E00044186","00CMFB","E65000001","E01008703","E02001803","5","5B4","E00170234","E01008703","E02001803","E33000693","E38000176","E63007220","A1","2A3",54.904932,-1.380406,"E37000025","","E23000007",3277,"E56000029","E54000050","E00170234","E01008703","E02001803","UN1"
"SR1 1BA","SR1  1BA","SR1 1BA","198001","","E99999999","E99999999","E08000024","E05001158","E43000178","0","439903","0557119","1","E18000001","E40000012","E92000001","E12000001","1","E14001531","E15000001","E24000018","E30000275","E16000052","E08000024","00CMGH","E00044186","00CMFB","E65000001","E01008703","E02001803","5","5B4","E00170234","E01008703","E02001803","E33000697","E38000176","E63007220","A1","2A3",54.907208,-1.379201,"E37000025","","E23000007",3277,"E56000029","E54000050","E00170234","E01008703","E02001803","UN1"
"SR1 1BB","SR1  1BB","SR1 1BB","198001","","E99999999","E99999999","E08000024","E05001161","E43000178","1","439707","0557131","1","E18000001","E40000012","E92000001","E12000001","1","E14001531","E15000001","E24000018","E30000275","E16000052","E08000024","00CMGL","E00044186","00CMFB","E65000001","E01008703","E02001803","5","5B4","E00170234","E01008703","E02001803","E33000694","E38000176","E63007220","A1","2A3",54.907332,-1.382257,"E37000025","","E23000007",3277,"E56000029","E54000050","E00170234","E01008703","E02001803","UN1"
"SR1 1BD","SR1  1BD","SR1 1BD","198001","199501","E99999999","E99999999","E08000024","E05001158","E43000178","1","439900","0557100","8","E18000001","E40000012","E92000001","E12000001","1","E14001531","E15000001","E24000018","E30000275","E16000052","E08000024","00CMGH","E00044186","00CMFB","E65000001","E01008703","E02001803","5","5B4","E00170234","E01008703","E02001803","E33000697","E38000176","E63007220","A1","2A3",54.907038,-1.379251,"E37000025","","E23000007",3277,"E56000029","E54000050","E00170234","E01008703","E02001803","UN1"
"SR1 1BE","SR1  1BE","SR1 1BE","198001","199405","E99999999","E99999999","E08000024","E05001158","E43000178","1","439800","0557000","8","E18000001","E40000012","E92000001","E12000001","1","E14001531","E15000001","E24000018","E30000275","E16000052","E08000024","00CMGH","E00044186","00CMFB","E65000001","E01008703","E02001803","5","5B4","E00170234","E01008703","E02001803","E33000696","E38000176","E63007220","A1","2A3",54.906147,-1.380824,"E37000025","","E23000007",3277,"E56000029","E54000050","E00170234","E01008703","E02001803","UN1"
