pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"SS0 0AA","SS0  0AA","SS0 0AA","198001","","E99999999","E99999999","E06000033","E05002213","E43000028","0","585746","0187079","1","E18000006","E40000013","E92000001","E12000006","5","E14001502","E15000006","E24000006","E30000268","E16000103","E06000033","00KFMQ","E00079972","00KFMQ","E65000001","E01015822","E02003283","5","4D2","E00079972","E01015822","E02003283","E33025368","E38000168","E63011939","C1","5B3",51.552021,0.677791,"E37000056","","E23000028",26940,"E56000035","E54000026","E00079972","E01015822","E02003283","UN1"
"SS0 0AB","SS0  0AB","SS0 0AB","198001","","E99999999","E99999999","E06000033","E05002219","E43000028","0","585619","0187415","1","E18000006","E40000013","E92000001","E12000006","5","E14001502","E15000006","E24000006","E30000268","E16000103","E06000033","00KFMX","E00080196","00KFMX","E65000001","E01015858","E02003282","5","4D2","E00080196","E01015858","E02003282","E33025362","E38000168","E63011939","C1","5B3",51.555081,0.676139,"E37000056","","E23000028",29267,"E56000035","E54000026","E00080196","E01015858","E02003282","UN1"
"SS0 0AD","SS0  0AD","SS0 0AD","198001","","E99999999","E99999999","E06000033","E05002219","E43000028","0","585710","0187448","1","E18000006","E40000013","E92000001","E12000006","5","E14001502","E15000006","E24000006","E30000268","E16000103","E06000033","00KFMX","E00080196","00KFMX","E65000001","E01015858","E02003282","5","4D2","E00080196","E01015858","E02003282","E33025362","E38000168","E63011939","C1","5B3",51.555348,0.677467,"E37000056","","E23000028",29267,"E56000035","E54000026","E00080196","E01015858","E02003282","UN1"
"SS0 0AE","SS0  0AE","SS0 0AE","198001","","E99999999","E99999999","E06000033","E05002219","E43000028","0","585651","0187525","1","E18000006","E40000013","E92000001","E12000006","5","E14001502","E15000006","E24000006","E30000268","E16000103","E06000033","00KFMX","E00080196","00KFMX","E65000001","E01015858","E02003282","5","4D2","E00080196","E01015858","E02003282","E33025362","E38000168","E63011939","C1","5B3",51.556059,0.676658,"E37000056","","E23000028",29267,"E56000035","E54000026","E00080196","E01015858","E02003282","UN1"
"SS0 0AF","SS0  0AF","SS0 0AF","198001","","E99999999","E99999999","E06000033","E05002219","E43000028","0","585771","0187436","1","E18000006","E40000013","E92000001","E12000006","5","E14001502","E15000006","E24000006","E30000268","E16000103","E06000033","00KFMX","E00080196","00KFMX","E65000001","E01015858","E02003282","5","4D2","E00080196","E01015858","E02003282","E33025362","E38000168","E63011939","C1","5B3",51.555220,0.678340,"E37000056","","E23000028",29267,"E56000035","E54000026","E00080196","E01015858","E02003282","UN1"
"SS0 0AG","SS0  0AG","SS0 0AG","198001","","E99999999","E99999999","E06000033","E05002219","E43000028","0","585696","0187550","1","E18000006","E40000013","E92000001","E12000006","5","E14001502","E15000006","E24000006","E30000268","E16000103","E06000033","00KFMX","E00080196","00KFMX","E65000001","E01015858","E02003282","5","4D2","E00080196","E01015858","E02003282","E33025362","E38000168","E63011939","C1","5B3",51.556268,0.677320,"E37000056","","E23000028",29267,"E56000035","E54000026","E00080196","E01015858","E02003282","UN1"
"SS0 0AH","SS0  0AH","SS0 0AH","198001","","E99999999","E99999999","E06000033","E05002219","E43000028","0","585867","0187798","1","E18000006","E40000013","E92000001","E12000006","5","E14001502","E15000006","E24000006","E30000268","E16000103","E06000033","00KFMX","E00080182","00KFMX","E65000001","E01015858","E02003282","5","4B2","E00080182","E01015858","E02003282","E33025362","E38000168","E63011939","C1","6B4",51.558440,0.679914,"E37000056","","E23000028",29267,"E56000035","E54000026","E00080182","E01015858","E02003282","UN1"
"SS0 0AJ","SS0  0AJ","SS0 0AJ","198001","","E99999999","E99999999","E06000033","E05002219","E43000028","0","585933","0187893","1","E18000006","E40000013","E92000001","E12000006","5","E14001502","E15000006","E24000006","E30000268","E16000103","E06000033","00KFMX","E00080182","00KFMX","E65000001","E01015858","E02003282","5","4B2","E00080182","E01015858","E02003282","E33025362","E38000168","E63011939","C1","6B4",51.559271,0.680916,"E37000056","","E23000028",29267,"E56000035","E54000026","E00080182","E01015858","E02003282","UN1"
"SS0 0AL","SS0  0AL","SS0 0AL","198001","","E99999999","E99999999","E06000033","E05002219","E43000028","0","585824","0187443","1","E18000006","E40000013","E92000001","E12000006","5","E14001502","E15000006","E24000006","E30000268","E16000103","E06000033","00KFMX","E00080191","00KFMX","E65000001","E01015858","E02003282","5","4D1","E00080191","E01015858","E02003282","E33025362","E38000168","E63011939","C1","5B1",51.555265,0.679107,"E37000056","","E23000028",29267,"E56000035","E54000026","E00080191","E01015858","E02003282","UN1"
"SS0 0AN","SS0  0AN","SS0 0AN","198001","","E99999999","E99999999","E06000033","E05002213","E43000028","0","585793","0187167","1","E18000006","E40000013","E92000001","E12000006","5","E14001502","E15000006","E24000006","E30000268","E16000103","E06000033","00KFMQ","E00079972","00KFMQ","E65000001","E01015822","E02003283","5","4D2","E00079972","E01015822","E02003283","E33025368","E38000168","E63011939","C1","5B3",51.552796,0.678515,"E37000056","","E23000028",26940,"E56000035","E54000026","E00079972","E01015822","E02003283","UN1"
