pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"SY1 1AA","SY1  1AA","SY1 1AA","199002","202411","E99999999","E99999999","E06000051","E05016060","E04013487","1","349490","0313095","1","E18000005","E40000011","E92000001","E12000005","7","E14001473","E15000005","E24000038","E30000262","E16000065","E06000051","39UEGE","E00147392","39UEGE","E65000001","E01028946","E02006033","5","2B2","E00174573","E01028946","E02006033","E33019804","E38000257","E63009578","C1","5B2",52.713159,-2.749114,"E37000036","","E23000016",16829,"E56000007","E54000011","E00174573","E01035061","E02006033","UN1"
"SY1 1AB","SY1  1AB","SY1 1AB","199712","200010","E99999999","E99999999","E06000051","E05016060","E04013487","1","349400","0313000","8","E18000005","E40000011","E92000001","E12000005","7","E14001473","E15000005","E24000038","E30000262","E16000065","E06000051","39UEGE","E00147392","39UEGE","E65000001","E01028946","E02006033","5","2B2","E00174575","E01028946","E02006033","E33019806","E38000257","E63009578","C1","2C1",52.712297,-2.750432,"E37000036","","E23000016",16829,"E56000007","E54000011","E00174575","E01035061","E02006033","UN1"
"SY1 1AD","SY1  1AD","SY1 1AD","201012","","E99999999","E99999999","E06000051","E05016060","E04013487","0","349381","0312241","1","E18000005","E40000011","E92000001","E12000005","7","E14001473","E15000005","E24000038","E30000262","E16000065","E06000051","39UEGE","E00147395","39UEGE","E65000001","E01028946","E02006033","5","2B2","E00147395","E01028946","E02006033","E33018995","E38000257","E63009578","C1","2C1",52.705472,-2.750596,"E37000036","","E23000016",16829,"E56000007","E54000011","E00147395","E01035061","E02006033","UN1"
"SY1 1AE","SY1  1AE","SY1 1AE","199501","201610","E99999999","E99999999","E06000051","E05016060","E04013487","1","349490","0313096","1","E18000005","E40000011","E92000001","E12000005","7","E14001473","E15000005","E24000038","E30000262","E16000065","E06000051","39UEGE","E00147392","39UEGE","E65000001","E01028946","E02006033","5","2B2","E00174573","E01028946","E02006033","E33019804","E38000257","E63009578","C1","5B2",52.713168,-2.749114,"E37000036","","E23000016",16829,"E56000007","E54000011","E00174573","E01035061","E02006033","UN1"
"SY1 1AF","SY1  1AF","SY1 1AF","201605","","E99999999","E99999999","E06000051","E05016060","E04013487","0","349007","0312556","1","E18000005","E40000011","E92000001","E12000005","7","E14001473","E15000005","E24000038","E30000262","E16000065","E06000051","39UEGE","E00147398","39UEGE","E65000001","E01028946","E02006033","5","2B1","E00147398","E01028946","E02006033","E33019006","E38000257","E63009578","C1","2C1",52.708269,-2.756179,"E37000036","","E23000016",16829,"E56000007","E54000011","E00187296","E01035063","E02006033","UN1"
"SY1 1AG","SY1  1AG","SY1 1AG","202009","","E99999999","E99999999","E06000051","E05016060","E04013487","0","349285","0312268","1","E18000005","E40000011","E92000001","E12000005","7","E14001473","E15000005","E24000038","E30000262","E16000065","E06000051","39UEGE","E00147398","39UEGE","E65000001","E01028946","E02006033","5","2B1","E00147398","E01028946","E02006033","E33019015","E38000257","E63009578","C1","2C1",52.705706,-2.752020,"E37000036","","E23000016",16829,"E56000007","E54000011","E00187271","E01035063","E02006033","UN1"
"SY1 1AH","SY1  1AH","SY1 1AH","202102","","E99999999","E99999999","E06000051","E05016060","E04013487","0","348932","0312551","1","E18000005","E40000011","E92000001","E12000005","7","E14001473","E15000005","E24000038","E30000262","E16000065","E06000051","39UEGE","E00147397","39UEGE","E65000001","E01028946","E02006033","5","2B1","E00147397","E01028946","E02006033","E33019001","E38000257","E63009578","C1","5A3",52.708217,-2.757289,"E37000036","","E23000016",16829,"E56000007","E54000011","E00147397","E01035063","E02006033","UN1"
"SY1 1AN","SY1  1AN","SY1 1AN","199501","201609","E99999999","E99999999","E06000051","E05016060","E04013487","1","349490","0313096","1","E18000005","E40000011","E92000001","E12000005","7","E14001473","E15000005","E24000038","E30000262","E16000065","E06000051","39UEGE","E00147392","39UEGE","E65000001","E01028946","E02006033","5","2B2","E00174573","E01028946","E02006033","E33019804","E38000257","E63009578","C1","5B2",52.713168,-2.749114,"E37000036","","E23000016",16829,"E56000007","E54000011","E00174573","E01035061","E02006033","UN1"
"SY1 1AX","SY1  1AX","SY1 1AX","199301","199606","E99999999","E99999999","E06000051","E05016060","E04013487","1","349300","0312800","8","E18000005","E40000011","E92000001","E12000005","7","E14001473","E15000005","E24000038","E30000262","E16000065","E06000051","39UEGE","E00147392","39UEGE","E65000001","E01028946","E02006033","5","2B2","E00174575","E01028946","E02006033","E33019805","E38000257","E63009578","C1","2C1",52.710489,-2.751881,"E37000036","","E23000016",16829,"E56000007","E54000011","E00174575","E01035061","E02006033","UN1"
"SY1 1AY","SY1  1AY","SY1 1AY","199301","199405","E99999999","E99999999","E06000051","E05016060","E04013487","1","349200","0312500","8","E18000005","E40000011","E92000001","E12000005","7","E14001473","E15000005","E24000038","E30000262","E16000065","E06000051","39UEGE","E00147398","39UEGE","E65000001","E01028946","E02006033","5","2B1","E00147398","E01028946","E02006033","E33019007","E38000257","E63009578","C1","2C1",52.707783,-2.753314,"E37000036","","E23000016",16829,"E56000007","E54000011","E00187271","E01035063","E02006033","UN1"
