pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"TF1 1AA","TF1  1AA","TF1 1AA","199002","","E99999999","E99999999","E06000020","E05015218","E04000947","1","364968","0311472","1","E18000005","E40000011","E92000001","E12000005","7","E14001543","E15000005","E24000038","E30000278","E16000071","E06000020","00GFPB","E00071435","00GFPB","E65000001","E01014145","E02002939","5","6C2","E00071435","E01014145","E02002939","E33018814","E38000257","E63009565","C1","4A2",52.699797,-2.519838,"E37000036","","E23000016",7383,"E56000007","E54000011","E00187220","E01014145","E02002939","UN1"
"TF1 1AB","TF1  1AB","TF1 1AB","199507","199912","E99999999","E99999999","E06000020","E05015215","E04000947","1","364900","0311400","8","E18000005","E40000011","E92000001","E12000005","7","E14001543","E15000005","E24000038","E30000278","E16000071","E06000020","00GFNY","E00071377","00GFNY","E65000001","E01014133","E02002939","5","6A1","E00071377","E01014133","E02002939","E33021542","E38000257","E63009565","C1","5A1",52.699145,-2.520837,"E37000036","","E23000016",16863,"E56000007","E54000011","E00071377","E01014133","E02002939","UN1"
"TF1 1AD","TF1  1AD","TF1 1AD","201504","","E99999999","E99999999","E06000020","E05015218","E04000947","0","364988","0311179","1","E18000005","E40000011","E92000001","E12000005","7","E14001543","E15000005","E24000038","E30000278","E16000071","E06000020","00GFNY","E00071377","00GFNY","E65000001","E01014133","E02002939","5","6A1","E00071377","E01014133","E02002939","E33021542","E38000257","E63009565","C1","5A1",52.697164,-2.519511,"E37000036","","E23000016",16863,"E56000007","E54000011","E00071377","E01014133","E02002939","UN1"
"TF1 1AE","TF1  1AE","TF1 1AE","201608","","E99999999","E99999999","E06000020","E05015218","E04000947","0","364959","0311845","1","E18000005","E40000011","E92000001","E12000005","7","E14001543","E15000005","E24000038","E30000278","E16000071","E06000020","00GFPB","E00071435","00GFPB","E65000001","E01014145","E02002939","5","6C2","E00071435","E01014145","E02002939","E33018813","E38000257","E63009565","C1","4A2",52.703149,-2.520011,"E37000036","","E23000016",7383,"E56000007","E54000011","E00187302","E01014145","E02002939","UN1"
"TF1 1AF","TF1  1AF","TF1 1AF","201609","","E99999999","E99999999","E06000020","E05015218","E04000947","0","364948","0311805","1","E18000005","E40000011","E92000001","E12000005","7","E14001543","E15000005","E24000038","E30000278","E16000071","E06000020","00GFPB","E00071435","00GFPB","E65000001","E01014145","E02002939","5","6C2","E00071435","E01014145","E02002939","E33018813","E38000257","E63009565","C1","4A2",52.702789,-2.520170,"E37000036","","E23000016",7383,"E56000007","E54000011","E00187302","E01014145","E02002939","UN1"
"TF1 1AG","TF1  1AG","TF1 1AG","201608","","E99999999","E99999999","E06000020","E05015218","E04000947","0","364984","0311757","1","E18000005","E40000011","E92000001","E12000005","7","E14001543","E15000005","E24000038","E30000278","E16000071","E06000020","00GFPB","E00071435","00GFPB","E65000001","E01014145","E02002939","5","6C2","E00071435","E01014145","E02002939","E33018813","E38000257","E63009565","C1","4A2",52.702360,-2.519632,"E37000036","","E23000016",7383,"E56000007","E54000011","E00187302","E01014145","E02002939","UN1"
"TF1 1AH","TF1  1AH","TF1 1AH","201804","","E99999999","E99999999","E06000020","E05015209","E04000947","0","365086","0311793","1","E18000005","E40000011","E92000001","E12000005","7","E14001543","E15000005","E24000038","E30000278","E16000071","E06000020","00GFNR","E00071276","00GFNR","E65000001","E01014113","E02002938","5","7A1","E00071276","E01014113","E02002938","E33021539","E38000257","E63009565","C1","4B2",52.702690,-2.518126,"E37000036","","E23000016",2211,"E56000007","E54000011","E00071276","E01014113","E02002938","UN1"
"TF1 1AJ","TF1  1AJ","TF1 1AJ","201906","","E99999999","E99999999","E06000020","E05015218","E04000947","0","364996","0311444","1","E18000005","E40000011","E92000001","E12000005","7","E14001543","E15000005","E24000038","E30000278","E16000071","E06000020","00GFPB","E00071435","00GFPB","E65000001","E01014145","E02002939","5","6C2","E00071435","E01014145","E02002939","E33018812","E38000257","E63009565","C1","4A2",52.699547,-2.519421,"E37000036","","E23000016",7383,"E56000007","E54000011","E00187220","E01014145","E02002939","UN1"
"TF1 1AL","TF1  1AL","TF1 1AL","201905","","E99999999","E99999999","E06000020","E05015209","E04000947","0","365127","0311795","1","E18000005","E40000011","E92000001","E12000005","7","E14001543","E15000005","E24000038","E30000278","E16000071","E06000020","00GFNR","E00071276","00GFNR","E65000001","E01014113","E02002938","5","7A1","E00071276","E01014113","E02002938","E33021539","E38000257","E63009565","C1","4B2",52.702711,-2.517520,"E37000036","","E23000016",2211,"E56000007","E54000011","E00071276","E01014113","E02002938","UN1"
"TF1 1AN","TF1  1AN","TF1 1AN","201905","","E99999999","E99999999","E06000020","E05015209","E04000947","0","365141","0311772","1","E18000005","E40000011","E92000001","E12000005","7","E14001543","E15000005","E24000038","E30000278","E16000071","E06000020","00GFNR","E00071275","00GFNR","E65000001","E01014114","E02002938","5","5B2","E00071275","E01014114","E02002938","E33021539","E38000257","E63009565","C1","5B3",52.702505,-2.517310,"E37000036","","E23000016",20184,"E56000007","E54000011","E00071275","E01014114","E02002938","UN1"
"TF1 1AP","TF1  1AP","TF1 1AP","201905","","E99999999","E99999999","E06000020","E05015209","E04000947","0","365110","0311764","1","E18000005","E40000011","E92000001","E12000005","7","E14001543","E15000005","E24000038","E30000278","E16000071","E06000020","00GFNR","E00071276","00GFNR","E65000001","E01014113","E02002938","5","7A1","E00071276","E01014113","E02002938","E33021539","E38000257","E63009565","C1","4B2",52.702431,-2.517768,"E37000036","","E23000016",2211,"E56000007","E54000011","E00071276","E01014113","E02002938","UN1"
"TF1 1AQ","TF1  1AQ","TF1 1AQ","202004","","E99999999","E99999999","E06000020","E05015209","E04000947","0","365295","0311460","1","E18000005","E40000011","E92000001","E12000005","7","E14001543","E15000005","E24000038","E30000278","E16000071","E06000020","00GFNR","E00071271","00GFNR","E65000001","E01014113","E02002938","5","2B1","E00071271","E01014113","E02002938","E33021538","E38000257","E63009565","C1","7A1",52.699710,-2.514998,"E37000036","","E23000016",2211,"E56000007","E54000011","E00071271","E01014113","E02002938","UN1"
"TF1 1AR","TF1  1AR","TF1 1AR","202501","","E99999999","E99999999","E06000020","E05015209","E04000947","0","365631","0311416","1","E18000005","E40000011","E92000001","E12000005","7","E14001543","E15000005","E24000038","E30000278","E16000071","E06000020","00GFNR","E00071277","00GFNR","E65000001","E01014113","E02002938","5","6C1","E00071277","E01014113","E02002938","E33021538","E38000257","E63009565","C1","4B2",52.699336,-2.510022,"E37000036","","E23000016",2211,"E56000007","E54000011","E00071277","E01014113","E02002938","UN1"
"TF1 1AU","TF1  1AU","TF1 1AU","202504","","E99999999","E99999999","E06000020","E05015218","E04000947","0","365401","0311375","1","E18000005","E40000011","E92000001","E12000005","7","E14001543","E15000005","E24000038","E30000278","E16000071","E06000020","00GFPB","E00071437","00GFPB","E65000001","E01014145","E02002939","5","5C2","E00071437","E01014145","E02002939","E33021541","E38000257","E63009565","C1","3C1",52.698953,-2.513421,"E37000036","","E23000016",7383,"E56000007","E54000011","E00071437","E01014145","E02002939","UN1"
"TF1 1AW","TF1  1AW","TF1 1AW","202509","","E99999999","E99999999","E06000020","E05015218","E04000947","0","365420","0311314","1","E18000005","E40000011","E92000001","E12000005","7","E14001543","E15000005","E24000038","E30000278","E16000071","E06000020","00GFPB","E00071437","00GFPB","E65000001","E01014145","E02002939","5","5C2","E00071437","E01014145","E02002939","E33021541","E38000257","E63009565","C1","3C1",52.698406,-2.513133,"E37000036","","E23000016",7383,"E56000007","E54000011","E00071437","E01014145","E02002939","UN1"
"TF1 1AX","TF1  1AX","TF1 1AX","202408","","E99999999","E99999999","E06000020","E05015209","E04000947","0","365635","0311326","1","E18000005","E40000011","E92000001","E12000005","7","E14001543","E15000005","E24000038","E30000278","E16000071","E06000020","00GFNR","E00071277","00GFNR","E65000001","E01014113","E02002938","5","6C1","E00071277","E01014113","E02002938","E33021538","E38000257","E63009565","C1","4B2",52.698527,-2.509953,"E37000036","","E23000016",2211,"E56000007","E54000011","E00071277","E01014113","E02002938","UN1"
"TF1 1BA","TF1  1BA","TF1 1BA","198001","","E99999999","E99999999","E06000020","E05015218","E04000947","0","364927","0311458","1","E18000005","E40000011","E92000001","E12000005","7","E14001543","E15000005","E24000038","E30000278","E16000071","E06000020","00GFPB","E00071435","00GFPB","E65000001","E01014145","E02002939","5","6C2","E00071435","E01014145","E02002939","E33018812","E38000257","E63009565","C1","4A2",52.699668,-2.520443,"E37000036","","E23000016",7383,"E56000007","E54000011","E00187220","E01014145","E02002939","UN1"
