pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"TN1 1AA","TN1  1AA","TN1 1AA","199002","199512","E10000016","E58000747","E07000116","E05015804","E43000092","1","558300","0139100","8","E18000008","E40000005","E92000001","E12000008","5","E14001555","E15000008","E24000031","E30000281","E16000111","E07000116","29UQGF","E00125873","29UQGF","E65000001","E01024801","E02005169","5","2B1","E00125873","E01024801","E02005169","E33038537","E38000237","E63012976","C1","2C1",51.129304,0.260963,"E37000056","","E23000032",25038,"E56000011","E54000032","E00186775","E01035013","E02005169","UF1"
"TN1 1AB","TN1  1AB","TN1 1AB","201710","","E10000016","E58000746","E07000116","E05015804","E43000092","0","558308","0138985","1","E18000008","E40000005","E92000001","E12000008","5","E14001555","E15000008","E24000031","E30000281","E16000111","E07000116","29UQGM","E00125975","29UQGM","E65000001","E01024819","E02005173","5","2B2","E00125975","E01024819","E02005173","E33038549","E38000237","E63012976","C1","2D2",51.128269,0.261026,"E37000056","","E23000032",30349,"E56000011","E54000032","E00125975","E01024819","E02005173","UF1"
"TN1 1AD","TN1  1AD","TN1 1AD","202104","","E10000016","E58000747","E07000116","E05015804","E43000092","0","558248","0139486","1","E18000008","E40000005","E92000001","E12000008","5","E14001555","E15000008","E24000031","E30000281","E16000111","E07000116","29UQGF","E00125892","29UQGF","E65000001","E01024801","E02005169","5","2B1","E00125892","E01024801","E02005169","E33043576","E38000237","E63012976","C1","2D1",51.132787,0.260389,"E37000056","","E23000032",25038,"E56000011","E54000032","E00125892","E01035013","E02005169","UF1"
"TN1 1AE","TN1  1AE","TN1 1AE","202510","","E10000016","E58000747","E07000116","E05015804","E43000092","0","558437","0139411","1","E18000008","E40000005","E92000001","E12000008","5","E14001555","E15000008","E24000031","E30000281","E16000111","E07000116","29UQGF","E00125892","29UQGF","E65000001","E01024801","E02005169","5","2B1","E00125892","E01024801","E02005169","E33043576","E38000237","E63012976","C1","2D1",51.132061,0.263055,"E37000056","","E23000032",25038,"E56000011","E54000032","E00125892","E01035013","E02005169","UF1"
"TN1 1AG","TN1  1AG","TN1 1AG","199806","","E10000016","E58000747","E07000116","E05015804","E43000092","1","558342","0139534","1","E18000008","E40000005","E92000001","E12000008","5","E14001555","E15000008","E24000031","E30000281","E16000111","E07000116","29UQGF","E00125892","29UQGF","E65000001","E01024801","E02005169","5","2B1","E00125892","E01024801","E02005169","E33043576","E38000237","E63012976","C1","2D1",51.133192,0.261753,"E37000056","","E23000032",25038,"E56000011","E54000032","E00125892","E01035013","E02005169","UF1"
"TN1 1AL","TN1  1AL","TN1 1AL","202501","","E10000016","E58000746","E07000116","E05015810","E43000092","0","558504","0139474","1","E18000008","E40000005","E92000001","E12000008","5","E14001555","E15000008","E24000031","E30000281","E16000111","E07000116","29UQGN","E00125986","29UQGN","E65000001","E01024823","E02005169","5","2B2","E00125986","E01024823","E02005169","E33038556","E38000237","E63012976","C1","2D1",51.132608,0.264040,"E37000056","","E23000032",30229,"E56000011","E54000032","E00125986","E01024823","E02005169","UF1"
"TN1 1AP","TN1  1AP","TN1 1AP","202509","","E10000016","E58000746","E07000116","E05015810","E43000092","0","558491","0139318","1","E18000008","E40000005","E92000001","E12000008","5","E14001555","E15000008","E24000031","E30000281","E16000111","E07000116","29UQGN","E00125986","29UQGN","E65000001","E01024823","E02005169","5","2B2","E00125986","E01024823","E02005169","E33038554","E38000237","E63012976","C1","2D1",51.131210,0.263786,"E37000056","","E23000032",30229,"E56000011","E54000032","E00125986","E01024823","E02005169","UF1"
"TN1 1AQ","TN1  1AQ","TN1 1AQ","201812","","E10000016","E58000742","E07000115","E05015040","E43000091","1","559913","0145919","1","E18000008","E40000005","E92000001","E12000008","5","E14001549","E15000008","E24000031","E30000281","E16000111","E07000115","29UPJD","E00125711","29UPJD","E65000001","E01024767","E02005160","5","1B2","E00125711","E01024767","E02005160","E33043516","E38000237","E63012792","C1","8D1",51.190124,0.287025,"E37000056","","E23000032",10976,"E56000011","E54000032","E00125711","E01024767","E02005160","UN1"
"TN1 1AR","TN1  1AR","TN1 1AR","202509","","E10000016","E58000746","E07000116","E05015810","E43000092","0","558489","0139337","1","E18000008","E40000005","E92000001","E12000008","5","E14001555","E15000008","E24000031","E30000281","E16000111","E07000116","29UQGN","E00125986","29UQGN","E65000001","E01024823","E02005169","5","2B2","E00125986","E01024823","E02005169","E33038554","E38000237","E63012976","C1","2D1",51.131381,0.263765,"E37000056","","E23000032",30229,"E56000011","E54000032","E00125986","E01024823","E02005169","UF1"
"TN1 1AW","TN1  1AW","TN1 1AW","202205","","E10000016","E58000746","E07000116","E05015810","E43000092","0","558500","0139539","1","E18000008","E40000005","E92000001","E12000008","5","E14001555","E15000008","E24000031","E30000281","E16000111","E07000116","29UQGN","E00125986","29UQGN","E65000001","E01024823","E02005169","5","2B2","E00125986","E01024823","E02005169","E33038556","E38000237","E63012976","C1","2D1",51.133193,0.264011,"E37000056","","E23000032",30229,"E56000011","E54000032","E00125986","E01024823","E02005169","UF1"
"TN1 1AX","TN1  1AX","TN1 1AX","199405","199501","E10000016","E58000747","E07000116","E05015804","E43000092","1","558300","0139100","8","E18000008","E40000005","E92000001","E12000008","5","E14001555","E15000008","E24000031","E30000281","E16000111","E07000116","29UQGF","E00125873","29UQGF","E65000001","E01024801","E02005169","5","2B1","E00125873","E01024801","E02005169","E33038537","E38000237","E63012976","C1","2C1",51.129304,0.260963,"E37000056","","E23000032",25038,"E56000011","E54000032","E00186775","E01035013","E02005169","UF1"
