pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"TS1 1AA","TS1  1AA","TS1 1AA","199002","","E99999999","E99999999","E06000002","E05009866","E43000291","1","448907","0520333","1","E18000001","E40000012","E92000001","E12000001","1","E14001367","E15000001","E24000020","E30000093","E16000053","E06000002","00ECNK","E00060703","00ECNK","E65000001","E01012041","E02002498","5","5B3","E00060703","E01012041","E02002498","E33000299","E38000247","E63007408","C1","7A3",54.575865,-1.244956,"E37000034","","E23000013",51,"E56000029","E54000050","E00060703","E01012041","E02002498","UN1"
"TS1 1AB","TS1  1AB","TS1 1AB","199812","","E99999999","E99999999","E06000002","E05009866","E43000291","1","448907","0520333","1","E18000001","E40000012","E92000001","E12000001","1","E14001367","E15000001","E24000020","E30000093","E16000053","E06000002","00ECNK","E00060703","00ECNK","E65000001","E01012041","E02002498","5","5B3","E00060703","E01012041","E02002498","E33000299","E38000247","E63007408","C1","7A3",54.575865,-1.244956,"E37000034","","E23000013",51,"E56000029","E54000050","E00060703","E01012041","E02002498","UN1"
"TS1 1AD","TS1  1AD","TS1 1AD","201811","","E99999999","E99999999","E06000002","E05009857","E43000291","0","449558","0520520","1","E18000001","E40000012","E92000001","E12000001","1","E14001367","E15000001","E24000020","E30000093","E16000053","E06000002","00ECNT","E00060875","00ECNT","E65000001","E01012068","E02002496","5","7A1","E00060875","E01012068","E02002496","E33000315","E38000247","E63007408","C1","4B1",54.577482,-1.234855,"E37000034","","E23000013",2348,"E56000029","E54000050","E00060875","E01012068","E02002496","UN1"
"TS1 1AE","TS1  1AE","TS1 1AE","201711","","E99999999","E99999999","E06000002","E05009857","E43000291","0","449841","0520441","1","E18000001","E40000012","E92000001","E12000001","1","E14001367","E15000001","E24000020","E30000093","E16000053","E06000002","00ECNT","E00060876","00ECNT","E65000001","E01012070","E02002496","5","7A2","E00174105","E01033468","E02002496","E33000727","E38000247","E63007408","C1","4A1",54.576745,-1.230491,"E37000034","","E23000013",244,"E56000029","E54000050","E00188282","E01035189","E02002496","UN1"
"TS1 1AF","TS1  1AF","TS1 1AF","202010","","E99999999","E99999999","E06000002","E05009857","E43000291","0","449238","0520442","1","E18000001","E40000012","E92000001","E12000001","1","E14001367","E15000001","E24000020","E30000093","E16000053","E06000002","00ECNT","E00060869","00ECNT","E65000001","E01012070","E02002496","5","5A1","E00060869","E01033468","E02002496","E33000304","E38000247","E63007408","C1","7B2",54.576813,-1.239818,"E37000034","","E23000013",244,"E56000029","E54000050","E00060869","E01035189","E02002496","UN1"
"TS1 1AH","TS1  1AH","TS1 1AH","199812","200101","E99999999","E99999999","E06000002","E05009857","E43000291","1","449500","0520500","5","E18000001","E40000012","E92000001","E12000001","1","E14001367","E15000001","E24000020","E30000093","E16000053","E06000002","00ECNT","E00060870","00ECNT","E65000001","E01012070","E02002496","5","1B1","E00174105","E01033468","E02002496","E33000734","E38000247","E63007408","C1","4A1",54.577308,-1.235756,"E37000034","","E23000013",244,"E56000029","E54000050","E00188254","E01035189","E02002496","UN1"
"TS1 1AN","TS1  1AN","TS1 1AN","198803","199712","E99999999","E99999999","E06000002","E05009866","E43000291","1","448907","0520332","8","E18000001","E40000012","E92000001","E12000001","1","E14001367","E15000001","E24000020","E30000093","E16000053","E06000002","00ECNK","E00060703","00ECNK","E65000001","E01012041","E02002498","5","5B3","E00060703","E01012041","E02002498","E33000299","E38000247","E63007408","C1","7A3",54.575856,-1.244957,"E37000034","","E23000013",51,"E56000029","E54000050","E00060703","E01012041","E02002498","UN1"
"TS1 1AZ","TS1  1AZ","TS1 1AZ","199906","200602","E99999999","E99999999","E06000002","E05009866","E43000291","1","448907","0520333","1","E18000001","E40000012","E92000001","E12000001","1","E14001367","E15000001","E24000020","E30000093","E16000053","E06000002","00ECNK","E00060703","00ECNK","E65000001","E01012041","E02002498","5","5B3","E00060703","E01012041","E02002498","E33000299","E38000247","E63007408","C1","7A3",54.575865,-1.244956,"E37000034","","E23000013",51,"E56000029","E54000050","E00060703","E01012041","E02002498","UN1"
"TS1 1BA","TS1  1BA","TS1 1BA","198001","201402","E99999999","E99999999","E06000002","E05009857","E43000291","1","449509","0520490","1","E18000001","E40000012","E92000001","E12000001","1","E14001367","E15000001","E24000020","E30000093","E16000053","E06000002","00ECNT","E00060870","00ECNT","E65000001","E01012070","E02002496","5","1B1","E00174105","E01033468","E02002496","E33000734","E38000247","E63007408","C1","4A1",54.577218,-1.235618,"E37000034","","E23000013",244,"E56000029","E54000050","E00188254","E01035189","E02002496","UN1"
"TS1 1DA","TS1  1DA","TS1 1DA","201006","","E99999999","E99999999","E06000002","E05009857","E43000291","0","449667","0520693","1","E18000001","E40000012","E92000001","E12000001","1","E14001367","E15000001","E24000020","E30000093","E16000053","E06000002","00ECNT","E00060870","00ECNT","E65000001","E01012070","E02002496","5","1B1","E00174105","E01033468","E02002496","E33001464","E38000247","E63007408","C1","4A1",54.579026,-1.233140,"E37000034","","E23000013",244,"E56000029","E54000050","E00188282","E01035189","E02002496","UN1"
