pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"WA1 1AA","WA1  1AA","WA1 1AA","199007","199507","E99999999","E99999999","E06000007","E05011025","E43000007","1","360300","0388000","8","E18000002","E40000014","E92000001","E12000002","8","E14001565","E15000002","E24000025","E30000284","E16000037","E06000007","00EUNC","E00062813","00EUNC","E65000001","E01012456","E02002607","5","2B2","E00062813","E01033300","E02002607","E33003275","E38000194","E63008488","C1","3C1",53.387355,-2.598368,"E37000003","","E23000006",3956,"E56000005","E54000008","E00188787","E01033300","E02002607","UN1"
"WA1 1AB","WA1  1AB","WA1 1AB","199002","199412","E99999999","E99999999","E06000007","E05011025","E43000007","1","360300","0388000","8","E18000002","E40000014","E92000001","E12000002","8","E14001565","E15000002","E24000025","E30000284","E16000037","E06000007","00EUNC","E00062813","00EUNC","E65000001","E01012456","E02002607","5","2B2","E00062813","E01033300","E02002607","E33003275","E38000194","E63008488","C1","3C1",53.387355,-2.598368,"E37000003","","E23000006",3956,"E56000005","E54000008","E00188787","E01033300","E02002607","UN1"
"WA1 1AD","WA1  1AD","WA1 1AD","199412","200603","E99999999","E99999999","E06000007","E05011025","E43000007","1","359749","0388260","1","E18000002","E40000014","E92000001","E12000002","8","E14001565","E15000002","E24000025","E30000284","E16000037","E06000007","00EUNC","E00062812","00EUNC","E65000001","E01012456","E02002607","5","5B4","E00062812","E01033302","E02002607","E33003273","E38000194","E63008488","C1","4A1",53.389650,-2.606685,"E37000003","","E23000006",8003,"E56000005","E54000008","E00062812","E01033302","E02002607","UN1"
"WA1 1AF","WA1  1AF","WA1 1AF","201706","","E99999999","E99999999","E06000007","E05011025","E43000007","0","360240","0387888","1","E18000002","E40000014","E92000001","E12000002","8","E14001565","E15000002","E24000025","E30000284","E16000037","E06000007","00EUNC","E00062813","00EUNC","E65000001","E01012456","E02002607","5","2B2","E00062813","E01033300","E02002607","E33003275","E38000194","E63008488","C1","3C1",53.386344,-2.599256,"E37000003","","E23000006",3956,"E56000005","E54000008","E00188787","E01033300","E02002607","UN1"
"WA1 1AG","WA1  1AG","WA1 1AG","201111","","E99999999","E99999999","E06000007","E05011025","E43000007","0","360236","0387940","1","E18000002","E40000014","E92000001","E12000002","8","E14001565","E15000002","E24000025","E30000284","E16000037","E06000007","00EUNC","E00062813","00EUNC","E65000001","E01012456","E02002607","5","2B2","E00062813","E01033300","E02002607","E33003275","E38000194","E63008488","C1","3C1",53.386811,-2.599322,"E37000003","","E23000006",3956,"E56000005","E54000008","E00188787","E01033300","E02002607","UN1"
"WA1 1AH","WA1  1AH","WA1 1AH","201912","","E99999999","E99999999","E06000007","E05011025","E43000007","0","360692","0388424","1","E18000002","E40000014","E92000001","E12000002","8","E14001565","E15000002","E24000025","E30000284","E16000037","E06000007","00EUNC","E00062806","00EUNC","E65000001","E01012456","E02002607","5","2B1","E00173146","E01033300","E02002607","E33004287","E38000194","E63008488","C1","2C1",53.391195,-2.592527,"E37000003","","E23000006",3956,"E56000005","E54000008","E00188807","E01033300","E02002607","UN1"
"WA1 1AJ","WA1  1AJ","WA1 1AJ","202008","","E99999999","E99999999","E06000007","E05011025","E43000007","0","360645","0388318","1","E18000002","E40000014","E92000001","E12000002","8","E14001565","E15000002","E24000025","E30000284","E16000037","E06000007","00EUNC","E00062806","00EUNC","E65000001","E01012456","E02002607","5","2B1","E00173146","E01033300","E02002607","E33004302","E38000194","E63008488","C1","2C1",53.390239,-2.593221,"E37000003","","E23000006",3956,"E56000005","E54000008","E00188807","E01033300","E02002607","UN1"
"WA1 1AL","WA1  1AL","WA1 1AL","202008","","E99999999","E99999999","E06000007","E05011025","E43000007","0","360645","0388318","1","E18000002","E40000014","E92000001","E12000002","8","E14001565","E15000002","E24000025","E30000284","E16000037","E06000007","00EUNC","E00062806","00EUNC","E65000001","E01012456","E02002607","5","2B1","E00173146","E01033300","E02002607","E33004302","E38000194","E63008488","C1","2C1",53.390239,-2.593221,"E37000003","","E23000006",3956,"E56000005","E54000008","E00188807","E01033300","E02002607","UN1"
"WA1 1AN","WA1  1AN","WA1 1AN","202012","","E99999999","E99999999","E06000007","E05011025","E43000007","0","360407","0388100","1","E18000002","E40000014","E92000001","E12000002","8","E14001565","E15000002","E24000025","E30000284","E16000037","E06000007","00EUNC","E00062806","00EUNC","E65000001","E01012456","E02002607","5","2B1","E00173146","E01033300","E02002607","E33004283","E38000194","E63008488","C1","2C1",53.388262,-2.596772,"E37000003","","E23000006",3956,"E56000005","E54000008","E00188943","E01033300","E02002607","UN1"
"WA1 1AP","WA1  1AP","WA1 1AP","202105","","E99999999","E99999999","E06000007","E05011025","E43000007","0","360390","0388178","1","E18000002","E40000014","E92000001","E12000002","8","E14001565","E15000002","E24000025","E30000284","E16000037","E06000007","00EUNC","E00062806","00EUNC","E65000001","E01012456","E02002607","5","2B1","E00173146","E01033300","E02002607","E33004294","E38000194","E63008488","C1","2C1",53.388962,-2.597037,"E37000003","","E23000006",3956,"E56000005","E54000008","E00188943","E01033300","E02002607","UN1"
