pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"WF1 1AA","WF1  1AA","WF1 1AA","199002","","E99999999","E99999999","E08000036","E05001460","E43000299","0","433063","0420450","1","E18000003","E40000012","E92000001","E12000003","2","E14001560","E15000003","E24000045","E30000283","E16000076","E08000036","00DBGQ","E00060080","00DBFT","E65000001","E01011916","E02002454","5","5A1","E00060080","E01011916","E02002454","E33009766","E38000190","E63008062","A1","3C1",53.679490,-1.500932,"E37000062","","E23000010",1714,"E56000030","E54000054","E00180133","E01034265","E02002454","UN1"
"WF1 1AB","WF1  1AB","WF1 1AB","200808","200909","E99999999","E99999999","E08000036","E05001460","E43000299","1","433076","0420442","1","E18000003","E40000012","E92000001","E12000003","2","E14001560","E15000003","E24000045","E30000283","E16000076","E08000036","00DBGQ","E00060080","00DBFT","E65000001","E01011916","E02002454","5","5A1","E00060080","E01011916","E02002454","E33009766","E38000190","E63008062","A1","3C1",53.679417,-1.500736,"E37000062","","E23000010",1714,"E56000030","E54000054","E00180133","E01034265","E02002454","UN1"
"WF1 1AD","WF1  1AD","WF1 1AD","201105","","E99999999","E99999999","E08000036","E05001460","E43000299","0","433423","0420764","1","E18000003","E40000012","E92000001","E12000003","2","E14001560","E15000003","E24000045","E30000283","E16000076","E08000036","00DBGQ","E00060067","00DBFT","E65000001","E01011916","E02002454","5","2A1","E00060067","E01011916","E02002454","E33009762","E38000190","E63008062","A1","2C1",53.682289,-1.495448,"E37000062","","E23000010",1714,"E56000030","E54000054","E00060067","E01034264","E02002454","UN1"
"WF1 1AE","WF1  1AE","WF1 1AE","199002","199501","E99999999","E99999999","E08000036","E05001460","E43000299","1","433000","0420600","8","E18000003","E40000012","E92000001","E12000003","2","E14001560","E15000003","E24000045","E30000283","E16000076","E08000036","00DBGQ","E00060080","00DBFT","E65000001","E01011916","E02002454","5","5A1","E00060080","E01011916","E02002454","E33009765","E38000190","E63008062","A1","3C1",53.680842,-1.501870,"E37000062","","E23000010",1714,"E56000030","E54000054","E00180133","E01034265","E02002454","UN1"
"WF1 1AF","WF1  1AF","WF1 1AF","198803","199112","E99999999","E99999999","E08000036","E05001460","E43000299","1","433000","0420600","8","E18000003","E40000012","E92000001","E12000003","2","E14001560","E15000003","E24000045","E30000283","E16000076","E08000036","00DBGQ","E00060080","00DBFT","E65000001","E01011916","E02002454","5","5A1","E00060080","E01011916","E02002454","E33009765","E38000190","E63008062","A1","3C1",53.680842,-1.501870,"E37000062","","E23000010",1714,"E56000030","E54000054","E00180133","E01034265","E02002454","UN1"
"WF1 1AG","WF1  1AG","WF1 1AG","199712","199912","E99999999","E99999999","E08000036","E05001460","E43000299","1","433330","0420711","6","E18000003","E40000012","E92000001","E12000003","2","E14001560","E15000003","E24000045","E30000283","E16000076","E08000036","00DBGQ","E00060067","00DBFT","E65000001","E01011916","E02002454","5","2A1","E00060067","E01011916","E02002454","E33009760","E38000190","E63008062","A1","2C1",53.681819,-1.496862,"E37000062","","E23000010",1714,"E56000030","E54000054","E00060067","E01034264","E02002454","UN1"
"WF1 1AH","WF1  1AH","WF1 1AH","200302","","E99999999","E99999999","E08000036","E05001460","E43000299","0","433534","0420792","1","E18000003","E40000012","E92000001","E12000003","2","E14001560","E15000003","E24000045","E30000283","E16000076","E08000036","00DBGQ","E00060067","00DBFT","E65000001","E01011916","E02002454","5","2A1","E00060067","E01011916","E02002454","E33012615","E38000190","E63008062","A1","2C1",53.682534,-1.493765,"E37000062","","E23000010",1714,"E56000030","E54000054","E00060067","E01034264","E02002454","UN1"
"WF1 1AJ","WF1  1AJ","WF1 1AJ","201402","","E99999999","E99999999","E08000036","E05001460","E43000299","0","433430","0420347","1","E18000003","E40000012","E92000001","E12000003","2","E14001560","E15000003","E24000045","E30000283","E16000076","E08000036","00DBGQ","E00060084","00DBFT","E65000001","E01011916","E02002454","5","5A1","E00060084","E01011916","E02002454","E33012616","E38000190","E63008062","A1","7A2",53.678541,-1.495387,"E37000062","","E23000010",1714,"E56000030","E54000054","E00060084","E01034264","E02002454","UN1"
"WF1 1AL","WF1  1AL","WF1 1AL","201402","","E99999999","E99999999","E08000036","E05001460","E43000299","0","433431","0420322","1","E18000003","E40000012","E92000001","E12000003","2","E14001560","E15000003","E24000045","E30000283","E16000076","E08000036","00DBGQ","E00060084","00DBFT","E65000001","E01011916","E02002454","5","5A1","E00060084","E01011916","E02002454","E33012616","E38000190","E63008062","A1","7A2",53.678316,-1.495374,"E37000062","","E23000010",1714,"E56000030","E54000054","E00060084","E01034264","E02002454","UN1"
"WF1 1AN","WF1  1AN","WF1 1AN","201907","","E99999999","E99999999","E08000036","E05001460","E43000299","0","433157","0420570","1","E18000003","E40000012","E92000001","E12000003","2","E14001560","E15000003","E24000045","E30000283","E16000076","E08000036","00DBGQ","E00060080","00DBFT","E65000001","E01011916","E02002454","5","5A1","E00060080","E01011916","E02002454","E33009769","E38000190","E63008062","A1","3C1",53.680562,-1.499496,"E37000062","","E23000010",1714,"E56000030","E54000054","E00180057","E01034265","E02002454","UN1"
