pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"WV1 1AA","WV1  1AA","WV1 1AA","199002","","E99999999","E99999999","E08000031","E05014848","E43000185","0","392309","0298969","1","E18000005","E40000011","E92000001","E12000005","7","E14001594","E15000005","E24000040","E30000288","E16000072","E08000031","00CWGG","E00052902","00CWFJ","E65000001","E01010472","E02002163","5","7A2","E00052902","E01010472","E02002163","E33018711","E38000259","E63009805","A1","4A1",52.588483,-2.114949,"E37000001","","E23000014",4900,"E56000007","E54000062","E00052902","E01010472","E02002163","UN1"
"WV1 1AB","WV1  1AB","WV1 1AB","198604","201411","E99999999","E99999999","E08000031","E05014853","E43000185","1","391657","0298738","1","E18000005","E40000011","E92000001","E12000005","7","E14001596","E15000005","E24000040","E30000288","E16000072","E08000031","00CWGM","E00053150","00CWFQ","E65000001","E01010521","E02002168","5","2A2","E00167318","E01010521","E02002168","E33019580","E38000259","E63009805","A1","3A2",52.586397,-2.124567,"E37000001","","E23000014",6373,"E56000007","E54000062","E00167318","E01034313","E02002168","UN1"
"WV1 1AD","WV1  1AD","WV1 1AD","200707","","E99999999","E99999999","E08000031","E05014853","E43000185","0","391470","0299304","1","E18000005","E40000011","E92000001","E12000005","7","E14001596","E15000005","E24000040","E30000288","E16000072","E08000031","00CWGM","E00053143","00CWFQ","E65000001","E01010521","E02002168","5","7B1","E00167323","E01010521","E02002168","E33019598","E38000259","E63009805","A1","2A1",52.591482,-2.127342,"E37000001","","E23000014",6373,"E56000007","E54000062","E00181854","E01034312","E02002168","UN1"
"WV1 1AF","WV1  1AF","WV1 1AF","202303","","E99999999","E99999999","E08000031","E05014853","E43000185","0","391391","0298660","1","E18000005","E40000011","E92000001","E12000005","7","E14001596","E15000005","E24000040","E30000288","E16000072","E08000031","00CWGM","E00053150","00CWFQ","E65000001","E01010521","E02002168","5","2A2","E00167321","E01010521","E02002168","E33019589","E38000259","E63009805","A1","3D1",52.585691,-2.128491,"E37000001","","E23000014",6373,"E56000007","E54000062","E00167321","E01034312","E02002168","UN1"
"WV1 1AG","WV1  1AG","WV1 1AG","202408","","E99999999","E99999999","E08000031","E05014853","E43000185","0","391565","0298658","1","E18000005","E40000011","E92000001","E12000005","7","E14001596","E15000005","E24000040","E30000288","E16000072","E08000031","00CWGM","E00053150","00CWFQ","E65000001","E01010521","E02002168","5","2A2","E00167318","E01010521","E02002168","E33019578","E38000259","E63009805","A1","3A2",52.585676,-2.125923,"E37000001","","E23000014",6373,"E56000007","E54000062","E00167318","E01034313","E02002168","UN1"
"WV1 1BA","WV1  1BA","WV1 1BA","198001","199112","E99999999","E99999999","E08000031","E05014853","E43000185","1","391100","0298600","8","E18000005","E40000011","E92000001","E12000005","7","E14001596","E15000005","E24000040","E30000288","E16000072","E08000031","00CWGM","E00053150","00CWFQ","E65000001","E01010521","E02002168","5","2A2","E00167321","E01010521","E02002168","E33019590","E38000259","E63009805","A1","3D1",52.585147,-2.132784,"E37000001","","E23000014",6373,"E56000007","E54000062","E00167321","E01034312","E02002168","UN1"
"WV1 1BS","WV1  1BS","WV1 1BS","199301","199512","E99999999","E99999999","E08000031","E05014853","E43000185","1","391100","0298600","8","E18000005","E40000011","E92000001","E12000005","7","E14001596","E15000005","E24000040","E30000288","E16000072","E08000031","00CWGM","E00053150","00CWFQ","E65000001","E01010521","E02002168","5","2A2","E00167321","E01010521","E02002168","E33019590","E38000259","E63009805","A1","3D1",52.585147,-2.132784,"E37000001","","E23000014",6373,"E56000007","E54000062","E00167321","E01034312","E02002168","UN1"
"WV1 1DA","WV1  1DA","WV1 1DA","200510","201907","E99999999","E99999999","E08000031","E05014853","E43000185","1","391318","0298812","1","E18000005","E40000011","E92000001","E12000005","7","E14001596","E15000005","E24000040","E30000288","E16000072","E08000031","00CWGM","E00053143","00CWFQ","E65000001","E01010521","E02002168","5","7B1","E00167323","E01010521","E02002168","E33019597","E38000259","E63009805","A1","2A1",52.587057,-2.129572,"E37000001","","E23000014",6373,"E56000007","E54000062","E00181854","E01034312","E02002168","UN1"
"WV1 1DB","WV1  1DB","WV1 1DB","198001","201906","E99999999","E99999999","E08000031","E05014853","E43000185","0","391662","0298761","1","E18000005","E40000011","E92000001","E12000005","7","E14001596","E15000005","E24000040","E30000288","E16000072","E08000031","00CWGM","E00053150","00CWFQ","E65000001","E01010521","E02002168","5","2A2","E00167318","E01010521","E02002168","E33019582","E38000259","E63009805","A1","3A2",52.586604,-2.124494,"E37000001","","E23000014",6373,"E56000007","E54000062","E00167318","E01034313","E02002168","UN1"
"WV1 1DD","WV1  1DD","WV1 1DD","198001","","E99999999","E99999999","E08000031","E05014853","E43000185","1","391728","0298748","1","E18000005","E40000011","E92000001","E12000005","7","E14001596","E15000005","E24000040","E30000288","E16000072","E08000031","00CWGM","E00053150","00CWFQ","E65000001","E01010521","E02002168","5","2A2","E00167318","E01010521","E02002168","E33019582","E38000259","E63009805","A1","3A2",52.586488,-2.123519,"E37000001","","E23000014",6373,"E56000007","E54000062","E00167318","E01034313","E02002168","UN1"
